,Guyana,Suriname,Trinidad and Tobago,Venezuela,Samoa,Tonga,Argentina,Bolivia,Brazil,Chile,Ecuador,Paraguay,Peru,Uruguay,Guatemala,Mexico,Barbados,Dominica,Grenada,St. Lucia,St. Vincent and the Grenadines,Dominican Republic,Haiti,Jamaica,Bahamas,Belize,Colombia,Costa Rica,Cuba,El Salvador,Honduras,Nicaragua,Panama,Antigua and Barbuda,St. Kitts and Nevis,Iceland,Ireland,United Kingdom,Cape Verde,Cote d'Ivoire,Ghana,Liberia,Portugal,Spain,Burkina Faso,Guinea,Guinea-Bissau,Mali,Senegal,Sierra Leone,The Gambia,Djibouti,Eritrea,Ethiopia,Mongolia,Iraq,Jordan,Kazakhstan,Norway,Russia,Sweden,Algeria,Cameroon,Central African Republic,Tunisia,Benin,Equatorial Guinea,Kiribati,Niger,Nigeria,Sao Tome and Principe,Togo,Albania,Bosnia and Herzegovina,Croatia,Italy,Macedonia,Malta,Bulgaria,Cyprus,Georgia,Greece,Lebanon,Turkey,Austria,Czech Republic,Denmark,Hungary,Poland,Slovakia,Slovenia,Belgium,France,Luxembourg,Netherlands,Switzerland,Belarus,Estonia,Finland,Latvia,Lithuania,Moldova,Romania,Ukraine,Maldives,Oman,Somalia,Sri Lanka,Turkmenistan,Uzbekistan,Yemen,Armenia,Azerbaijan,Bahrain,Iran,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,Afghanistan,Kyrgyzstan,Nepal,Pakistan,Tajikistan,Bangladesh,Bhutan,Brunei,Japan,North Korea,Palau,Philippines,South Korea,Cambodia,Laos,Myanmar,Thailand,Vietnam,Marshall Is.,Micronesia,Botswana,Burundi,Rwanda,Zambia,Zimbabwe,Comoros,Lesotho,Malawi,Mozambique,South Africa,Swaziland,Angola,Congo,"Congo, DRC",Fiji,Gabon,Namibia,New Zealand,Madagascar,Mauritius,Seychelles,Timor Leste,Australia,Nauru,Papua New Guinea,Solomon Is.,Tuvalu,Vanuatu,Canada,Germany,Taiwan,China,Malaysia,Singapore,Indonesia,Libya,Chad,Israel,Syria,Egypt,India,Montenegro,Kosovo,Serbia,United States,Uganda,Kenya,Tanzania,Morocco,Mauritania,Sudan,South Sudan
2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,95.0,0.0,0.0,3.0,0.0,0.0,122.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,90.0,0.0,2.0,0.0,0.0,23.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,169.0,0.0,0.0,0.0,1446.0,3.0,2.0,0.0,11.0,0.0,0.0,0.0,3.0,23.0,0.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,236.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,3.0,85.0,8.0,35.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,7.0,0.0,0.0,0.0
2021-02-28,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,11.0,142.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,73.0,0.0,0.0,0.0,5.0,0.0,7.0,12.0,48.0,0.0,10.0,0.0,0.0,24.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,0.0,0.0,151.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,89.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,204.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,104.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0
2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,152.0,0.0,0.0,434.0,1.0,0.0,0.0,0.0,0.0,89.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,30.0,72.0,0.0,0.0,0.0,0.0,32.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11443.0,0.0,0.0,140.0,0.0,0.0,0.0,183.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,148.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,56.0,23.0,37.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,74.0,0.0,5.0,0.0,0.0,136.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8412.0,0.0,0.0,65.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,133.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,18.0,9.0,17.0,21.0,35.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,215.0,0.0,0.0,0.0,3.0,0.0,0.0,84.0,57.0,0.0,0.0,0.0,0.0,117.0,178.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4405.0,0.0,0.0,110.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,24.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,3.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,85.0,58.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,446.0,0.0,118.0,0.0,0.0,0.0,5.0,0.0,0.0,45.0,43.0,0.0,4.0,0.0,0.0,53.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1470.0,0.0,0.0,133.0,0.0,0.0,18.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,56.0,39.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2021-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,87.0,0.0,0.0,0.0,12.0,0.0,0.0,29.0,14.0,1.0,0.0,0.0,0.0,58.0,110.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,0.0,0.0,202.0,0.0,0.0,21.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,139.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,45.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,16.0
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,105.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,6.0,0.0,0.0,0.0,0.0,14.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,0.0,0.0,189.0,0.0,0.0,0.0,68.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,222.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,154.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,30.0,80.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,4.0
2021-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,20105.0,0.0,482.0,0.0,0.0,0.0,3.0,0.0,0.0,45.0,0.0,3.0,0.0,0.0,0.0,24.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8069.0,0.0,0.0,418.0,0.0,0.0,0.0,44.0,3.0,291.0,0.0,19.0,0.0,0.0,0.0,0.0,201.0,66.0,0.0,49.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,74.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2021-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,113.0,0.0,0.0,0.0,7.0,0.0,386.0,0.0,59.0,0.0,0.0,0.0,10.0,0.0,0.0,18.0,25.0,0.0,8.0,0.0,0.0,24.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230.0,0.0,0.0,772.0,0.0,0.0,0.0,43.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,281.0,2.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,86.0,17.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
