,country,dd,sb_fatalities,preds
0,Afghanistan,2022-01,28,1521.71225
1,Afghanistan,2022-02,5,231.29
2,Afghanistan,2022-03,29,19.7
3,Afghanistan,2022-04,102,21.7
4,Afghanistan,2022-05,127,35.6
5,Afghanistan,2022-06,70,141.68
6,Afghanistan,2022-07,56,27.95
7,Afghanistan,2022-08,42,11.19
8,Afghanistan,2022-09,216,36.01
9,Afghanistan,2022-10,95,86.74
10,Afghanistan,2022-11,15,64.72
11,Afghanistan,2022-12,93,64.72
12,Afghanistan,2023-01,51,35.185
13,Afghanistan,2023-02,13,85.6229404761905
14,Afghanistan,2023-03,41,226.75
15,Afghanistan,2023-04,47,85.1287023809524
16,Afghanistan,2023-05,12,4.47
17,Afghanistan,2023-06,23,15.989853655030904
18,Afghanistan,2023-07,6,30.325
19,Afghanistan,2023-08,19,16.766694444444447
20,Afghanistan,2023-09,1,15.989853655030904
21,Afghanistan,2023-10,4,18.8455
22,Afghanistan,2023-11,8,52.46
23,Afghanistan,2023-12,1,52.46
24,Albania,2022-01,0,0.0
25,Albania,2022-02,0,0.0
26,Albania,2022-03,0,0.0
27,Albania,2022-04,0,0.0
28,Albania,2022-05,0,0.0
29,Albania,2022-06,0,0.0
30,Albania,2022-07,0,0.0
31,Albania,2022-08,0,0.0
32,Albania,2022-09,0,0.0
33,Albania,2022-10,0,0.0
34,Albania,2022-11,0,0.0
35,Albania,2022-12,0,0.0
36,Albania,2023-01,0,0.0
37,Albania,2023-02,0,0.0
38,Albania,2023-03,0,0.0
39,Albania,2023-04,0,0.0
40,Albania,2023-05,0,0.0
41,Albania,2023-06,0,0.0
42,Albania,2023-07,0,0.0
43,Albania,2023-08,0,0.0
44,Albania,2023-09,0,0.0
45,Albania,2023-10,0,0.0
46,Albania,2023-11,0,0.0
47,Albania,2023-12,0,0.0
48,Algeria,2022-01,4,65.94
49,Algeria,2022-02,7,0.0
50,Algeria,2022-03,3,0.0
51,Algeria,2022-04,0,0.0
52,Algeria,2022-05,0,0.0
53,Algeria,2022-06,0,0.0
54,Algeria,2022-07,0,0.0
55,Algeria,2022-08,0,0.0
56,Algeria,2022-09,0,0.0
57,Algeria,2022-10,0,0.0
58,Algeria,2022-11,0,0.0
59,Algeria,2022-12,0,0.0
60,Algeria,2023-01,0,0.0
61,Algeria,2023-02,0,886.755
62,Algeria,2023-03,0,18.269042291042293
63,Algeria,2023-04,0,114.98430952380951
64,Algeria,2023-05,1,54.4
65,Algeria,2023-06,0,10.72
66,Algeria,2023-07,0,15.88
67,Algeria,2023-08,0,9.72
68,Algeria,2023-09,0,18.886666666666667
69,Algeria,2023-10,0,5.867510461760462
70,Algeria,2023-11,0,13.82
71,Algeria,2023-12,0,18.886666666666667
72,Angola,2022-01,0,0.0
73,Angola,2022-02,0,0.0
74,Angola,2022-03,0,0.0
75,Angola,2022-04,0,0.0
76,Angola,2022-05,0,0.0
77,Angola,2022-06,0,0.0
78,Angola,2022-07,0,0.0
79,Angola,2022-08,1,0.0
80,Angola,2022-09,0,0.0
81,Angola,2022-10,0,0.0
82,Angola,2022-11,0,0.0
83,Angola,2022-12,0,0.0
84,Angola,2023-01,0,0.0
85,Angola,2023-02,0,0.0
86,Angola,2023-03,0,0.0
87,Angola,2023-04,0,0.0
88,Angola,2023-05,0,0.0
89,Angola,2023-06,0,0.0
90,Angola,2023-07,0,0.0
91,Angola,2023-08,0,0.0
92,Angola,2023-09,0,0.0
93,Angola,2023-10,0,0.0
94,Angola,2023-11,0,0.0
95,Angola,2023-12,0,0.0
96,Argentina,2022-01,0,0.0
97,Argentina,2022-02,0,0.0
98,Argentina,2022-03,0,0.0
99,Argentina,2022-04,0,0.0
100,Argentina,2022-05,0,0.0
101,Argentina,2022-06,0,0.0
102,Argentina,2022-07,0,0.0
103,Argentina,2022-08,0,0.0
104,Argentina,2022-09,0,0.0
105,Argentina,2022-10,0,0.0
106,Argentina,2022-11,0,0.0
107,Argentina,2022-12,0,0.0
108,Argentina,2023-01,0,0.0
109,Argentina,2023-02,0,0.0
110,Argentina,2023-03,0,0.0
111,Argentina,2023-04,0,0.0
112,Argentina,2023-05,0,0.0
113,Argentina,2023-06,0,0.0
114,Argentina,2023-07,0,0.0
115,Argentina,2023-08,0,0.0
116,Argentina,2023-09,0,0.0
117,Argentina,2023-10,0,0.0
118,Argentina,2023-11,0,0.0
119,Argentina,2023-12,0,0.0
120,Armenia,2022-01,3,36.52
121,Armenia,2022-02,0,0.0
122,Armenia,2022-03,0,0.0
123,Armenia,2022-04,0,0.0
124,Armenia,2022-05,1,0.0
125,Armenia,2022-06,1,0.0
126,Armenia,2022-07,0,0.0
127,Armenia,2022-08,0,0.0
128,Armenia,2022-09,149,0.0
129,Armenia,2022-10,0,9.38
130,Armenia,2022-11,0,9.38
131,Armenia,2022-12,0,0.0
132,Armenia,2023-01,0,1.8306190476190474
133,Armenia,2023-02,0,0.0
134,Armenia,2023-03,1,0.0
135,Armenia,2023-04,7,0.0
136,Armenia,2023-05,4,0.0
137,Armenia,2023-06,0,0.0
138,Armenia,2023-07,0,5.28
139,Armenia,2023-08,1,0.0
140,Armenia,2023-09,4,0.22
141,Armenia,2023-10,2,37.92
142,Armenia,2023-11,0,37.92
143,Armenia,2023-12,1,0.0
144,Australia,2022-01,0,0.0
145,Australia,2022-02,0,0.0
146,Australia,2022-03,0,0.0
147,Australia,2022-04,0,0.0
148,Australia,2022-05,0,0.0
149,Australia,2022-06,0,0.0
150,Australia,2022-07,0,0.0
151,Australia,2022-08,0,0.0
152,Australia,2022-09,0,0.0
153,Australia,2022-10,0,0.0
154,Australia,2022-11,0,0.0
