,country,year,d_protest,preds,preds_proba
0,Afghanistan,2017,1,0,0.0
1,Afghanistan,2018,1,0,0.0
2,Afghanistan,2019,1,0,0.0
3,Afghanistan,2020,1,0,0.0
4,Afghanistan,2021,1,0,0.0
5,Afghanistan,2022,1,0,0.0
6,Afghanistan,2023,1,0,0.0
7,Albania,2018,1,0,0.0
8,Albania,2019,1,0,0.0
9,Albania,2020,1,0,0.0
10,Albania,2021,1,0,0.0
11,Albania,2022,1,0,0.0
12,Albania,2023,1,0,0.0
13,Algeria,2017,1,0,0.0
14,Algeria,2018,1,0,0.0
15,Algeria,2019,1,0,0.0
16,Algeria,2020,1,0,0.0
17,Algeria,2021,1,0,0.0
18,Algeria,2022,1,0,0.0
19,Algeria,2023,1,0,0.0
20,Angola,2017,1,0,0.0
21,Angola,2018,1,0,0.0
22,Angola,2019,1,0,0.0
23,Angola,2020,1,0,0.0
24,Angola,2021,1,0,0.0
25,Angola,2022,1,0,0.0
26,Angola,2023,1,0,0.0
27,Argentina,2018,1,0,0.0
28,Argentina,2019,1,0,0.0
29,Argentina,2020,1,0,0.0
30,Argentina,2021,1,0,0.0
31,Argentina,2022,1,0,0.0
32,Argentina,2023,1,0,0.0
33,Armenia,2018,1,0,0.0
34,Armenia,2019,1,0,0.0
35,Armenia,2020,1,0,0.0
36,Armenia,2021,1,0,0.0
37,Armenia,2022,1,0,0.0
38,Armenia,2023,1,0,0.0
39,Australia,2021,1,0,0.0
40,Australia,2022,1,0,0.0
41,Australia,2023,1,0,0.0
42,Austria,2020,1,0,0.0
43,Austria,2021,1,0,0.0
44,Austria,2022,1,0,0.0
45,Austria,2023,1,0,0.0
46,Azerbaijan,2018,1,0,0.0
47,Azerbaijan,2019,1,0,0.0
48,Azerbaijan,2020,1,0,0.0
49,Azerbaijan,2021,1,0,0.0
50,Azerbaijan,2022,1,0,0.0
51,Azerbaijan,2023,1,0,0.0
52,Bahrain,2017,1,0,0.0
53,Bahrain,2018,1,0,0.0
54,Bahrain,2019,1,0,0.0
55,Bahrain,2020,1,0,0.0
56,Bahrain,2021,1,0,0.0
57,Bahrain,2022,1,0,0.0
58,Bahrain,2023,1,0,0.0
59,Bangladesh,2017,1,0,0.0
60,Bangladesh,2018,1,0,0.0
61,Bangladesh,2019,1,0,0.0
62,Bangladesh,2020,1,0,0.0
63,Bangladesh,2021,1,0,0.0
64,Bangladesh,2022,1,0,0.0
65,Bangladesh,2023,1,0,0.0
66,Barbados,2018,0,0,0.0
67,Barbados,2019,0,0,0.0
68,Barbados,2020,0,0,0.0
69,Barbados,2021,0,0,0.0
70,Barbados,2022,0,0,0.0
71,Barbados,2023,0,0,0.0
72,Belarus,2018,1,0,0.0
73,Belarus,2019,1,0,0.0
74,Belarus,2020,1,0,0.0
75,Belarus,2021,1,0,0.0
76,Belarus,2022,1,0,0.0
77,Belarus,2023,0,0,0.0
78,Belgium,2020,1,0,0.0
79,Belgium,2021,1,0,0.0
80,Belgium,2022,1,0,0.0
81,Belgium,2023,1,0,0.0
82,Benin,2017,1,0,0.0
83,Benin,2018,0,0,0.0
84,Benin,2019,0,0,0.0
85,Benin,2020,0,0,0.0
86,Benin,2021,0,0,0.0
87,Benin,2022,0,0,0.0
88,Benin,2023,0,0,0.0
89,Bhutan,2020,0,0,0.0
90,Bhutan,2021,0,0,0.0
91,Bhutan,2022,0,0,0.0
92,Bhutan,2023,0,0,0.0
93,Bolivia,2018,1,0,0.0
94,Bolivia,2019,1,0,0.0
95,Bolivia,2020,1,0,0.0
96,Bolivia,2021,1,0,0.0
97,Bolivia,2022,1,0,0.0
98,Bolivia,2023,1,0,0.0
99,Bosnia-Herzegovina,2018,1,0,0.0
100,Bosnia-Herzegovina,2019,1,0,0.0
101,Bosnia-Herzegovina,2020,1,0,0.0
102,Bosnia-Herzegovina,2021,1,0,0.0
103,Bosnia-Herzegovina,2022,1,0,0.0
104,Bosnia-Herzegovina,2023,1,0,0.0
105,Botswana,2017,0,0,0.0
106,Botswana,2018,0,0,0.0
107,Botswana,2019,0,0,0.0
108,Botswana,2020,0,0,0.0
109,Botswana,2021,0,0,0.0
110,Botswana,2022,0,0,0.0
111,Botswana,2023,0,0,0.0
112,Brazil,2018,1,0,0.0
113,Brazil,2019,1,0,0.0
114,Brazil,2020,1,0,0.0
115,Brazil,2021,1,0,0.0
116,Brazil,2022,1,0,0.0
117,Brazil,2023,1,0,0.0
118,Bulgaria,2018,1,0,0.0
119,Bulgaria,2019,1,0,0.0
120,Bulgaria,2020,1,0,0.0
121,Bulgaria,2021,1,0,0.0
122,Bulgaria,2022,1,0,0.0
123,Bulgaria,2023,1,0,0.0
124,Burkina Faso,2017,1,0,0.0
125,Burkina Faso,2018,1,0,0.0
126,Burkina Faso,2019,1,0,0.0
127,Burkina Faso,2020,1,0,0.0
128,Burkina Faso,2021,1,0,0.0
129,Burkina Faso,2022,1,0,0.0
130,Burkina Faso,2023,1,0,0.0
131,Burundi,2017,1,0,0.0
132,Burundi,2018,1,0,0.0
133,Burundi,2019,1,0,0.0
134,Burundi,2020,0,0,0.0
135,Burundi,2021,0,0,0.0
136,Burundi,2022,1,0,0.0
137,Burundi,2023,0,0,0.0
138,Cambodia (Kampuchea),2017,1,0,0.0
139,Cambodia (Kampuchea),2018,1,0,0.0
140,Cambodia (Kampuchea),2019,1,0,0.0
141,Cambodia (Kampuchea),2020,1,0,0.0
142,Cambodia (Kampuchea),2021,1,0,0.0
143,Cambodia (Kampuchea),2022,1,0,0.0
144,Cambodia (Kampuchea),2023,1,0,0.0
145,Cameroon,2017,1,0,0.0
146,Cameroon,2018,1,0,0.0
147,Cameroon,2019,1,0,0.0
148,Cameroon,2020,1,0,0.0
149,Cameroon,2021,1,0,0.0
150,Cameroon,2022,1,0,0.0
151,Cameroon,2023,1,0,0.0
152,Canada,2021,1,0,0.0
153,Canada,2022,1,0,0.0
154,Canada,2023,1,0,0.0
155,Cabo Verde,2020,1,0,0.0
156,Cabo Verde,2021,1,0,0.0
157,Cabo Verde,2022,1,0,0.0
158,Cabo Verde,2023,1,0,0.0
159,Central African Republic,2017,1,0,0.0
160,Central African Republic,2018,0,0,0.0
161,Central African Republic,2019,1,0,0.0
162,Central African Republic,2020,1,0,0.0
163,Central African Republic,2021,1,0,0.0
164,Central African Republic,2022,1,0,0.0
165,Central African Republic,2023,0,0,0.0
166,Chad,2017,0,0,0.0
167,Chad,2018,0,0,0.0
168,Chad,2019,1,0,0.0
169,Chad,2020,0,0,0.0
170,Chad,2021,1,0,0.0
171,Chad,2022,1,0,0.0
172,Chad,2023,1,0,0.0
173,Chile,2018,1,0,0.0
174,Chile,2019,1,0,0.0
175,Chile,2020,1,0,0.0
176,Chile,2021,1,0,0.0
177,Chile,2022,1,0,0.0
178,Chile,2023,1,0,0.0
179,China,2018,1,0,0.0
180,China,2019,1,0,0.0
181,China,2020,1,0,0.0
182,China,2021,1,0,0.0
183,China,2022,1,0,0.0
184,China,2023,1,0,0.0
185,Colombia,2018,1,0,0.0
186,Colombia,2019,1,0,0.0
187,Colombia,2020,1,0,0.0
188,Colombia,2021,1,0,0.0
189,Colombia,2022,1,0,0.0
190,Colombia,2023,1,0,0.0
