,country,year,d_terror,preds,preds_proba
0,United States of America,2017,1,0,0.0
1,United States of America,2018,1,0,0.0
2,United States of America,2019,1,0,0.0
3,United States of America,2020,1,0,0.0
4,Canada,2017,1,0,0.0
5,Canada,2018,1,0,0.0
6,Canada,2019,0,0,0.0
7,Canada,2020,1,0,0.0
8,Cuba,2017,0,0,0.0
9,Cuba,2018,0,0,0.0
10,Cuba,2019,0,0,0.0
11,Cuba,2020,0,0,0.0
12,Haiti,2017,0,0,0.0
13,Haiti,2018,0,0,0.0
14,Haiti,2019,1,0,0.0
15,Haiti,2020,0,0,0.0
16,Dominican Republic,2017,0,0,0.0
17,Dominican Republic,2018,0,0,0.0
18,Dominican Republic,2019,0,0,0.0
19,Dominican Republic,2020,0,0,0.0
20,Jamaica,2017,0,0,0.0
21,Jamaica,2018,0,0,0.0
22,Jamaica,2019,0,0,0.0
23,Jamaica,2020,0,0,0.0
24,Trinidad and Tobago,2017,0,0,0.0
25,Trinidad and Tobago,2018,0,0,0.0
26,Trinidad and Tobago,2019,0,0,0.0
27,Trinidad and Tobago,2020,0,0,0.0
28,Barbados,2017,0,0,0.0
29,Barbados,2018,0,0,0.0
30,Barbados,2019,0,0,0.0
31,Barbados,2020,0,0,0.0
32,Mexico,2017,1,0,0.0
33,Mexico,2018,1,0,0.0
34,Mexico,2019,1,0,0.0
35,Mexico,2020,1,0,0.0
36,Guatemala,2017,0,0,0.0
37,Guatemala,2018,0,0,0.0
38,Guatemala,2019,0,0,0.0
39,Guatemala,2020,1,0,0.0
40,Honduras,2017,1,0,0.0
41,Honduras,2018,0,0,0.0
42,Honduras,2019,1,0,0.0
43,Honduras,2020,1,0,0.0
44,El Salvador,2017,0,0,0.0
45,El Salvador,2018,0,0,0.0
46,El Salvador,2019,0,0,0.0
47,El Salvador,2020,0,0,0.0
48,Nicaragua,2017,0,0,0.0
49,Nicaragua,2018,1,0,0.0
50,Nicaragua,2019,0,0,0.0
51,Nicaragua,2020,1,0,0.0
52,Costa Rica,2017,0,0,0.0
53,Costa Rica,2018,0,0,0.0
54,Costa Rica,2019,0,0,0.0
55,Costa Rica,2020,0,0,0.0
56,Panama,2017,0,0,0.0
57,Panama,2018,0,0,0.0
58,Panama,2019,0,0,0.0
59,Panama,2020,0,0,0.0
60,Colombia,2017,1,0,0.0
61,Colombia,2018,1,0,0.0
62,Colombia,2019,1,0,0.0
63,Colombia,2020,1,0,0.0
64,Venezuela,2017,1,0,0.0
65,Venezuela,2018,1,0,0.0
66,Venezuela,2019,1,0,0.0
67,Venezuela,2020,1,0,0.0
68,Guyana,2017,0,0,0.0
69,Guyana,2018,0,0,0.0
70,Guyana,2019,0,0,0.0
71,Guyana,2020,0,0,0.0
72,Suriname,2017,0,0,0.0
73,Suriname,2018,0,0,0.0
74,Suriname,2019,0,0,0.0
75,Suriname,2020,0,0,0.0
76,Ecuador,2017,0,0,0.0
77,Ecuador,2018,1,0,0.0
78,Ecuador,2019,1,0,0.0
79,Ecuador,2020,0,0,0.0
80,Peru,2017,1,0,0.0
81,Peru,2018,1,0,0.0
82,Peru,2019,0,0,0.0
83,Peru,2020,0,0,0.0
84,Brazil,2017,0,0,0.0
85,Brazil,2018,1,0,0.0
86,Brazil,2019,1,0,0.0
87,Brazil,2020,1,0,0.0
88,Bolivia,2017,0,0,0.0
89,Bolivia,2018,1,0,0.0
90,Bolivia,2019,0,0,0.0
91,Bolivia,2020,0,0,0.0
92,Paraguay,2017,1,0,0.0
93,Paraguay,2018,1,0,0.0
94,Paraguay,2019,0,0,0.0
95,Paraguay,2020,0,0,0.0
96,Chile,2017,0,0,0.0
97,Chile,2018,0,0,0.0
98,Chile,2019,0,0,0.0
99,Chile,2020,1,0,0.0
100,Argentina,2017,0,0,0.0
101,Argentina,2018,0,0,0.0
102,Argentina,2019,0,0,0.0
103,Argentina,2020,0,0,0.0
104,Uruguay,2017,0,0,0.0
105,Uruguay,2018,0,0,0.0
106,Uruguay,2019,0,0,0.0
107,Uruguay,2020,0,0,0.0
108,United Kingdom,2017,1,0,0.0
109,United Kingdom,2018,1,0,0.0
110,United Kingdom,2019,1,0,0.0
111,United Kingdom,2020,1,0,0.0
112,Ireland,2017,0,0,0.0
113,Ireland,2018,0,0,0.0
114,Ireland,2019,0,0,0.0
115,Ireland,2020,0,0,0.0
116,Netherlands,2017,0,0,0.0
117,Netherlands,2018,1,0,0.0
118,Netherlands,2019,1,0,0.0
119,Netherlands,2020,0,0,0.0
120,Belgium,2017,1,0,0.0
121,Belgium,2018,1,0,0.0
122,Belgium,2019,0,0,0.0
123,Belgium,2020,0,0,0.0
124,Luxembourg,2017,0,0,0.0
