,country,year,d_civil_conflict,preds,preds_proba
0,United States of America,2017,0,0,0.1594776899284809
1,United States of America,2018,0,0,0.13476629434041376
2,United States of America,2019,0,0,0.13228982083868024
3,United States of America,2020,0,0,0.13419670543501505
4,United States of America,2021,0,0,0.14352593489797405
5,United States of America,2022,0,0,0.158565204692073
6,United States of America,2023,0,0,0.158565204692073
7,Canada,2017,0,0,0.0
8,Canada,2018,0,0,0.0
9,Canada,2019,0,0,0.0014858841010401188
10,Canada,2020,0,0,0.0014858841010401188
11,Canada,2021,0,0,0.0014858841010401188
12,Canada,2022,0,0,0.002228826151560178
13,Canada,2023,0,0,0.0014858841010401188
14,Cuba,2017,0,0,0.0007429420505200594
15,Cuba,2018,0,0,0.0
16,Cuba,2019,0,0,0.0
17,Cuba,2020,0,0,0.0
18,Cuba,2021,0,0,0.0004952947003467063
19,Cuba,2022,0,0,0.0
20,Cuba,2023,0,0,0.0
21,Haiti,2017,0,0,0.011012110261520278
22,Haiti,2018,0,0,0.010992258477181124
23,Haiti,2019,0,0,0.016135703442319998
24,Haiti,2020,0,0,0.03825886672447287
25,Haiti,2021,0,0,0.056006926820229855
26,Haiti,2022,0,0,0.08235660487867463
27,Haiti,2023,0,0,0.07487529635724724
28,Dominican Republic,2017,0,0,0.027314024266869293
29,Dominican Republic,2018,0,0,0.04096383821386006
30,Dominican Republic,2019,0,0,0.06441837814313997
31,Dominican Republic,2020,0,0,0.08273656317752115
32,Dominican Republic,2021,0,0,0.1109300883249839
33,Dominican Republic,2022,0,0,0.13667359114872443
34,Dominican Republic,2023,0,0,0.15078975812521828
35,Jamaica,2017,0,0,0.0029717682020802376
36,Jamaica,2018,0,0,0.0029717682020802376
37,Jamaica,2019,0,0,0.0029717682020802376
38,Jamaica,2020,0,0,0.0029717682020802376
39,Jamaica,2021,0,0,0.0029717682020802376
40,Jamaica,2022,0,0,0.0029717682020802376
41,Jamaica,2023,0,0,0.0029717682020802376
42,Trinidad and Tobago,2017,0,0,0.017806663935544826
43,Trinidad and Tobago,2018,0,0,0.015165092200362395
44,Trinidad and Tobago,2019,0,0,0.015367712759595137
45,Trinidad and Tobago,2020,0,0,0.0185458537534865
46,Trinidad and Tobago,2021,0,0,0.015697909226492942
47,Trinidad and Tobago,2022,0,0,0.011517691227552805
48,Trinidad and Tobago,2023,0,0,0.016990697666383905
49,Barbados,2017,0,0,0.06019929298649874
50,Barbados,2018,0,0,0.05085700080616792
51,Barbados,2019,0,0,0.029771532743300945
52,Barbados,2020,0,0,0.0204847571118002
53,Barbados,2021,0,0,0.006176636637260709
54,Barbados,2022,0,0,0.007063664418790719
55,Barbados,2023,0,0,0.007063664418790719
56,Mexico,2017,0,0,0.05411431271386695
57,Mexico,2018,0,0,0.0730950080132844
58,Mexico,2019,0,0,0.08699686890622998
59,Mexico,2020,0,0,0.09057979539034516
60,Mexico,2021,0,0,0.09050773559747517
61,Mexico,2022,0,0,0.09355556691425153
62,Mexico,2023,0,0,0.09281214861882728
63,Guatemala,2017,0,0,0.04734619227561278
64,Guatemala,2018,0,0,0.042078098483788545
65,Guatemala,2019,0,0,0.029696592751614157
66,Guatemala,2020,0,0,0.03224116927464536
67,Guatemala,2021,0,0,0.019549605431521344
68,Guatemala,2022,0,0,0.020985960062526794
69,Guatemala,2023,0,0,0.0194523154010961
70,Honduras,2017,0,0,0.0007429420505200594
