,country,year,d_ns,preds,preds_proba
0,United States of America,2017,0,0,0.04657869785082174
1,United States of America,2018,0,0,0.05811209439528024
2,United States of America,2019,1,0,0.060324483775811205
3,United States of America,2020,0,0,0.06736725663716814
4,United States of America,2021,0,0,0.07179203539823008
5,United States of America,2022,1,0,0.0770385587863464
6,United States of America,2023,0,0,0.12829224610198062
7,Canada,2017,0,0,0.057640852508446916
8,Canada,2018,0,0,0.05985324188897789
9,Canada,2019,0,0,0.06427802065003983
10,Canada,2020,0,0,0.07036209144650002
11,Canada,2021,0,0,0.08142403834915486
12,Canada,2022,0,0,0.09292846312791593
13,Canada,2023,0,0,0.13938864011906638
14,Cuba,2017,0,0,0.00044247787610619474
15,Cuba,2018,0,0,0.00044247787610619474
16,Cuba,2019,0,0,0.001825221238938053
17,Cuba,2020,0,0,0.0022123893805309734
18,Cuba,2021,0,0,0.0
19,Cuba,2022,0,0,0.001327433628318584
20,Cuba,2023,0,0,0.012536873156342181
21,Haiti,2017,0,0,0.024095138650257825
22,Haiti,2018,0,0,0.032332034497773145
23,Haiti,2019,0,0,0.042671694725127614
24,Haiti,2020,0,0,0.04581367714390678
25,Haiti,2021,1,0,0.06802208770118752
26,Haiti,2022,1,0,0.05658023555137077
27,Haiti,2023,1,0,0.07949237713084192
28,Dominican Republic,2017,0,0,0.010329976367297931
29,Dominican Republic,2018,0,0,0.023460904876834082
30,Dominican Republic,2019,0,0,0.017835114737769605
31,Dominican Republic,2020,0,0,0.02195964065433092
32,Dominican Republic,2021,0,0,0.03993530437114508
33,Dominican Republic,2022,0,0,0.042885156878519716
34,Dominican Republic,2023,0,0,0.05896185304371146
35,Jamaica,2017,0,0,0.010324483775811208
36,Jamaica,2018,0,0,0.008112094395280236
37,Jamaica,2019,0,0,0.00969237252423093
38,Jamaica,2020,0,0,0.00969237252423093
39,Jamaica,2021,0,0,0.006005056890012642
40,Jamaica,2022,0,0,0.006005056890012642
41,Jamaica,2023,0,0,0.017288242730720608
42,Trinidad and Tobago,2017,0,0,0.01644542772861357
43,Trinidad and Tobago,2018,0,0,0.013679941002949853
44,Trinidad and Tobago,2019,0,0,0.009587020648967553
45,Trinidad and Tobago,2020,0,0,0.015855457227138645
46,Trinidad and Tobago,2021,0,0,0.015855457227138645
47,Trinidad and Tobago,2022,0,0,0.012536873156342181
48,Trinidad and Tobago,2023,0,0,0.014601769911504425
49,Barbados,2017,0,0,0.01047197640117994
50,Barbados,2018,0,0,0.013126843657817109
51,Barbados,2019,0,0,0.010914454277286134
52,Barbados,2020,0,0,0.010914454277286134
53,Barbados,2021,0,0,0.0014380530973451327
54,Barbados,2022,0,0,0.000995575221238938
55,Barbados,2023,0,0,0.012094395280235988
56,Mexico,2017,1,1,0.7885508849557522
57,Mexico,2018,1,1,0.7525995575221239
58,Mexico,2019,1,1,0.7159845132743363
59,Mexico,2020,1,1,0.6879609144542772
60,Mexico,2021,1,1,0.6543325958702064
61,Mexico,2022,1,1,0.6420538348082595
62,Mexico,2023,1,1,0.5969579646017699
63,Guatemala,2017,0,0,0.27660514164521505
64,Guatemala,2018,0,0,0.27518109934710394
65,Guatemala,2019,0,0,0.2709538553521608
66,Guatemala,2020,0,0,0.2591676634221635
67,Guatemala,2021,0,0,0.2584196651077935
68,Guatemala,2022,1,0,0.24584496105078857
69,Guatemala,2023,0,0,0.2818118793510148
70,Honduras,2017,0,1,0.7769038063877537
71,Honduras,2018,1,1,0.7189410095975233
72,Honduras,2019,1,1,0.6523689305927778
73,Honduras,2020,1,1,0.615495774250595
74,Honduras,2021,1,1,0.5803007752796133
75,Honduras,2022,1,1,0.5820812219715645
76,Honduras,2023,1,1,0.5714643867418975
77,El Salvador,2017,0,0,0.03842143609204173
78,El Salvador,2018,0,0,0.04848033118876155
79,El Salvador,2019,0,0,0.05432110892568713
