,country,year,d_osv,preds,preds_proba
0,United States of America,2017,1,0,0.36140878416327554
1,United States of America,2018,1,0,0.3466107017566599
2,United States of America,2019,0,0,0.33910280089172307
3,United States of America,2020,0,0,0.33889072504341966
4,United States of America,2021,0,0,0.34293264121108435
5,United States of America,2022,0,0,0.3594594091038705
6,United States of America,2023,0,0,0.36060711369468884
7,Canada,2017,0,0,0.0007841459937268321
8,Canada,2018,0,0,0.00115839749073282
9,Canada,2019,0,0,0.004314585115483319
10,Canada,2020,0,0,0.011391502708867981
11,Canada,2021,0,0,0.026087111491303105
12,Canada,2022,0,0,0.02683561448531508
13,Canada,2023,0,0,0.029904476760764184
14,Cuba,2017,0,0,0.0
15,Cuba,2018,0,0,0.0
16,Cuba,2019,0,0,0.0
17,Cuba,2020,0,0,0.0
18,Cuba,2021,0,0,0.003854790419161677
19,Cuba,2022,0,0,0.0018962075848303393
20,Cuba,2023,0,0,0.000499001996007984
21,Haiti,2017,1,0,0.008237097234103222
22,Haiti,2018,1,0,0.006590390647276874
23,Haiti,2019,1,0,0.009285001425719988
24,Haiti,2020,1,0,0.01401304533789564
25,Haiti,2021,1,0,0.09739746697082029
26,Haiti,2022,1,0,0.08293413173652694
27,Haiti,2023,1,0,0.06567044482463642
28,Dominican Republic,2017,0,0,0.015477081551183344
29,Dominican Republic,2018,0,0,0.016100834046193325
30,Dominican Republic,2019,0,0,0.01560183205018534
31,Dominican Republic,2020,0,0,0.01784734103222127
32,Dominican Republic,2021,0,0,0.021153229255774165
33,Dominican Republic,2022,0,0,0.022275983746792134
34,Dominican Republic,2023,0,0,0.0480369617907043
35,Jamaica,2017,0,0,0.0006237524950099799
36,Jamaica,2018,0,0,0.0
37,Jamaica,2019,0,0,0.0
38,Jamaica,2020,0,0,0.0
39,Jamaica,2021,0,0,0.0
40,Jamaica,2022,0,0,0.0
41,Jamaica,2023,0,0,0.0
42,Trinidad and Tobago,2017,0,0,0.003480538922155689
43,Trinidad and Tobago,2018,0,0,0.003480538922155689
44,Trinidad and Tobago,2019,0,0,0.008525805531793556
45,Trinidad and Tobago,2020,0,0,0.011894069004847449
46,Trinidad and Tobago,2021,0,0,0.011421799258625607
47,Trinidad and Tobago,2022,0,0,0.010904975762760194
48,Trinidad and Tobago,2023,0,0,0.010566367265469062
49,Barbados,2017,0,0,0.1013793840889649
50,Barbados,2018,0,0,0.08882235528942115
51,Barbados,2019,0,0,0.0646189763330482
52,Barbados,2020,0,0,0.05397775876817792
53,Barbados,2021,0,0,0.010726760764185913
54,Barbados,2022,0,0,0.018690297975477617
55,Barbados,2023,0,0,0.016943790989449672
56,Mexico,2017,1,1,0.8660399439216799
57,Mexico,2018,1,1,0.8483027991635772
58,Mexico,2019,1,1,0.8227547880429612
59,Mexico,2020,1,1,0.7962150104552794
60,Mexico,2021,1,1,0.6196476095428194
61,Mexico,2022,1,0,0.4254577155213382
62,Mexico,2023,1,0,0.36253326679973363
63,Guatemala,2017,0,0,0.033863522954091826
64,Guatemala,2018,0,0,0.04710073899819411
65,Guatemala,2019,0,0,0.07670937886132498
66,Guatemala,2020,0,0,0.038829780914361754
67,Guatemala,2021,0,0,0.1979145874916833
68,Guatemala,2022,0,0,0.2126975216234198
69,Guatemala,2023,0,0,0.2618759504799923
70,Honduras,2017,0,0,0.1846164813230682
71,Honduras,2018,0,0,0.17248627744510983
72,Honduras,2019,1,0,0.16918038922155695
73,Honduras,2020,0,0,0.16856911177644718
74,Honduras,2021,1,0,0.1575500784145994
75,Honduras,2022,1,0,0.1467484673510123
76,Honduras,2023,1,0,0.14487720986598238
77,El Salvador,2017,0,0,0.015550149700598799
78,El Salvador,2018,0,0,0.02286142001710864
79,El Salvador,2019,1,0,0.019418306244653554
80,El Salvador,2020,0,0,0.013205731394354148
81,El Salvador,2021,1,0,0.01265682919874537
82,El Salvador,2022,1,0,0.013686911890504706
83,El Salvador,2023,0,0,0.016543698317650412
84,Nicaragua,2017,0,0,0.003077178975382568
85,Nicaragua,2018,0,0,0.004016966067864272
86,Nicaragua,2019,0,0,0.008483033932135729
87,Nicaragua,2020,0,0,0.0156437125748503
88,Nicaragua,2021,0,0,0.016080339321357284
89,Nicaragua,2022,0,0,0.010192115768463074
90,Nicaragua,2023,0,0,0.008882235528942116
91,Costa Rica,2017,0,0,0.0
92,Costa Rica,2018,0,0,0.0
93,Costa Rica,2019,0,0,0.00037425149700598805
94,Costa Rica,2020,0,0,0.0020209580838323354
95,Costa Rica,2021,0,0,0.0
96,Costa Rica,2022,0,0,0.0
97,Costa Rica,2023,0,0,0.0
98,Panama,2017,0,0,0.0026571856287425154
99,Panama,2018,0,0,0.001846307385229541
100,Panama,2019,0,0,0.002220558882235529
101,Panama,2020,0,0,0.004091816367265469
102,Panama,2021,0,0,0.05011346354909229
103,Panama,2022,0,0,0.023770316509837464
104,Panama,2023,0,0,0.026776803535785567
105,Colombia,2017,1,0,0.339915110255679
106,Colombia,2018,1,0,0.25151898583784815
107,Colombia,2019,1,0,0.24827101748883193
108,Colombia,2020,1,0,0.22089808478281528
109,Colombia,2021,1,0,0.2226267702689858
110,Colombia,2022,1,0,0.2059440642524475
111,Colombia,2023,1,0,0.18870889174032887
112,Venezuela,2017,1,1,0.889058490162532
113,Venezuela,2018,1,1,0.8567353616941942
114,Venezuela,2019,1,1,0.8859456910355115
115,Venezuela,2020,1,1,0.9213350085543198
116,Venezuela,2021,1,1,0.906170694325634
117,Venezuela,2022,1,1,0.8147621423819025
118,Venezuela,2023,1,1,0.7864223933086205
119,Guyana,2017,0,0,0.011289920159680639
120,Guyana,2018,0,0,0.00782185628742515
121,Guyana,2019,0,0,0.008944610778443114
122,Guyana,2020,0,0,0.014683133732534931
123,Guyana,2021,0,0,0.02072105788423154
124,Guyana,2022,0,0,0.029439038589487692
125,Guyana,2023,0,0,0.03164712242182302
126,Suriname,2017,0,0,0.021255702879954378
127,Suriname,2018,0,0,0.015103721129170232
128,Suriname,2019,0,0,0.015003920729968633
129,Suriname,2020,0,0,0.01205980895352153
130,Suriname,2021,0,0,0.0036890504704875965
131,Suriname,2022,0,0,0.001122754491017964
132,Suriname,2023,0,0,0.0017465069860279443
133,Ecuador,2017,0,0,0.01024201596806387
134,Ecuador,2018,0,0,0.018929997148560022
135,Ecuador,2019,0,0,0.04099212289706301
136,Ecuador,2020,0,0,0.04541096378671229
137,Ecuador,2021,0,0,0.09500968301492255
138,Ecuador,2022,1,0,0.08213543151791657
139,Ecuador,2023,0,0,0.07614443731584451
140,Peru,2017,0,1,0.5457901837018603
141,Peru,2018,0,0,0.2871736775367015
142,Peru,2019,1,0,0.2655187730599408
143,Peru,2020,1,0,0.23554716864971356
144,Peru,2021,0,0,0.2359404297465675
145,Peru,2022,1,0,0.24609512036533002
146,Peru,2023,0,0,0.24665293331086752
147,Brazil,2017,1,1,0.5978216186674267
148,Brazil,2018,1,1,0.5959441236574466
149,Brazil,2019,1,1,0.5885143403668848
150,Brazil,2020,1,1,0.5826947295884416
151,Brazil,2021,1,1,0.5820353340937168
152,Brazil,2022,1,1,0.5810729731014156
153,Brazil,2023,1,1,0.5808003041535971
154,Bolivia,2017,0,0,0.04283397490732819
155,Bolivia,2018,0,0,0.04072925577416596
156,Bolivia,2019,0,0,0.022904191616766472
157,Bolivia,2020,0,0,0.010387558216899535
158,Bolivia,2021,0,0,0.011115269461077845
159,Bolivia,2022,0,0,0.008994510978043912
160,Bolivia,2023,0,0,0.008869760479041916
161,Paraguay,2017,0,0,0.003289254823685961
162,Paraguay,2018,1,0,0.0025823353293413175
163,Paraguay,2019,0,0,0.006075349301397206
164,Paraguay,2020,1,0,0.01409680638722555
165,Paraguay,2021,1,0,0.009730538922155689
166,Paraguay,2022,0,0,0.007609780439121756
167,Paraguay,2023,0,0,0.0061127744510978054
168,Chile,2017,0,0,0.05804729826062162
169,Chile,2018,0,0,0.07514494819884042
170,Chile,2019,0,1,0.5953191830624465
171,Chile,2020,0,1,0.6039768676931849
172,Chile,2021,0,1,0.5745794126033644
173,Chile,2022,0,1,0.5265091840129262
174,Chile,2023,0,1,0.5183255512783952
175,Argentina,2017,0,0,0.0
176,Argentina,2018,0,0,0.0
177,Argentina,2019,0,0,0.0
178,Argentina,2020,0,0,0.0
179,Argentina,2021,0,0,0.0
180,Argentina,2022,0,0,0.0
181,Argentina,2023,0,0,0.0
182,Uruguay,2017,0,0,0.00037425149700598805
183,Uruguay,2018,0,0,0.00037425149700598805
184,Uruguay,2019,0,0,0.0007485029940119761
185,Uruguay,2020,0,0,0.00037425149700598805
186,Uruguay,2021,0,0,0.00037425149700598805
187,Uruguay,2022,0,0,0.0011976047904191617
188,Uruguay,2023,0,0,0.00037425149700598805
189,United Kingdom,2017,0,0,0.03037585543199316
190,United Kingdom,2018,0,0,0.044595630168234944
191,United Kingdom,2019,1,0,0.046529262902765885
192,United Kingdom,2020,0,0,0.09151696606786427
193,United Kingdom,2021,0,0,0.09114271457085829
194,United Kingdom,2022,0,0,0.0911427145708583
195,United Kingdom,2023,0,0,0.09592065868263476
196,Ireland,2017,0,0,0.0005988023952095808
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0
199,Ireland,2020,0,0,0.001908682634730539
200,Ireland,2021,0,0,0.0004491017964071856
201,Ireland,2022,0,0,0.0004491017964071856
202,Ireland,2023,0,0,0.0
203,Netherlands,2017,0,0,0.019710578842315373
204,Netherlands,2018,0,0,0.021332335329341322
205,Netherlands,2019,0,0,0.020271956087824356
206,Netherlands,2020,0,0,0.025898203592814372
207,Netherlands,2021,0,0,0.0280064870259481
208,Netherlands,2022,0,0,0.024918912175648702
209,Netherlands,2023,0,0,0.026540668662674648
210,Belgium,2017,0,0,0.43141447084186596
211,Belgium,2018,1,0,0.3744358685226957
212,Belgium,2019,0,0,0.33277633045597166
213,Belgium,2020,0,0,0.3170791533815491
214,Belgium,2021,0,0,0.31578174819192834
215,Belgium,2022,0,0,0.31044420898462866
216,Belgium,2023,1,0,0.2993039894237503
217,Luxembourg,2017,0,0,0.0
218,Luxembourg,2018,0,0,0.0
219,Luxembourg,2019,0,0,0.0
220,Luxembourg,2020,0,0,0.0
221,Luxembourg,2021,0,0,0.0
222,Luxembourg,2022,0,0,0.0
223,Luxembourg,2023,0,0,0.0
224,France,2017,0,1,0.5578954374800176
225,France,2018,1,1,0.5415008457111745
226,France,2019,0,0,0.4738308286025346
227,France,2020,0,0,0.47133581862249485
228,France,2021,0,0,0.4687597208181036
229,France,2022,0,0,0.45328353034191327
230,France,2023,1,0,0.4488174624776419
231,Switzerland,2017,0,0,0.0006861277445109781
232,Switzerland,2018,0,0,0.0006861277445109781
233,Switzerland,2019,0,0,0.0006861277445109781
234,Switzerland,2020,0,0,0.0006861277445109781
235,Switzerland,2021,0,0,0.0006861277445109781
236,Switzerland,2022,0,0,0.001659181636726547
237,Switzerland,2023,0,0,0.002162341982701264
238,Spain,2017,1,0,0.019097519247219846
239,Spain,2018,0,0,0.024574066153407462
240,Spain,2019,0,0,0.10647395684820836
241,Spain,2020,0,0,0.18047060640623522
242,Spain,2021,0,0,0.18798860612109122
243,Spain,2022,0,0,0.18788880572188965
244,Spain,2023,0,0,0.23071179070430559
245,Portugal,2017,0,0,0.001122754491017964
246,Portugal,2018,0,0,0.001122754491017964
247,Portugal,2019,0,0,0.004765469061876248
248,Portugal,2020,0,0,0.022972210341222314
249,Portugal,2021,0,0,0.009156686626746508
250,Portugal,2022,0,0,0.004765469061876248
251,Portugal,2023,0,0,0.005888223552894212
252,Germany,2017,0,0,0.06673765564109872
253,Germany,2018,0,0,0.05160957846212338
254,Germany,2019,0,0,0.05480319123657447
255,Germany,2020,0,0,0.028987560593099516
256,Germany,2021,0,0,0.028301432848588534
257,Germany,2022,0,0,0.03602378576180971
258,Germany,2023,0,0,0.04629253397965972
259,Poland,2017,0,0,0.0
260,Poland,2018,0,0,0.0
261,Poland,2019,0,0,0.007852152837182777
262,Poland,2020,0,0,0.0
263,Poland,2021,0,0,0.00037425149700598805
264,Poland,2022,0,0,0.00037425149700598805
265,Poland,2023,0,0,0.000998003992015968
266,Austria,2017,0,0,0.0
267,Austria,2018,0,0,0.0
268,Austria,2019,0,0,0.0
269,Austria,2020,1,0,0.0005988023952095808
270,Austria,2021,0,0,0.0
271,Austria,2022,0,0,0.00037425149700598805
272,Austria,2023,0,0,0.0008732534930139719
273,Hungary,2017,0,0,0.0
274,Hungary,2018,0,0,0.0
275,Hungary,2019,0,0,0.0
276,Hungary,2020,0,0,0.0
277,Hungary,2021,0,0,0.0
278,Hungary,2022,0,0,0.0
279,Hungary,2023,0,0,0.00037425149700598805
280,Czechia,2017,0,0,0.001309880239520958
281,Czechia,2018,0,0,0.025441973196464216
282,Czechia,2019,0,0,0.10477527088679785
283,Czechia,2020,0,0,0.10440101938979185
284,Czechia,2021,0,0,0.10440101938979185
285,Czechia,2022,0,0,0.0675390290846878
286,Czechia,2023,0,0,0.021269960079840323
287,Slovakia,2017,0,0,0.015075206729398345
288,Slovakia,2018,0,0,0.02370615911035073
289,Slovakia,2019,0,0,0.028943897918448817
290,Slovakia,2020,0,0,0.02669838893641289
291,Slovakia,2021,0,0,0.031098517251211863
292,Slovakia,2022,0,0,0.03635764185913886
293,Slovakia,2023,0,0,0.044129597946963195
294,Italy,2017,0,0,0.015057088204543293
295,Italy,2018,0,0,0.03961214475810283
296,Italy,2019,0,0,0.039191214640316434
297,Italy,2020,0,0,0.040563470129338385
298,Italy,2021,0,0,0.04031396913133439
299,Italy,2022,0,0,0.04031396913133439
300,Italy,2023,0,0,0.03993971763432841
301,Malta,2017,0,0,0.0032310379241516965
302,Malta,2018,0,0,0.0032310379241516965
303,Malta,2019,0,0,0.0075474051896207575
304,Malta,2020,0,0,0.009044411177644708
305,Malta,2021,0,0,0.007921656686626746
306,Malta,2022,0,0,0.007921656686626746
307,Malta,2023,0,0,0.03865305104077558
308,Albania,2017,0,0,0.0
309,Albania,2018,0,0,0.0
310,Albania,2019,0,0,0.000499001996007984
311,Albania,2020,0,0,0.000499001996007984
312,Albania,2021,0,0,0.000499001996007984
313,Albania,2022,0,0,0.000499001996007984
314,Albania,2023,0,0,0.0008732534930139719
315,Serbia,2017,0,0,0.004879526660963788
316,Serbia,2018,0,0,0.007387011690903908
317,Serbia,2019,0,0,0.022756273167949814
318,Serbia,2020,0,0,0.008067792985457655
319,Serbia,2021,0,0,0.015310450527516397
320,Serbia,2022,0,0,0.016336968919304248
321,Serbia,2023,0,0,0.018083475905332193
322,Montenegro,2017,0,0,0.014149676836802584
323,Montenegro,2018,0,0,0.03342244083262047
324,Montenegro,2019,0,0,0.036220416310236675
325,Montenegro,2020,0,0,0.04061163387510694
326,Montenegro,2021,0,0,0.04263259195893927
327,Montenegro,2022,0,0,0.0450028514399772
328,Montenegro,2023,0,0,0.043231394354148855
329,North Macedonia,2017,0,0,0.00037425149700598805
330,North Macedonia,2018,0,0,0.00037425149700598805
331,North Macedonia,2019,0,0,0.0025199600798403196
332,North Macedonia,2020,0,0,0.015763116623895065
333,North Macedonia,2021,0,0,0.0392037353863701
334,North Macedonia,2022,0,0,0.028001140575990877
335,North Macedonia,2023,0,0,0.026566509837467923
336,Croatia,2017,0,0,0.0026738190286094477
337,Croatia,2018,0,0,0.0026738190286094477
338,Croatia,2019,0,0,0.003572022621423819
339,Croatia,2020,0,0,0.003572022621423819
340,Croatia,2021,0,0,0.015248669328010646
341,Croatia,2022,0,0,0.016389245318886036
342,Croatia,2023,0,0,0.01724467731204258
343,Bosnia-Herzegovina,2017,0,0,0.04208814513829485
344,Bosnia-Herzegovina,2018,0,0,0.060903490637772076
345,Bosnia-Herzegovina,2019,0,0,0.06252524712479803
346,Bosnia-Herzegovina,2020,0,0,0.06405967826252258
347,Bosnia-Herzegovina,2021,0,0,0.06368542676551658
348,Bosnia-Herzegovina,2022,0,0,0.06281217327250262
349,Bosnia-Herzegovina,2023,0,0,0.06281217327250262
350,Slovenia,2017,0,0,0.04147657066818741
351,Slovenia,2018,0,0,0.033130762284953895
352,Slovenia,2019,0,0,0.026993037734055696
