,country,year,d_protest,preds,preds_proba
0,Afghanistan,2017,1,0,0.4155844155844156
1,Afghanistan,2018,1,0,0.44155844155844154
2,Afghanistan,2019,1,0,0.47186147186147187
3,Afghanistan,2020,1,0,0.46320346320346323
4,Afghanistan,2021,1,1,0.5324675324675324
5,Afghanistan,2022,1,1,0.6147186147186147
6,Afghanistan,2023,1,1,0.658008658008658
7,Albania,2018,1,1,0.670995670995671
8,Albania,2019,1,1,0.696969696969697
9,Albania,2020,1,1,0.7272727272727273
10,Albania,2021,1,1,0.7316017316017316
11,Albania,2022,1,1,0.7445887445887446
12,Albania,2023,1,1,0.7359307359307359
13,Algeria,2017,1,1,0.9826839826839827
14,Algeria,2018,1,1,0.961038961038961
15,Algeria,2019,1,1,0.9523809523809523
16,Algeria,2020,1,1,0.9264069264069265
17,Algeria,2021,1,1,0.9177489177489178
18,Algeria,2022,1,1,0.9090909090909091
19,Algeria,2023,1,1,0.8961038961038961
20,Angola,2017,1,0,0.07792207792207792
21,Angola,2018,1,0,0.07792207792207792
22,Angola,2019,1,0,0.09523809523809523
23,Angola,2020,1,0,0.16883116883116883
24,Angola,2021,1,0,0.24675324675324675
25,Angola,2022,1,0,0.24242424242424243
26,Angola,2023,1,0,0.29004329004329005
27,Argentina,2018,1,1,0.7142857142857143
28,Argentina,2019,1,1,0.7229437229437229
29,Argentina,2020,1,1,0.7272727272727273
30,Argentina,2021,1,1,0.7445887445887446
31,Argentina,2022,1,1,0.7445887445887446
32,Argentina,2023,1,1,0.7619047619047619
33,Armenia,2018,1,1,0.7445887445887446
34,Armenia,2019,1,1,0.7359307359307359
35,Armenia,2020,1,1,0.7402597402597403
36,Armenia,2021,1,1,0.7402597402597403
37,Armenia,2022,1,1,0.7445887445887446
38,Armenia,2023,1,1,0.7445887445887446
39,Australia,2021,1,1,0.6536796536796536
40,Australia,2022,1,1,0.6536796536796536
41,Australia,2023,1,1,0.6623376623376623
42,Austria,2020,1,1,0.670995670995671
43,Austria,2021,1,1,0.6796536796536796
44,Austria,2022,1,1,0.6753246753246753
45,Austria,2023,1,1,0.6536796536796536
46,Azerbaijan,2018,1,1,0.8181818181818182
47,Azerbaijan,2019,1,1,0.8225108225108225
48,Azerbaijan,2020,1,1,0.8441558441558441
49,Azerbaijan,2021,1,1,0.8484848484848485
50,Azerbaijan,2022,1,1,0.8484848484848485
51,Azerbaijan,2023,1,1,0.8354978354978355
52,Bahrain,2017,1,1,0.7575757575757576
