,country,year,d_riot,preds,preds_proba
0,Afghanistan,2017,0,0,0.4
1,Afghanistan,2018,0,0,0.4
2,Afghanistan,2019,0,0,0.4
3,Afghanistan,2020,0,0,0.4
4,Afghanistan,2021,0,0,0.5
5,Afghanistan,2022,1,0,0.5
6,Afghanistan,2023,1,0,0.4
7,Albania,2018,0,0,0.5
8,Albania,2019,1,0,0.5
9,Albania,2020,0,0,0.4
10,Albania,2021,0,0,0.4
11,Albania,2022,0,0,0.4
12,Albania,2023,0,0,0.2
13,Algeria,2017,1,1,1.0
14,Algeria,2018,1,1,1.0
15,Algeria,2019,0,1,0.9
16,Algeria,2020,1,1,0.9
17,Algeria,2021,1,1,0.9
18,Algeria,2022,0,1,0.9
19,Algeria,2023,0,1,0.9
20,Angola,2017,0,0,0.1
21,Angola,2018,0,0,0.2
22,Angola,2019,0,0,0.2
23,Angola,2020,1,0,0.2
24,Angola,2021,1,0,0.1
25,Angola,2022,1,0,0.1
26,Angola,2023,1,0,0.1
27,Argentina,2018,1,1,0.8
28,Argentina,2019,1,1,0.8
29,Argentina,2020,1,1,0.8
30,Argentina,2021,1,1,0.9
31,Argentina,2022,1,1,0.9
32,Argentina,2023,1,1,0.9
33,Armenia,2018,1,1,0.6
34,Armenia,2019,0,1,0.6
35,Armenia,2020,0,0,0.5
36,Armenia,2021,0,0,0.5
37,Armenia,2022,0,0,0.5
38,Armenia,2023,0,0,0.5
39,Australia,2021,1,0,0.3
40,Australia,2022,0,0,0.3
41,Australia,2023,0,0,0.3
42,Austria,2020,0,0,0.4
43,Austria,2021,0,0,0.4
44,Austria,2022,0,0,0.4
45,Austria,2023,0,0,0.4
46,Azerbaijan,2018,0,0,0.2
47,Azerbaijan,2019,0,0,0.2
48,Azerbaijan,2020,0,0,0.3
49,Azerbaijan,2021,0,0,0.4
50,Azerbaijan,2022,0,0,0.3
51,Azerbaijan,2023,0,0,0.3
52,Bahrain,2017,1,1,0.7
53,Bahrain,2018,1,1,0.7
54,Bahrain,2019,1,1,0.7
55,Bahrain,2020,1,1,0.7
56,Bahrain,2021,1,1,0.7
57,Bahrain,2022,0,1,0.7
58,Bahrain,2023,1,1,0.7
59,Bangladesh,2017,1,1,0.8
60,Bangladesh,2018,1,1,0.8
61,Bangladesh,2019,1,1,0.8
62,Bangladesh,2020,1,1,0.7
63,Bangladesh,2021,1,1,0.7
64,Bangladesh,2022,1,1,0.6
65,Bangladesh,2023,1,1,0.6
66,Barbados,2018,0,1,0.7
67,Barbados,2019,0,1,0.7
68,Barbados,2020,0,1,0.7
69,Barbados,2021,0,1,0.7
70,Barbados,2022,0,1,0.7
71,Barbados,2023,0,1,0.7
72,Belarus,2018,0,0,0.2
73,Belarus,2019,0,0,0.2
74,Belarus,2020,0,0,0.2
75,Belarus,2021,0,0,0.2
76,Belarus,2022,0,0,0.3
77,Belarus,2023,0,0,0.3
78,Belgium,2020,0,1,0.6
79,Belgium,2021,0,1,0.6
80,Belgium,2022,0,1,0.6
81,Belgium,2023,0,1,0.6
82,Benin,2017,0,0,0.0
83,Benin,2018,0,0,0.0
84,Benin,2019,1,0,0.0
85,Benin,2020,1,0,0.0
86,Benin,2021,1,0,0.0
87,Benin,2022,1,0,0.0
88,Benin,2023,1,0,0.0
89,Bhutan,2020,0,0,0.0
90,Bhutan,2021,0,0,0.0
91,Bhutan,2022,0,0,0.0
92,Bhutan,2023,0,0,0.3
93,Bolivia,2018,1,0,0.2
