,country,year,d_sb,preds,preds_proba
0,United States of America,2017,0,0,0.012378845343447114
1,United States of America,2018,0,0,0.11245346958842536
2,United States of America,2019,0,0,0.11831630144683246
3,United States of America,2020,0,0,0.1132278058716112
4,United States of America,2021,0,0,0.1357309664278691
5,United States of America,2022,0,0,0.14166754459896058
6,United States of America,2023,0,0,0.1466454207051553
7,Canada,2017,0,0,0.00331858407079646
8,Canada,2018,0,0,0.0055309734513274336
9,Canada,2019,0,0,0.012794985250737462
10,Canada,2020,0,0,0.019432153392330384
11,Canada,2021,0,0,0.013348082595870208
12,Canada,2022,0,0,0.054129793510324486
13,Canada,2023,0,0,0.060213864306784666
14,Cuba,2017,0,0,0.0022123893805309734
15,Cuba,2018,0,0,0.004424778761061947
16,Cuba,2019,0,0,0.0022123893805309734
17,Cuba,2020,0,0,0.0022123893805309734
18,Cuba,2021,0,0,0.00331858407079646
19,Cuba,2022,0,0,0.009464110127826943
20,Cuba,2023,0,0,0.013888888888888888
21,Haiti,2017,0,0,0.061031900159953974
22,Haiti,2018,0,0,0.12935785886201887
23,Haiti,2019,0,0,0.14444876248010327
24,Haiti,2020,0,0,0.16089419020871687
25,Haiti,2021,0,0,0.1799576120376254
26,Haiti,2022,0,0,0.20822088637390856
27,Haiti,2023,0,0,0.21412059138865783
28,Dominican Republic,2017,0,0,0.0539450662270808
29,Dominican Republic,2018,0,0,0.07186542020938169
30,Dominican Republic,2019,0,0,0.11876807507663835
31,Dominican Republic,2020,0,0,0.15781674764300999
32,Dominican Republic,2021,0,0,0.1892326768465498
33,Dominican Republic,2022,0,0,0.21436436669062903
34,Dominican Republic,2023,0,0,0.23519770002396237
35,Jamaica,2017,0,0,0.008702064896755162
36,Jamaica,2018,0,0,0.02640117994100295
37,Jamaica,2019,0,0,0.01710914454277286
38,Jamaica,2020,0,0,0.01969026548672566
39,Jamaica,2021,0,0,0.02190265486725664
40,Jamaica,2022,0,0,0.03367572692793932
41,Jamaica,2023,0,0,0.03957543194268859
42,Trinidad and Tobago,2017,0,0,0.005594184576485462
43,Trinidad and Tobago,2018,0,0,0.006921618204804045
44,Trinidad and Tobago,2019,0,0,0.008080488832701222
45,Trinidad and Tobago,2020,0,0,0.006605562579013907
46,Trinidad and Tobago,2021,0,0,0.007079646017699116
47,Trinidad and Tobago,2022,0,0,0.009292035398230088
48,Trinidad and Tobago,2023,0,0,0.009292035398230088
49,Barbados,2017,0,0,0.015960809102402024
50,Barbados,2018,0,0,0.016592920353982302
51,Barbados,2019,0,0,0.01732511588706279
52,Barbados,2020,0,0,0.014559629161399074
53,Barbados,2021,0,0,0.011167298777918246
54,Barbados,2022,0,0,0.01172039612305099
55,Barbados,2023,0,0,0.016145174884112937
56,Mexico,2017,0,0,0.09318636746734094
57,Mexico,2018,0,0,0.10850716392751791
58,Mexico,2019,0,0,0.1158817951959545
59,Mexico,2020,0,0,0.12728410969561413
60,Mexico,2021,0,0,0.14118528963661708
61,Mexico,2022,0,0,0.14402452267496518
62,Mexico,2023,0,0,0.18100829848617458
63,Guatemala,2017,0,0,0.009587020648967551
64,Guatemala,2018,0,0,0.020095870206489674
65,Guatemala,2019,0,0,0.029977876106194692
66,Guatemala,2020,0,0,0.04729245680573115
67,Guatemala,2021,0,0,0.06853139485882849
68,Guatemala,2022,0,0,0.07825010535187527
69,Guatemala,2023,0,0,0.109850400337126
70,Honduras,2017,0,0,0.009962278434750829
71,Honduras,2018,0,0,0.008856083744485342
72,Honduras,2019,0,0,0.008487352181063513
73,Honduras,2020,0,0,0.015124520322656433
74,Honduras,2021,0,0,0.015124520322656433
75,Honduras,2022,0,0,0.022425405278408642
76,Honduras,2023,0,0,0.02961567076513431
77,El Salvador,2017,0,0,0.04404716254121923
78,El Salvador,2018,0,0,0.059066447528297296
79,El Salvador,2019,0,0,0.061549678197908284
80,El Salvador,2020,0,0,0.08962020648967553
81,El Salvador,2021,0,0,0.08521386430678468
82,El Salvador,2022,0,0,0.09775073746312685
83,El Salvador,2023,0,0,0.11231563421828909
84,Nicaragua,2017,0,0,0.01711567076513431
85,Nicaragua,2018,0,0,0.03039000704832015
86,Nicaragua,2019,0,0,0.036395063938332785
87,Nicaragua,2020,0,0,0.04008237957255108
88,Nicaragua,2021,0,0,0.04469152411532395
89,Nicaragua,2022,0,0,0.05003160556257902
90,Nicaragua,2023,0,0,0.06662452591656132
91,Costa Rica,2017,0,0,0.019911504424778764
92,Costa Rica,2018,0,0,0.02249262536873156
93,Costa Rica,2019,0,0,0.007838179519595449
94,Costa Rica,2020,0,0,0.007838179519595449
95,Costa Rica,2021,0,0,0.00854930467762326
96,Costa Rica,2022,0,0,0.005309734513274336
97,Costa Rica,2023,0,0,0.007890855457227139
98,Panama,2017,0,0,0.022821849978929623
99,Panama,2018,0,0,0.04393173198482933
100,Panama,2019,0,0,0.0541087231352718
101,Panama,2020,0,0,0.0603244837758112
102,Panama,2021,0,0,0.07286135693215337
103,Panama,2022,0,0,0.08125790139064475
104,Panama,2023,0,0,0.08419721871049304
105,Colombia,2017,1,1,0.7628766329540665
106,Colombia,2018,1,1,0.7273625158027812
107,Colombia,2019,1,1,0.7033212178676781
108,Colombia,2020,1,1,0.6755926042983568
109,Colombia,2021,1,1,0.6486198904340499
110,Colombia,2022,1,1,0.6212600084281501
111,Colombia,2023,1,1,0.6014591234723978
112,Venezuela,2017,0,0,0.03971502317741256
113,Venezuela,2018,0,0,0.04482458912768647
114,Venezuela,2019,0,0,0.06629793510324483
115,Venezuela,2020,0,0,0.08075221238938053
116,Venezuela,2021,0,0,0.0930731142014328
117,Venezuela,2022,0,0,0.11203645174884114
118,Venezuela,2023,0,0,0.12026970080067427
119,Guyana,2017,0,0,0.06094079224610198
120,Guyana,2018,0,0,0.06180116589408624
121,Guyana,2019,0,0,0.06267909818794773
122,Guyana,2020,0,0,0.06194163506110409
123,Guyana,2021,0,0,0.06039296249473241
124,Guyana,2022,0,0,0.07422039612305097
125,Guyana,2023,0,0,0.1021934880146749
126,Suriname,2017,0,0,0.00460914454277286
127,Suriname,2018,0,0,0.00621506753609688
128,Suriname,2019,0,0,0.008427456916627853
129,Suriname,2020,0,0,0.01180925211258234
130,Suriname,2021,0,0,0.016971494000487947
131,Suriname,2022,0,0,0.012546715239426
132,Suriname,2023,0,0,0.03210002328830927
133,Ecuador,2017,0,0,0.06483178817249613
134,Ecuador,2018,0,0,0.08429554712740553
135,Ecuador,2019,1,0,0.10973802500351172
136,Ecuador,2020,0,0,0.18027637308610764
137,Ecuador,2021,0,0,0.20860724820901813
138,Ecuador,2022,0,0,0.21935840707964602
139,Ecuador,2023,0,0,0.2506391347099312
140,Peru,2017,1,1,0.7907181805411893
141,Peru,2018,0,1,0.7744082736339373
142,Peru,2019,0,1,0.758184084843377
143,Peru,2020,1,1,0.7402795336423657
144,Peru,2021,1,1,0.7298259938193566
145,Peru,2022,1,1,0.6869056398370558
146,Peru,2023,1,1,0.659140153111392
147,Brazil,2017,0,0,0.011522861356932155
148,Brazil,2018,0,0,0.02147861356932153
149,Brazil,2019,0,0,0.03608038348082597
150,Brazil,2020,0,0,0.03995206489675517
