,country,year,d_terror,preds,preds_proba
0,United States of America,2017,1,1,0.9075183757741131
1,United States of America,2018,1,1,0.6575522631622601
2,United States of America,2019,1,1,0.6469444454692408
3,United States of America,2020,1,1,0.5575369486019713
4,Canada,2017,1,1,0.5362485359682668
5,Canada,2018,1,1,0.538826525990203
6,Canada,2019,0,1,0.5395075738909816
7,Canada,2020,1,1,0.5373048787286453
8,Cuba,2017,0,0,0.04091366779707586
9,Cuba,2018,0,0,0.03280498773772315
10,Cuba,2019,0,0,0.03484469939626889
11,Cuba,2020,0,0,0.03700635438303598
12,Haiti,2017,0,0,0.4863125215591586
13,Haiti,2018,0,0,0.4991795175427461
14,Haiti,2019,1,1,0.513642436288176
15,Haiti,2020,0,1,0.5039464446863547
16,Dominican Republic,2017,0,0,0.3994530019351965
17,Dominican Republic,2018,0,0,0.46720114318109573
18,Dominican Republic,2019,0,1,0.5232965425500374
19,Dominican Republic,2020,0,1,0.5327962918994307
20,Jamaica,2017,0,0,0.024504849908437345
21,Jamaica,2018,0,0,0.024436517642795665
22,Jamaica,2019,0,0,0.02805179125806928
23,Jamaica,2020,0,0,0.03796602251759202
24,Trinidad and Tobago,2017,0,0,0.07395924951978762
25,Trinidad and Tobago,2018,0,0,0.058200449276682484
26,Trinidad and Tobago,2019,0,0,0.07527225639333263
27,Trinidad and Tobago,2020,0,0,0.019640334752442368
28,Barbados,2017,0,0,0.01931675200733496
29,Barbados,2018,0,0,0.015561680471994375
30,Barbados,2019,0,0,0.0154186097908071
31,Barbados,2020,0,0,0.022393742281634644
32,Mexico,2017,1,1,0.7617359414523748
33,Mexico,2018,1,1,0.752751171862224
34,Mexico,2019,1,1,0.7540917396153478
35,Mexico,2020,1,1,0.7529681721016458
36,Guatemala,2017,0,0,0.25349817098696
37,Guatemala,2018,0,0,0.27662079325756433
38,Guatemala,2019,0,0,0.37117848021435434
39,Guatemala,2020,1,0,0.4282436198579697
40,Honduras,2017,1,1,0.5519311480746456
41,Honduras,2018,0,1,0.5537978936857857
42,Honduras,2019,1,1,0.5739126543610845
43,Honduras,2020,1,1,0.5681479332824624
44,El Salvador,2017,0,0,0.08822173342352717
45,El Salvador,2018,0,0,0.1297675941397915
46,El Salvador,2019,0,0,0.12866148550005058
47,El Salvador,2020,0,0,0.13315753504094313
48,Nicaragua,2017,0,0,0.27619750578270746
49,Nicaragua,2018,1,0,0.2847010226942962
50,Nicaragua,2019,0,0,0.2970397601899845
51,Nicaragua,2020,1,0,0.32884282508721985
52,Costa Rica,2017,0,0,0.05638757231806559
53,Costa Rica,2018,0,0,0.058293552266778334
54,Costa Rica,2019,0,0,0.05161838784036095
55,Costa Rica,2020,0,0,0.04207311746549415
56,Panama,2017,0,0,0.10046607851540594
57,Panama,2018,0,0,0.12664832676043444
58,Panama,2019,0,0,0.1352462725293114
59,Panama,2020,0,0,0.14520225078125373
60,Colombia,2017,1,1,0.8238017174946748
61,Colombia,2018,1,1,0.814389694540051
62,Colombia,2019,1,1,0.7769348549103239
63,Colombia,2020,1,1,0.7739607288868704
64,Venezuela,2017,1,1,0.5443814170383672
65,Venezuela,2018,1,0,0.4927212013198555
66,Venezuela,2019,1,0,0.4858115091186836
67,Venezuela,2020,1,0,0.46227365932522907
