,year,gw_codes,country,armedforces_share,armedforces_share_id,milex_share,milex_share_id,corruption,corruption_id,effectiveness,effectiveness_id,polvio,polvio_id,regu,regu_id,law,law_id,account,account_id,tax,tax_id,broadband,broadband_id,telephone,telephone_id,internet_use,internet_use_id,mobile,mobile_id,polyarchy,libdem,libdem_id,partipdem,delibdem,egaldem,civlib,phyvio,pollib,privlib,execon,execon_id,exgender,exgender_id,exgeo,exgeo_id,expol,expol_id,exsoc,exsoc_id,shutdown,shutdown_id,filter,filter_id,tenure_months,tenure_months_id,dem_duration,dem_duration_id,elections,elections_id,lastelection,lastelection_id
0,1989,2,United States of America,1.70550449855758,1,5.87120600804653,0,1.57104122638702,1,1.52492046356201,1,0.935005784034729,1,1.59310185909271,1,1.5002189874649,1,1.34866082668304,1,10.7824403801772,0,0.255913845,1,53.68539299,0,0.785,1,1.432490449,0,0.863,0.798,0,0.62,0.774,0.688,0.943,0.931,0.978,0.932,0.178,0,0.217,0,0.087,0,0.023,0,0.174,0,1.959,1,1.559,1,12.0,0,5.307029,0,0,0,2.639057,0
1,1990,2,United States of America,1.70550449855758,0,5.60517529438794,0,1.57104122638702,1,1.52492046356201,1,0.935005784034729,1,1.59310185909271,1,1.5002189874649,1,1.34866082668304,1,10.4652847558268,0,0.255913845,1,53.7,0,0.785,0,2.129545117,0,0.869,0.806,0,0.627,0.788,0.703,0.948,0.942,0.98,0.932,0.122,0,0.164,0,0.08,0,0.019,0,0.143,0,1.959,1,1.559,1,24.0,0,5.311974,0,0,0,3.258096,0
2,1991,2,United States of America,1.64672197658835,0,4.88342939776313,0,1.57104122638702,1,1.52492046356201,1,0.935005784034729,1,1.59310185909271,1,1.5002189874649,1,1.34866082668304,1,10.3203424286825,0,0.255913845,1,54.4,0,1.16,0,3.004111275,0,0.869,0.805,0,0.627,0.792,0.702,0.947,0.942,0.976,0.932,0.113,0,0.164,0,0.08,0,0.019,0,0.137,0,1.959,1,1.559,1,36.0,0,5.316894,0,0,0,3.637586,0
3,1992,2,United States of America,1.46729092151342,0,4.97046680768284,0,1.57104122638702,1,1.52492046356201,1,0.935005784034729,1,1.59310185909271,1,1.5002189874649,1,1.34866082668304,1,9.98416183728209,0,0.255913845,1,55.2,0,1.72,0,4.323596882,0,0.874,0.811,0,0.632,0.798,0.708,0.948,0.942,0.98,0.932,0.113,0,0.164,0,0.08,0,0.019,0,0.137,0,1.959,1,1.559,1,48.0,0,5.32179,0,1,0,0.6931472,0
4,1993,2,United States of America,1.37600463837555,0,4.60435029507644,0,1.57104122638702,1,1.52492046356201,1,0.935005784034729,1,1.59310185909271,1,1.5002189874649,1,1.34866082668304,1,10.3049343163775,0,0.255913845,1,56.4,0,2.27,0,6.186519908,0,0.87,0.807,0,0.628,0.831,0.711,0.948,0.942,0.98,0.932,0.113,0,0.147,0,0.08,0,0.019,0,0.137,0,1.959,1,1.559,1,12.0,0,5.326662,0,0,0,2.639057,0
5,1994,2,United States of America,1.27775285705725,0,4.2152646751779,0,1.57104122638702,1,1.52492046356201,1,0.935005784034729,1,1.59310185909271,1,1.5002189874649,1,1.34866082668304,1,10.6235066354376,0,0.255913845,1,57.8,0,4.86,0,9.202002036,0,0.87,0.808,0,0.628,0.831,0.707,0.948,0.942,0.98,0.932,0.113,0,0.147,0,0.08,0,0.019,0,0.137,0,1.959,1,1.559,1,24.0,0,5.331511,0,0,0,3.258096,0
6,1995,2,United States of America,1.19717922440529,0,3.8602457917389,0,1.57104122638702,1,1.52492046356201,1,0.935005784034729,1,1.59310185909271,1,1.5002189874649,1,1.34866082668304,1,10.980989035111,0,0.255913845,1,59.5,0,9.24,0,12.71760532,0,0.871,0.812,0,0.629,0.827,0.707,0.948,0.942,0.98,0.932,0.113,0,0.147,0,0.08,0,0.019,0,0.137,0,1.959,1,1.559,1,36.0,0,5.336336,0,0,0,3.637586,0
7,1996,2,United States of America,1.13285269278134,0,3.55498220635218,0,1.57104122638702,0,1.52492046356201,0,0.935005784034729,0,1.59310185909271,0,1.5002189874649,0,1.34866082668304,0,11.373914577285,0,0.255913845,1,61.5,0,16.4,0,16.37381226,0,0.871,0.811,0,0.629,0.827,0.708,0.948,0.942,0.98,0.932,0.113,0,0.147,0,0.08,0,0.019,0,0.137,0,1.959,1,1.559,1,48.0,0,5.341137,0,1,0,0.6931472,0
8,1997,2,United States of America,1.08469787637619,0,3.40556224418855,0,1.56022000312805,1,1.611723959445955,1,0.9073093831539155,1,1.60156935453415,1,1.53358960151672,1,1.3427690267562848,1,11.8281999339672,0,0.255913845,1,63.6,0,21.6,0,20.30588082,0,0.87,0.809,0,0.629,0.824,0.707,0.948,0.942,0.98,0.932,0.113,0,0.147,0,0.08,0,0.019,0,0.137,0,1.959,1,1.559,1,60.0,0,5.345916,0,0,0,2.639057,0
9,1998,2,United States of America,1.11392364018505,0,3.20155849896996,0,1.54939877986908,0,1.6985274553299,0,0.879612982273102,0,1.61003684997559,0,1.56696021556854,0,1.33687722682953,0,12.3298307799882,0,0.255913845,0,65.1,0,30.1,0,25.09083926,0,0.87,0.809,0,0.629,0.824,0.708,0.948,0.942,0.98,0.932,0.113,0,0.147,0,0.08,0,0.019,0,0.137,0,1.959,1,1.559,1,72.0,0,5.350673,0,0,0,3.258096,0
10,1999,2,United States of America,1.08558486391149,0,3.08567678324746,0,1.576498091220855,1,1.711706995964055,1,0.981211036443711,1,1.653078854084015,1,1.5657965540885899,1,1.3235219717025748,1,12.2599824818828,0,0.986557204,0,68.0,0,35.8,0,30.82116044,0,0.87,0.812,0,0.629,0.825,0.709,0.948,0.942,0.98,0.932,0.113,0,0.147,0,0.08,0,0.019,0,0.137,0,1.959,1,1.559,1,84.0,0,5.355406,0,0,0,3.637586,0
11,2000,2,United States of America,0.988718986850928,0,3.11224214697679,0,1.60359740257263,0,1.72488653659821,0,1.08280909061432,0,1.69612085819244,0,1.56463289260864,0,1.31016671657562,0,12.9707952978416,0,2.51164,0,68.4,0,43.1,0,38.8931,0,0.871,0.814,0,0.629,0.813,0.701,0.947,0.942,0.979,0.932,0.099,0,0.076,0,0.07,0,0.015,0,0.09,0,1.959,0,1.559,0,96.0,0,5.360118,0,1,0,0.6931472,0
12,2001,2,United States of America,0.958549853802087,0,3.12380980266703,0,1.73859703540802,1,1.6729071736335799,1,0.684143006801606,1,1.62393110990524,1,1.540769219398495,1,1.3273674249649048,1,11.8577047719749,0,4.50008,0,67.4,0,49.1,0,45.202,0,0.827,0.767,0,0.592,0.736,0.654,0.946,0.937,0.977,0.934,0.098,0,0.079,0,0.07,0,0.018,0,0.091,0,1.959,0,1.559,0,12.0,0,5.364807,0,0,0,2.639057,0
13,2002,2,United States of America,0.982967952799045,0,3.44761809928778,0,1.87359666824341,0,1.62092781066895,0,0.285476922988892,0,1.55174136161804,0,1.51690554618835,0,1.34456813335419,0,9.86801667620084,0,6.92533,0,65.9,0,58.8,0,49.3932,0,0.827,0.768,0,0.593,0.742,0.657,0.935,0.911,0.975,0.932,0.098,0,0.079,0,0.07,0,0.018,0,0.091,0,1.959,0,1.559,0,24.0,0,5.369474,0,0,0,3.258096,0
14,2003,2,United States of America,0.986717153694364,0,3.82716104473623,0,1.7044905424118,0,1.54012453556061,0,0.0804403498768806,0,1.568514585495,0,1.55444955825806,0,1.33822762966156,0,9.3906925792894,0,9.57005,0,63.1,0,61.7,0,55.4096,0,0.864,0.805,0,0.624,0.78,0.688,0.908,0.826,0.978,0.932,0.098,0,0.079,0,0.07,0,0.018,0,0.091,0,1.959,0,1.559,0,36.0,0,5.37412,0,0,0,3.637586,0
15,2004,2,United States of America,0.974089574420463,0,4.01631273640692,0,1.81070196628571,0,1.74025785923004,0,-0.233039826154709,0,1.55983471870422,0,1.41830444335938,0,1.327751994133,0,9.53747079117008,0,12.7576,0,60.7,0,64.8,0,63.1242,0,0.866,0.806,0,0.625,0.782,0.691,0.909,0.826,0.981,0.932,0.098,0,0.079,0,0.07,0,0.018,0,0.091,0,1.959,0,1.559,0,48.0,0,5.378745,0,1,0,0.6931472,0
16,2005,2,United States of America,1.00966174450688,0,4.08923187524508,0,1.53672695159912,0,1.53101277351379,0,-0.0605432577431202,0,1.60669600963593,0,1.5282701253891,0,1.29452359676361,0,10.6817329318669,0,17.2991,0,59.2,0,68.0,0,68.8835,0,0.86,0.799,0,0.62,0.789,0.685,0.924,0.873,0.981,0.932,0.098,0,0.079,0,0.07,0,0.018,0,0.091,0,1.959,0,1.559,0,60.0,0,5.383348,0,0,0,2.639057,0
17,2006,2,United States of America,0.964789399033199,0,4.04134230166038,0,1.34489262104034,0,1.5816855430603,0,0.49083548784256,0,1.64094340801239,0,1.59266018867493,0,1.1016218662262,0,11.3104788990808,0,20.1646,0,56.1,0,68.9,0,76.8586,0,0.866,0.807,0,0.624,0.795,0.691,0.916,0.847,0.981,0.932,0.098,0,0.079,0,0.07,0,0.018,0,0.091,0,1.959,0,1.559,0,72.0,0,5.387929,0,0,0,3.258096,0
18,2007,2,United States of America,0.993045704127071,0,4.07335051467688,0,1.37706923484802,0,1.64327275753021,0,0.374478042125702,0,1.49368762969971,0,1.61114573478699,0,1.10981047153473,0,11.2899126640813,0,23.7553,0,52.5,0,75.0,0,82.5923,0,0.898,0.842,0,0.652,0.83,0.724,0.924,0.871,0.981,0.932,0.098,0,0.079,0,0.07,0,0.018,0,0.091,0,1.959,0,1.559,0,84.0,0,5.39249,0,0,0,3.637586,0
19,2008,2,United States of America,0.973003051027976,0,4.44659552156261,0,1.43763339519501,0,1.60507559776306,0,0.582659542560577,0,1.53245806694031,0,1.62871420383453,0,1.14426684379578,0,10.2761880916694,0,25.291,0,53.4,0,74.0,0,85.6805,0,0.902,0.846,0,0.655,0.851,0.728,0.941,0.916,0.981,0.935,0.097,0,0.078,0,0.07,0,0.018,0,0.091,0,1.959,0,1.651,0,96.0,0,5.397031,0,1,0,0.6931472,0
20,2009,2,United States of America,0.98766325865978,0,4.87576835879774,0,1.28647637367249,0,1.50298464298248,0,0.447313606739044,0,1.39833772182465,0,1.59132015705109,0,1.09722805023193,0,7.90351709244059,0,25.9695,0,49.6,0,71.0,0,89.0461,0,0.907,0.856,0,0.659,0.869,0.728,0.953,0.949,0.981,0.935,0.102,0,0.074,0,0.07,0,0.017,0,0.09,0,1.959,0,1.651,0,12.0,0,5.401551,0,0,0,2.639057,0
21,2010,2,United States of America,0.991230553105963,0,4.90402300595835,0,1.26525807380676,0,1.55227208137512,0,0.438403934240341,0,1.4438453912735,0,1.63102221488953,0,1.1336270570755,0,8.56322203026373,0,27.172,0,48.1,0,71.7,0,91.6593,0,0.905,0.854,0,0.658,0.864,0.738,0.952,0.952,0.98,0.93,0.096,0,0.073,0,0.063,0,0.017,0,0.09,0,1.959,0,1.762,0,24.0,0,5.40605,0,0,0,3.258096,0
22,2011,2,United States of America,0.958828892786328,0,4.82244197600452,0,1.26211905479431,0,1.5137984752655,0,0.591247260570526,0,1.45509660243988,0,1.59098601341248,0,1.12696576118469,0,9.53892861749163,0,28.117,0,45.6,0,69.7,0,94.683,0,0.901,0.849,0,0.654,0.86,0.733,0.949,0.952,0.979,0.925,0.096,0,0.073,0,0.063,0,0.017,0,0.09,0,1.959,0,1.762,0,36.0,0,5.410529,0,0,0,3.637586,0
23,2012,2,United States of America,0.934477876893818,0,4.4617099699335,0,1.40279400348663,0,1.5213223695755,0,0.632442116737366,0,1.29439389705658,0,1.62034177780151,0,1.16158699989319,0,9.76391736911044,0,29.1736,0,43.7,0,74.7,0,96.1284,0,0.901,0.849,0,0.654,0.86,0.732,0.948,0.952,0.977,0.925,0.101,0,0.073,0,0.063,0,0.017,0,0.09,0,1.959,0,1.762,0,48.0,0,5.414989,0,1,0,0.6931472,0
24,2013,2,United States of America,0.894977803470118,0,4.02370560438155,0,1.30592489242554,0,1.51647663116455,0,0.643072605133057,0,1.26038861274719,0,1.54942762851715,0,1.10298919677734,0,10.4602254541478,0,29.9996,0,41.6,0,71.4,0,97.0595,0,0.903,0.853,0,0.656,0.864,0.734,0.953,0.952,0.98,0.933,0.101,0,0.073,0,0.063,0,0.017,0,0.09,0,1.959,0,1.762,0,60.0,0,5.419428,0,0,0,2.639057,0
25,2014,2,United States of America,0.858578755130859,0,3.67891817387645,0,1.37137806415558,0,1.46162545681,0,0.582419633865356,0,1.27628946304321,0,1.60697412490845,0,1.0712331533432,0,10.8997481732594,0,30.2709,0,39.8,0,73.0,0,99.8396,0,0.904,0.853,0,0.657,0.861,0.733,0.953,0.952,0.98,0.933,0.101,0,0.074,0,0.063,0,0.017,0,0.094,0,1.959,0,1.762,0,72.0,0,5.423848,0,0,0,3.258096,0
26,2015,2,United States of America,0.832039451157061,0,3.46449292564277,0,1.35772120952606,0,1.43219923973083,0,0.662890195846558,0,1.24220669269562,0,1.56301236152649,0,1.10990250110626,0,11.1828279598944,0,31.3412,0,38.3,0,74.6,0,101.832,0,0.905,0.854,0,0.657,0.858,0.733,0.953,0.952,0.98,0.933,0.101,0,0.072,0,0.063,0,0.017,0,0.094,0,1.959,0,1.762,0,84.0,0,5.428248,0,0,0,3.637586,0
27,2016,2,United States of America,0.822764756106508,0,3.40260246241072,0,1.33089566230774,0,1.44050490856171,0,0.385635316371918,0,1.48562073707581,0,1.58059740066528,0,1.11048436164856,0,10.8545149876524,0,32.1144,0,36.9,0,85.5,0,102.752,0,0.891,0.838,0,0.647,0.815,0.715,0.951,0.952,0.976,0.934,0.101,0,0.064,0,0.06,0,0.019,0,0.094,0,1.959,0,1.762,0,96.0,0,5.43263,0,1,0,0.6931472,0
28,2017,2,United States of America,0.820665475037047,0,3.29772357145288,0,1.34053254127502,0,1.51742815971375,0,0.262138307094574,0,1.61945760250092,0,1.60897934436798,0,1.0074782371521,0,11.5038867327939,0,32.5703,0,35.0,0,87.3,0,102.381,0,0.833,0.753,0,0.598,0.636,0.652,0.943,0.945,0.965,0.927,0.107,0,0.067,0,0.06,0,0.019,0,0.095,0,1.959,0,1.762,0,12.0,0,5.436992,0,0,0,2.639057,0
29,2018,2,United States of America,0.826230815201011,0,3.30400061907828,0,1.2927473783493,0,1.53697216510773,0,0.38623908162117,0,1.61313998699188,0,1.47568726539612,0,0.995457410812378,0,9.92953894064227,0,33.0559,0,32.9,0,88.5,0,103.935,0,0.822,0.74,0,0.587,0.624,0.643,0.935,0.935,0.96,0.919,0.107,0,0.067,0,0.064,0,0.019,0,0.095,0,1.959,0,1.762,0,24.0,0,5.441335,0,0,0,3.258096,0
30,2019,2,United States of America,0.821688240896544,0,3.412158459059,0,1.18035709857941,0,1.45341503620148,0,0.118298575282097,0,1.33457458019257,0,1.4241726398468,0,0.905181586742401,0,9.88478959731721,0,33.8352,0,31.5,0,89.4,0,105.321,0,0.812,0.737,0,0.58,0.623,0.633,0.932,0.935,0.953,0.912,0.117,0,0.081,0,0.064,0,0.019,0,0.143,0,1.959,0,1.762,0,36.0,0,5.445659,0,0,0,3.637586,0
31,2020,2,United States of America,0.83751058497809,0,3.65051373404041,0,1.03783190250397,0,1.27459323406219,0,-0.0278997328132391,0,1.2384375333786,0,1.33649373054504,0,0.856265664100647,0,10.1534220235407,0,35.7157,0,30.0,0,90.3,0,103.855,0,0.811,0.729,0,0.577,0.6,0.625,0.916,0.895,0.949,0.916,0.114,0,0.071,0,0.066,0,0.017,0,0.146,0,1.959,0,1.652,0,48.0,0,5.449965,0,1,0,0.6931472,0
32,2021,2,United States of America,0.83751058497809,1,3.41709395411995,0,1.01927757263184,0,1.2975310087204,0,-0.0144246527925134,0,1.44095718860626,0,1.38915693759918,0,0.87688934803009,0,11.394678497951,0,37.0074,0,28.6,0,91.3,0,106.325,0,0.825,0.756,0,0.588,0.711,0.6,0.936,0.951,0.966,0.904,0.213,0,0.095,0,0.097,0,0.033,0,0.166,0,1.082,0,1.652,0,48.0,1,5.449965,1,1,1,0.6931472,1
33,2022,2,United States of America,0.83751058497809,1,3.34325893120951,0,1.10414469242096,0,1.25549554824829,0,0.008700686506927,0,1.42443990707397,0,1.36920201778412,0,0.860348105430603,0,12.5989036829582,0,37.4888,0,27.5,0,92.2,0,108.786,0,0.834,0.765,0,0.597,0.714,0.61,0.943,0.953,0.969,0.918,0.209,0,0.085,0,0.111,0,0.04,0,0.176,0,1.082,0,1.652,0,48.0,1,5.449965,1,1,1,0.6931472,1
34,2023,2,United States of America,0.83751058497809,1,3.36183648558074,0,1.12343263626099,0,1.21720099449158,0,0.029424749314785,0,1.39373278617859,0,1.3276778459549,0,0.877519071102142,0,10.6459127722888,0,38.1475,0,25.6,0,93.1,0,112.411,0,0.848,0.772,0,0.606,0.716,0.602,0.928,0.947,0.954,0.892,0.194,0,0.119,0,0.09,0,0.034,0,0.169,0,1.082,0,1.652,0,48.0,1,5.449965,1,1,1,0.6931472,1
35,1989,20,Canada,0.593567812632337,1,1.93461430865038,0,2.03140759468079,1,1.74236369132996,1,1.23405170440674,1,1.48829090595245,1,1.64725470542908,1,1.56633579730988,1,14.1121292420859,1,0.464424857,1,53.76439112,0,0.361,1,1.266968346,0,0.834,0.752,0,0.58,0.756,0.719,0.936,0.956,0.94,0.92,0.129,0,0.119,0,0.103,0,0.036,0,0.109,0,1.873,1,2.025,1,64.0,0,4.077538,0,0,0,2.639057,0
36,1990,20,Canada,0.593567812632337,0,1.95879374221417,0,2.03140759468079,1,1.74236369132996,1,1.23405170440674,1,1.48829090595245,1,1.64725470542908,1,1.56633579730988,1,14.1121292420859,0,0.464424857,1,55.0,0,0.361,0,2.110719507,0,0.834,0.759,0,0.58,0.756,0.719,0.936,0.956,0.94,0.92,0.079,0,0.08,0,0.088,0,0.036,0,0.096,0,1.873,1,2.025,1,76.0,0,4.094345,0,0,0,3.258096,0
37,1991,20,Canada,0.584083269084174,0,1.89544433858064,0,2.03140759468079,1,1.74236369132996,1,1.23405170440674,1,1.48829090595245,1,1.64725470542908,1,1.56633579730988,1,14.3976756016547,0,0.464424857,1,56.2,0,0.57,0,2.7692662,0,0.834,0.759,0,0.58,0.756,0.719,0.936,0.956,0.94,0.92,0.079,0,0.092,0,0.088,0,0.036,0,0.096,0,1.873,1,2.025,1,88.0,0,4.110874,0,0,0,3.637586,0
38,1992,20,Canada,0.55818401230292,0,1.86168769986295,0,2.03140759468079,1,1.74236369132996,1,1.23405170440674,1,1.48829090595245,1,1.64725470542908,1,1.56633579730988,1,14.3088598010122,0,0.464424857,1,57.0,0,0.916,0,3.621504167,0,0.831,0.755,0,0.607,0.753,0.714,0.936,0.956,0.94,0.92,0.079,0,0.092,0,0.088,0,0.036,0,0.096,0,1.873,1,2.025,1,100.0,0,4.127134,0,0,0,3.912023,0
39,1993,20,Canada,0.51433505951398,0,1.82175350392748,0,2.03140759468079,1,1.74236369132996,1,1.23405170440674,1,1.48829090595245,1,1.64725470542908,1,1.56633579730988,1,13.6523358280781,0,0.464424857,1,58.0,0,1.18,0,4.649694019,0,0.832,0.755,0,0.609,0.753,0.715,0.936,0.956,0.94,0.92,0.084,0,0.092,0,0.088,0,0.036,0,0.096,0,1.873,1,2.025,1,2.0,0,4.143135,0,1,0,1.098612,0
40,1994,20,Canada,0.502802722938202,0,1.69668025731865,0,2.03140759468079,1,1.74236369132996,1,1.23405170440674,1,1.48829090595245,1,1.64725470542908,1,1.56633579730988,1,13.0736945245539,0,0.464424857,1,59.2,0,2.38,0,6.437896665,0,0.839,0.761,0,0.614,0.76,0.725,0.936,0.956,0.94,0.92,0.084,0,0.086,0,0.085,0,0.036,0,0.079,0,1.873,1,2.025,1,14.0,0,4.158883,0,0,0,2.70805,0
41,1995,20,Canada,0.504004404878656,0,1.55409007114777,0,2.03140759468079,1,1.74236369132996,1,1.23405170440674,1,1.48829090595245,1,1.64725470542908,1,1.56633579730988,1,13.2870622555226,0,0.464424857,1,59.6,0,4.16,0,8.842031473,0,0.839,0.761,0,0.614,0.76,0.725,0.936,0.956,0.94,0.92,0.084,0,0.086,0,0.085,0,0.036,0,0.079,0,1.873,1,2.025,1,26.0,0,4.174387,0,0,0,3.295837,0
42,1996,20,Canada,0.526018052570429,0,1.40375258106455,0,2.03140759468079,0,1.74236369132996,0,1.23405170440674,0,1.48829090595245,0,1.64725470542908,0,1.56633579730988,0,13.8784928253593,0,0.464424857,1,60.4,0,6.76,0,11.81927704,0,0.844,0.769,0,0.619,0.766,0.731,0.937,0.956,0.945,0.92,0.084,0,0.086,0,0.085,0,0.031,0,0.079,0,1.873,1,2.025,1,38.0,0,4.189655,0,0,0,3.663562,0
43,1997,20,Canada,0.471782659657547,0,1.24624320151167,0,2.032809019088745,1,1.809832692146305,1,1.0924664735794076,1,1.51248341798782,1,1.681125044822695,1,1.558874368667605,1,14.5677283478242,0,0.464424857,1,62.1,0,15.1,0,14.03819836,0,0.842,0.766,0,0.608,0.769,0.729,0.94,0.956,0.945,0.93,0.084,0,0.086,0,0.085,0,0.031,0,0.079,0,1.873,1,2.025,1,50.0,0,4.204693,0,1,0,1.94591,0
44,1998,20,Canada,0.447103901257982,0,1.25629390156868,0,2.0342104434967,0,1.87730169296265,0,0.950881242752075,0,1.53667593002319,0,1.71499538421631,0,1.55141294002533,0,14.668397589042,0,0.464424857,0,63.6,0,24.9,0,17.73439489,0,0.84,0.764,0,0.603,0.767,0.726,0.94,0.956,0.945,0.93,0.084,0,0.089,0,0.085,0,0.031,0,0.079,0,1.873,1,2.025,1,62.0,0,4.219508,0,0,0,2.944439,0
45,1999,20,Canada,0.439259293913449,0,1.24170306410258,0,2.0417647361755353,1,1.863190174102785,1,1.0592040419578574,1,1.500575244426725,1,1.6902407407760651,1,1.5416891574859601,1,14.6999207275996,0,1.914487665,0,66.6,0,36.2,0,22.73384365,0,0.84,0.764,0,0.6,0.767,0.726,0.94,0.956,0.945,0.93,0.084,0,0.089,0,0.085,0,0.031,0,0.079,0,1.873,1,2.025,1,74.0,0,4.234107,0,0,0,3.433987,0
46,2000,20,Canada,0.423181107366731,0,1.11434980213748,0,2.04931902885437,0,1.84907865524292,0,1.16752684116364,0,1.46447455883026,0,1.66548609733582,0,1.53196537494659,0,14.8577431846106,0,4.56733,0,67.5,0,51.3,0,28.2502,0,0.84,0.765,0,0.601,0.765,0.726,0.94,0.956,0.945,0.93,0.069,0,0.067,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,86.0,0,4.248495,0,1,0,0.6931472,0
47,2001,20,Canada,0.401704051680654,0,1.13335628281332,0,2.01577526330948,1,1.854967296123505,1,1.19277930259705,1,1.499195754528045,1,1.6634410619735749,1,1.5155096054077148,1,14.1814798149467,0,9.08579,0,67.7,0,60.2,0,34.1166,0,0.837,0.761,0,0.594,0.762,0.724,0.937,0.956,0.936,0.93,0.069,0,0.067,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,98.0,0,4.26268,0,0,0,2.639057,0
48,2002,20,Canada,0.363594917249988,0,1.11686914736943,0,1.98223149776459,0,1.86085593700409,0,1.21803176403046,0,1.53391695022583,0,1.66139602661133,0,1.49905383586884,0,13.3776274685072,0,11.1461,0,65.4,0,61.6,0,37.6464,0,0.831,0.754,0,0.587,0.757,0.718,0.936,0.956,0.932,0.93,0.069,0,0.067,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,110.0,0,4.276666,0,0,0,3.258096,0
49,2003,20,Canada,0.355213935088805,0,1.11193730688338,0,1.93129205703735,0,1.92467999458313,0,1.05307674407959,0,1.52460896968842,0,1.69705653190613,0,1.54755675792694,0,13.2289347132717,0,14.1756,0,64.7,0,64.2,0,41.7477,0,0.831,0.754,0,0.584,0.757,0.718,0.936,0.956,0.932,0.93,0.069,0,0.067,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,122.0,0,4.29046,0,0,0,3.637586,0
50,2004,20,Canada,0.404446496171772,0,1.10418939142687,0,1.80586624145508,0,1.90069770812988,0,0.87644749879837,0,1.61642110347748,0,1.68714725971222,0,1.66845452785492,0,13.3447478670743,0,16.8551,0,64.0,0,66.0,0,46.7437,0,0.83,0.758,0,0.58,0.755,0.717,0.936,0.956,0.932,0.93,0.069,0,0.067,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,13.0,0,4.304065,0,1,0,1.94591,0
51,2005,20,Canada,0.400993447145816,0,1.10710542420811,0,1.86970067024231,0,1.88245940208435,0,0.828725039958954,0,1.56574976444244,0,1.65014719963074,0,1.50687944889069,0,13.2994928856977,0,21.5905,0,55.9,0,71.7,0,52.4553,0,0.828,0.758,0,0.579,0.754,0.718,0.936,0.956,0.932,0.93,0.071,0,0.067,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,25.0,0,4.317488,0,0,0,2.944439,0
52,2006,20,Canada,0.355941099089386,0,1.12252472932052,0,1.95279455184937,0,1.89211332798004,0,1.03495657444,0,1.55865693092346,0,1.80108332633972,0,1.41559481620789,0,13.3482206693421,0,24.555,0,55.7,0,72.4,0,57.2331,0,0.836,0.765,0,0.579,0.746,0.724,0.935,0.956,0.929,0.93,0.071,0,0.067,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,11.0,0,4.330733,0,1,0,2.484907,0
53,2007,20,Canada,0.349928261972481,0,1.18579022996702,0,1.99088037014008,0,1.75481534004211,0,1.00701069831848,0,1.60638952255249,0,1.79710018634796,0,1.38467156887054,0,13.3344320068963,0,27.4244,0,55.2,0,73.2,0,61.2755,0,0.838,0.767,0,0.579,0.731,0.724,0.938,0.956,0.929,0.94,0.075,0,0.068,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,23.0,0,4.343805,0,0,0,3.178054,0
54,2008,20,Canada,0.344464265492388,0,1.24551836677548,0,1.98772144317627,0,1.78248238563538,0,1.0413726568222,0,1.65094351768494,0,1.79639303684235,0,1.40752851963043,0,12.3901655964853,0,29.4247,0,54.6,0,76.7,0,66.0481,0,0.835,0.766,0,0.578,0.727,0.72,0.938,0.956,0.929,0.94,0.075,0,0.068,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,35.0,0,4.356709,0,1,0,1.098612,0
55,2009,20,Canada,0.350562560577815,0,1.37755563107525,0,2.05179667472839,0,1.74208331108093,0,1.12707591056824,0,1.69657874107361,0,1.7967267036438,0,1.40189552307129,0,12.3043859548638,0,30.4201,0,55.3,0,80.3,0,70.3945,0,0.835,0.765,0,0.578,0.727,0.719,0.938,0.956,0.929,0.94,0.075,0,0.062,0,0.081,0,0.031,0,0.068,0,1.873,0,2.025,0,47.0,0,4.369448,0,0,0,2.70805,0
56,2010,20,Canada,0.346990828984857,0,1.19433833839121,0,2.06187319755554,0,1.77782678604126,0,0.936318218708038,0,1.69343030452728,0,1.79859042167664,0,1.35265874862671,0,11.7328092981826,0,31.6318,0,53.8,0,80.3,0,75.5197,0,0.835,0.766,0,0.578,0.724,0.718,0.938,0.956,0.929,0.94,0.075,0,0.063,0,0.081,0,0.031,0,0.072,0,1.873,0,2.025,0,59.0,0,4.382027,0,0,0,3.295837,0
57,2011,20,Canada,0.343753997709876,0,1.19329189549638,0,1.97113347053528,0,1.77254545688629,0,1.07717573642731,0,1.68484020233154,0,1.72711992263794,0,1.38014459609985,0,11.8039212812623,0,32.6506,0,52.9,0,83.0,0,77.6723,0,0.812,0.742,0,0.561,0.707,0.695,0.938,0.956,0.929,0.94,0.075,0,0.063,0,0.081,0,0.031,0,0.072,0,1.873,0,2.025,0,71.0,0,4.394449,0,1,0,2.079442,0
