,country,year,d_civil_conflict,preds,preds_proba
0,United States of America,2017,0,0,0.08661417322834646
1,United States of America,2018,0,0,0.06974128233970754
2,United States of America,2019,0,0,0.07592800899887514
3,United States of America,2020,0,0,0.12317210348706412
4,United States of America,2021,0,0,0.08886389201349831
5,United States of America,2022,0,0,0.1766029246344207
6,United States of America,2023,0,0,0.18166479190101237
7,Canada,2017,0,0,0.008998875140607425
8,Canada,2018,0,0,0.012935883014623173
9,Canada,2019,0,0,0.030371203599550055
10,Canada,2020,0,0,0.05568053993250844
11,Canada,2021,0,0,0.2469066366704162
12,Canada,2022,0,0,0.29021372328458944
13,Canada,2023,0,0,0.3031496062992126
14,Cuba,2017,0,0,0.0022497187851518562
15,Cuba,2018,0,0,0.01124859392575928
16,Cuba,2019,0,0,0.008998875140607425
17,Cuba,2020,0,0,0.015748031496062992
18,Cuba,2021,0,0,0.14623172103487064
19,Cuba,2022,0,0,0.12542182227221596
20,Cuba,2023,0,0,0.12260967379077616
21,Haiti,2017,0,0,0.11923509561304838
22,Haiti,2018,0,0,0.15410573678290213
23,Haiti,2019,0,0,0.18391451068616424
24,Haiti,2020,0,0,0.19178852643419572
25,Haiti,2021,0,0,0.23847019122609675
26,Haiti,2022,0,0,0.2559055118110236
27,Haiti,2023,0,0,0.3211473565804274
28,Dominican Republic,2017,0,0,0.04443194600674916
29,Dominican Republic,2018,0,0,0.05961754780652419
30,Dominican Republic,2019,0,0,0.06974128233970754
31,Dominican Republic,2020,0,0,0.11023622047244094
32,Dominican Republic,2021,0,0,0.1439820022497188
33,Dominican Republic,2022,0,0,0.11979752530933634
34,Dominican Republic,2023,0,0,0.21991001124859394
35,Jamaica,2017,0,0,0.006749156355455568
36,Jamaica,2018,0,0,0.023059617547806523
37,Jamaica,2019,0,0,0.05905511811023622
38,Jamaica,2020,0,0,0.14735658042744657
39,Jamaica,2021,0,0,0.13217097862767155
40,Jamaica,2022,0,0,0.17716535433070865
41,Jamaica,2023,0,0,0.23340832395950506
42,Trinidad and Tobago,2017,0,0,0.06130483689538808
43,Trinidad and Tobago,2018,0,0,0.06580427446569179
44,Trinidad and Tobago,2019,0,0,0.06636670416197975
45,Trinidad and Tobago,2020,0,0,0.10573678290213723
46,Trinidad and Tobago,2021,0,0,0.08942632170978627
47,Trinidad and Tobago,2022,0,0,0.10911136107986502
48,Trinidad and Tobago,2023,0,0,0.13160854893138357
49,Barbados,2017,0,0,0.007311586051743532
50,Barbados,2018,0,0,0.013498312710911136
51,Barbados,2019,0,0,0.015748031496062992
52,Barbados,2020,0,0,0.047244094488188976
53,Barbados,2021,0,0,0.06074240719910011
54,Barbados,2022,0,0,0.1372328458942632
55,Barbados,2023,0,0,0.1625421822272216
56,Mexico,2017,0,0,0.048931383577052866
57,Mexico,2018,0,0,0.1062992125984252
58,Mexico,2019,0,0,0.11361079865016872
59,Mexico,2020,0,0,0.11811023622047244
60,Mexico,2021,0,0,0.13048368953880765
61,Mexico,2022,0,0,0.17379077615298089
62,Mexico,2023,0,0,0.203037120359955
63,Guatemala,2017,0,0,0.14735658042744657
64,Guatemala,2018,0,0,0.1827896512935883
65,Guatemala,2019,0,0,0.2452193475815523
66,Guatemala,2020,0,0,0.28346456692913385
67,Guatemala,2021,0,0,0.3245219347581552
68,Guatemala,2022,0,0,0.20866141732283464
69,Guatemala,2023,0,0,0.3380202474690664
70,Honduras,2017,0,0,0.052868391451068614
71,Honduras,2018,0,0,0.06130483689538808
72,Honduras,2019,0,0,0.10686164229471316
73,Honduras,2020,0,0,0.1389201349831271
74,Honduras,2021,0,0,0.15748031496062992
75,Honduras,2022,0,0,0.14791901012373454
76,Honduras,2023,0,0,0.18841394825646793
77,El Salvador,2017,0,0,0.01968503937007874
78,El Salvador,2018,0,0,0.003937007874015748
79,El Salvador,2019,0,0,0.00562429696287964
80,El Salvador,2020,0,0,0.03712035995500562
81,El Salvador,2021,0,0,0.02530933633295838
82,El Salvador,2022,0,0,0.031496062992125984
83,El Salvador,2023,0,0,0.02924634420697413
84,Nicaragua,2017,0,0,0.04105736782902137
85,Nicaragua,2018,0,0,0.049493813273340834
86,Nicaragua,2019,0,0,0.05399325084364454
87,Nicaragua,2020,0,0,0.0686164229471316
88,Nicaragua,2021,0,0,0.0686164229471316
89,Nicaragua,2022,0,0,0.09280089988751405
90,Nicaragua,2023,0,0,0.16141732283464566
91,Costa Rica,2017,0,0,0.001687289088863892
92,Costa Rica,2018,0,0,0.006186726659167604
93,Costa Rica,2019,0,0,0.01687289088863892
94,Costa Rica,2020,0,0,0.021934758155230598
95,Costa Rica,2021,0,0,0.024184476940382452
96,Costa Rica,2022,0,0,0.03655793025871766
97,Costa Rica,2023,0,0,0.049493813273340834
98,Panama,2017,0,0,0.024746906636670417
99,Panama,2018,0,0,0.021934758155230598
100,Panama,2019,0,0,0.06411698537682789
101,Panama,2020,0,0,0.16816647919010125
102,Panama,2021,0,0,0.07086614173228346
103,Panama,2022,0,0,0.10348706411698538
104,Panama,2023,0,0,0.12710911136107986
105,Colombia,2017,0,1,0.5854893138357705
106,Colombia,2018,1,1,0.5798650168728909
107,Colombia,2019,1,1,0.5607424071991001
108,Colombia,2020,1,0,0.41957255343082117
109,Colombia,2021,1,1,0.5247469066366705
110,Colombia,2022,1,0,0.31046119235095615
111,Colombia,2023,1,1,0.5095613048368954
112,Venezuela,2017,0,0,0.2941507311586052
113,Venezuela,2018,0,0,0.3110236220472441
114,Venezuela,2019,0,0,0.3059617547806524
115,Venezuela,2020,0,0,0.3065241844769404
116,Venezuela,2021,0,0,0.3065241844769404
117,Venezuela,2022,0,0,0.3048368953880765
118,Venezuela,2023,0,0,0.32845894263217096
119,Guyana,2017,0,0,0.003374578177727784
120,Guyana,2018,0,0,0.0421822272215973
121,Guyana,2019,0,0,0.02249718785151856
122,Guyana,2020,0,0,0.04611923509561305
123,Guyana,2021,0,0,0.04161979752530934
124,Guyana,2022,0,0,0.09167604049493813
125,Guyana,2023,0,0,0.13667041619797526
126,Suriname,2017,0,0,0.04443194600674916
127,Suriname,2018,0,0,0.07592800899887514
128,Suriname,2019,0,0,0.06017997750281215
129,Suriname,2020,0,0,0.11529808773903262
130,Suriname,2021,0,0,0.07311586051743532
131,Suriname,2022,0,0,0.18166479190101237
132,Suriname,2023,0,0,0.21034870641169853
133,Ecuador,2017,0,0,0.1141732283464567
134,Ecuador,2018,0,0,0.16197975253093364
135,Ecuador,2019,0,0,0.16479190101237345
136,Ecuador,2020,0,0,0.16197975253093364
137,Ecuador,2021,0,0,0.16422947131608548
138,Ecuador,2022,0,0,0.15523059617547807
139,Ecuador,2023,0,0,0.17154105736782901
140,Peru,2017,0,0,0.1046119235095613
141,Peru,2018,0,0,0.11811023622047244
142,Peru,2019,0,0,0.10967379077615298
143,Peru,2020,0,0,0.19010123734533182
144,Peru,2021,0,0,0.2778402699662542
145,Peru,2022,0,0,0.25871766029246346
146,Peru,2023,0,0,0.33183352080989875
147,Brazil,2017,0,0,0.08717660292463442
148,Brazil,2018,0,0,0.11698537682789652
149,Brazil,2019,0,0,0.1372328458942632
150,Brazil,2020,0,0,0.15241844769403826
151,Brazil,2021,0,0,0.28177727784026996
152,Brazil,2022,0,0,0.2530933633295838
153,Brazil,2023,0,0,0.2514060742407199
154,Bolivia,2017,0,0,0.11136107986501688
155,Bolivia,2018,0,0,0.17547806524184478
156,Bolivia,2019,0,0,0.19853768278965128
157,Bolivia,2020,0,0,0.3008998875140607
158,Bolivia,2021,0,0,0.2547806524184477
159,Bolivia,2022,0,0,0.23847019122609675
160,Bolivia,2023,0,0,0.24015748031496062
161,Paraguay,2017,0,0,0.023059617547806523
162,Paraguay,2018,0,0,0.047244094488188976
163,Paraguay,2019,0,0,0.06692913385826772
164,Paraguay,2020,0,0,0.10067491563554555
165,Paraguay,2021,0,0,0.05680539932508436
166,Paraguay,2022,0,0,0.06580427446569179
167,Paraguay,2023,0,0,0.11698537682789652
168,Chile,2017,0,0,0.026434195725534307
169,Chile,2018,0,0,0.03880764904386952
170,Chile,2019,0,0,0.03712035995500562
171,Chile,2020,0,0,0.04049493813273341
172,Chile,2021,0,0,0.0686164229471316
173,Chile,2022,0,0,0.08942632170978627
174,Chile,2023,0,0,0.13948256467941508
175,Argentina,2017,0,0,0.016310461192350956
176,Argentina,2018,0,0,0.02924634420697413
177,Argentina,2019,0,0,0.03543307086614173
178,Argentina,2020,0,0,0.06242969628796401
179,Argentina,2021,0,0,0.06524184476940383
180,Argentina,2022,0,0,0.047806524184476944
181,Argentina,2023,0,0,0.08267716535433071
182,Uruguay,2017,0,0,0.10292463442069741
183,Uruguay,2018,0,0,0.10517435320584927
184,Uruguay,2019,0,0,0.11473565804274466
185,Uruguay,2020,0,0,0.12429696287964004
186,Uruguay,2021,0,0,0.12992125984251968
187,Uruguay,2022,0,0,0.11304836895388076
188,Uruguay,2023,0,0,0.14285714285714285
189,United Kingdom,2017,0,0,0.043869516310461196
190,United Kingdom,2018,0,0,0.15354330708661418
191,United Kingdom,2019,0,0,0.17716535433070865
192,United Kingdom,2020,0,0,0.10854893138357705
193,United Kingdom,2021,0,0,0.23622047244094488
194,United Kingdom,2022,0,0,0.250281214848144
195,United Kingdom,2023,0,0,0.28177727784026996
196,Ireland,2017,0,0,0.011811023622047244
197,Ireland,2018,0,0,0.07761529808773904
198,Ireland,2019,0,0,0.006186726659167604
199,Ireland,2020,0,0,0.006749156355455568
200,Ireland,2021,0,0,0.019122609673790775
201,Ireland,2022,0,0,0.06917885264341957
202,Ireland,2023,0,0,0.1107986501687289
203,Netherlands,2017,0,0,0.010123734533183352
204,Netherlands,2018,0,0,0.011811023622047244
205,Netherlands,2019,0,0,0.08886389201349831
206,Netherlands,2020,0,0,0.08830146231721035
207,Netherlands,2021,0,0,0.19910011248593926
208,Netherlands,2022,0,0,0.21597300337457817
209,Netherlands,2023,0,0,0.2283464566929134
210,Belgium,2017,0,0,0.003937007874015748
211,Belgium,2018,0,0,0.017435320584926885
212,Belgium,2019,0,0,0.010686164229471317
213,Belgium,2020,0,0,0.01687289088863892
214,Belgium,2021,0,0,0.01968503937007874
215,Belgium,2022,0,0,0.05511811023622047
216,Belgium,2023,0,0,0.05793025871766029
217,Luxembourg,2017,0,0,0.00562429696287964
218,Luxembourg,2018,0,0,0.007311586051743532
219,Luxembourg,2019,0,0,0.01124859392575928
220,Luxembourg,2020,0,0,0.030371203599550055
221,Luxembourg,2021,0,0,0.05793025871766029
222,Luxembourg,2022,0,0,0.06411698537682789
223,Luxembourg,2023,0,0,0.07480314960629922
224,France,2017,0,0,0.003374578177727784
225,France,2018,0,0,0.0022497187851518562
226,France,2019,0,0,0.0022497187851518562
227,France,2020,0,0,0.0005624296962879641
228,France,2021,0,0,0.003374578177727784
229,France,2022,0,0,0.03824521934758155
230,France,2023,0,0,0.047806524184476944
231,Switzerland,2017,0,0,0.0
232,Switzerland,2018,0,0,0.0
233,Switzerland,2019,0,0,0.0
234,Switzerland,2020,0,0,0.0
235,Switzerland,2021,0,0,0.0
236,Switzerland,2022,0,0,0.02530933633295838
237,Switzerland,2023,0,0,0.04499437570303712
238,Spain,2017,0,0,0.0
239,Spain,2018,0,0,0.0044994375703037125
240,Spain,2019,0,0,0.006186726659167604
241,Spain,2020,0,0,0.012373453318335208
242,Spain,2021,0,0,0.030371203599550055
243,Spain,2022,0,0,0.05793025871766029
244,Spain,2023,0,0,0.06467941507311586
245,Portugal,2017,0,0,0.0011248593925759281
246,Portugal,2018,0,0,0.0011248593925759281
247,Portugal,2019,0,0,0.0
248,Portugal,2020,0,0,0.003374578177727784
249,Portugal,2021,0,0,0.007874015748031496
250,Portugal,2022,0,0,0.03093363329583802
251,Portugal,2023,0,0,0.043869516310461196
252,Germany,2017,0,0,0.0
253,Germany,2018,0,0,0.0005624296962879641
254,Germany,2019,0,0,0.00281214848143982
255,Germany,2020,0,0,0.0044994375703037125
256,Germany,2021,0,0,0.012373453318335208
257,Germany,2022,0,0,0.05061867266591676
258,Germany,2023,0,0,0.06974128233970754
259,Poland,2017,0,0,0.0022497187851518562
260,Poland,2018,0,0,0.020247469066366704
261,Poland,2019,0,0,0.020247469066366704
262,Poland,2020,0,0,0.0984251968503937
263,Poland,2021,0,0,0.14004499437570303
264,Poland,2022,0,0,0.16591676040494938
265,Poland,2023,0,0,0.21372328458942633
266,Austria,2017,0,0,0.001687289088863892
267,Austria,2018,0,0,0.007874015748031496
268,Austria,2019,0,0,0.0140607424071991
269,Austria,2020,0,0,0.024746906636670417
