,country,year,d_osv,preds,preds_proba
0,United States of America,2017,1,0,0.20783993538418313
1,United States of America,2018,1,0,0.22327047338109282
2,United States of America,2019,0,0,0.22451186964461303
3,United States of America,2020,0,0,0.2458192864166316
4,United States of America,2021,0,0,0.2855000702345835
5,United States of America,2022,0,0,0.2829189492906308
6,United States of America,2023,0,0,0.30526408203399363
7,Canada,2017,0,0,0.04738200589970501
8,Canada,2018,0,0,0.08038348082595871
9,Canada,2019,0,0,0.17164454277286137
10,Canada,2020,0,0,0.09310471976401179
11,Canada,2021,0,0,0.3348872734934682
12,Canada,2022,0,0,0.3681047197640117
13,Canada,2023,0,0,0.3830383480825958
14,Cuba,2017,0,0,0.018805309734513276
15,Cuba,2018,0,0,0.009550147492625368
16,Cuba,2019,0,0,0.02724926253687316
17,Cuba,2020,0,0,0.025258112094395276
18,Cuba,2021,0,0,0.06069321533923303
19,Cuba,2022,0,0,0.022898230088495574
20,Cuba,2023,0,0,0.020317109144542773
21,Haiti,2017,1,0,0.09716076696165193
22,Haiti,2018,1,0,0.11869469026548672
23,Haiti,2019,1,0,0.15261799410029497
24,Haiti,2020,1,0,0.1608881163084703
25,Haiti,2021,1,0,0.22967762326169405
26,Haiti,2022,1,0,0.31860514117151295
27,Haiti,2023,1,0,0.338406026127265
28,Dominican Republic,2017,0,0,0.11390117994100296
29,Dominican Republic,2018,0,0,0.1615781710914454
30,Dominican Republic,2019,0,0,0.19491150442477875
31,Dominican Republic,2020,0,0,0.16179941002949855
32,Dominican Republic,2021,0,0,0.23130530973451324
33,Dominican Republic,2022,0,0,0.2439896755162242
34,Dominican Republic,2023,0,0,0.25814896755162237
35,Jamaica,2017,0,0,0.013458702064896754
36,Jamaica,2018,0,0,0.017625368731563423
37,Jamaica,2019,0,0,0.008849557522123894
38,Jamaica,2020,0,0,0.0036873156342182886
39,Jamaica,2021,0,0,0.0198377581120944
40,Jamaica,2022,0,0,0.11017699115044245
41,Jamaica,2023,0,0,0.12429941002949849
42,Trinidad and Tobago,2017,0,0,0.1120575221238938
43,Trinidad and Tobago,2018,0,0,0.10822271386430678
44,Trinidad and Tobago,2019,0,0,0.09786135693215339
45,Trinidad and Tobago,2020,0,0,0.2754740834386852
46,Trinidad and Tobago,2021,0,0,0.18003055204382643
47,Trinidad and Tobago,2022,0,0,0.21852612726506535
48,Trinidad and Tobago,2023,0,0,0.21241045090602617
49,Barbados,2017,0,0,0.08720501474926254
50,Barbados,2018,0,0,0.09421091445427728
51,Barbados,2019,0,0,0.09513274336283185
52,Barbados,2020,0,0,0.11010324483775813
53,Barbados,2021,0,0,0.18443952802359884
54,Barbados,2022,0,0,0.2780973451327434
55,Barbados,2023,0,0,0.2830383480825959
56,Mexico,2017,1,0,0.36989306784660775
57,Mexico,2018,1,0,0.27079646017699116
58,Mexico,2019,1,0,0.3636246312684365
59,Mexico,2020,1,0,0.27479719764011806
60,Mexico,2021,1,0,0.2273598820058997
61,Mexico,2022,1,0,0.1929203539823009
62,Mexico,2023,1,0,0.4242388327012221
63,Guatemala,2017,0,0,0.10184365781710918
64,Guatemala,2018,0,0,0.22197640117994105
65,Guatemala,2019,0,0,0.29882005899705016
66,Guatemala,2020,0,0,0.27960914454277286
67,Guatemala,2021,0,0,0.2782132321955331
68,Guatemala,2022,0,0,0.28134218289085544
69,Guatemala,2023,0,0,0.2956173619890434
70,Honduras,2017,0,0,0.3551359039190897
71,Honduras,2018,0,0,0.1588600927096503
72,Honduras,2019,1,0,0.17475242309313113
73,Honduras,2020,0,0,0.21199431099873586
74,Honduras,2021,1,0,0.19605457227138648
75,Honduras,2022,1,0,0.27916666666666673
76,Honduras,2023,1,0,0.27856089338390233
77,El Salvador,2017,0,0,0.009513274336283186
78,El Salvador,2018,0,0,0.015486725663716814
79,El Salvador,2019,1,0,0.004424778761061947
80,El Salvador,2020,0,0,0.03303834808259586
81,El Salvador,2021,1,0,0.005346607669616519
82,El Salvador,2022,1,0,0.059697640117994104
83,El Salvador,2023,0,0,0.07942477876106196
84,Nicaragua,2017,0,0,0.13156342182890854
85,Nicaragua,2018,0,0,0.15184365781710912
86,Nicaragua,2019,0,0,0.15737463126843657
87,Nicaragua,2020,0,0,0.1706489675516224
88,Nicaragua,2021,0,0,0.1471238938053097
89,Nicaragua,2022,0,0,0.1445427728613569
90,Nicaragua,2023,0,0,0.12573746312684364
91,Costa Rica,2017,0,0,0.17222924568057313
92,Costa Rica,2018,0,0,0.22012747576906874
93,Costa Rica,2019,0,0,0.21404340497260851
94,Costa Rica,2020,0,0,0.15199115044247788
95,Costa Rica,2021,0,0,0.30034502739148755
96,Costa Rica,2022,0,0,0.10966076696165193
97,Costa Rica,2023,0,0,0.2827196586599242
98,Panama,2017,0,0,0.015486725663716814
99,Panama,2018,0,0,0.03274336283185841
100,Panama,2019,0,0,0.03908554572271387
101,Panama,2020,0,0,0.29083438685208596
102,Panama,2021,0,0,0.08974926253687315
103,Panama,2022,0,0,0.12511061946902652
104,Panama,2023,0,0,0.12252949852507371
105,Colombia,2017,1,1,0.6227691740412978
106,Colombia,2018,1,1,0.6287979351032448
107,Colombia,2019,1,1,0.6259955752212389
108,Colombia,2020,1,0,0.3704646017699114
109,Colombia,2021,1,1,0.6597345132743363
110,Colombia,2022,1,1,0.5710229667088074
111,Colombia,2023,1,1,0.5934418457648546
112,Venezuela,2017,1,1,0.7352138643067848
113,Venezuela,2018,1,1,0.7674778761061948
114,Venezuela,2019,1,1,0.6897545301306364
115,Venezuela,2020,1,1,0.7073430257058576
116,Venezuela,2021,1,1,0.6982722292456806
117,Venezuela,2022,1,1,0.6731405394016011
118,Venezuela,2023,1,1,0.6620548883270121
119,Guyana,2017,0,0,0.007005899705014749
120,Guyana,2018,0,0,0.019542772861356934
121,Guyana,2019,0,0,0.014011799410029498
122,Guyana,2020,0,0,0.028318584070796456
123,Guyana,2021,0,0,0.015302359882005899
124,Guyana,2022,0,0,0.09598082595870205
125,Guyana,2023,0,0,0.09819321533923302
126,Suriname,2017,0,0,0.016113569321533922
127,Suriname,2018,0,0,0.02636430678466077
128,Suriname,2019,0,0,0.02562684365781711
129,Suriname,2020,0,0,0.0640434049726085
130,Suriname,2021,0,0,0.043694690265486724
131,Suriname,2022,0,0,0.16224188790560468
132,Suriname,2023,0,0,0.1706489675516224
133,Ecuador,2017,0,0,0.11231563421828909
134,Ecuador,2018,0,0,0.17503687315634217
135,Ecuador,2019,0,0,0.20222819216182047
136,Ecuador,2020,0,0,0.21959544879898865
137,Ecuador,2021,0,0,0.2128845343447113
138,Ecuador,2022,1,0,0.24566477033291192
139,Ecuador,2023,0,0,0.21067214496418035
140,Peru,2017,0,0,0.49376843657817115
141,Peru,2018,0,0,0.33307522123893807
142,Peru,2019,1,0,0.17735988200589975
143,Peru,2020,1,0,0.1672197640117994
144,Peru,2021,0,0,0.23362831858407085
145,Peru,2022,1,0,0.2517330383480826
146,Peru,2023,0,0,0.3309734513274336
147,Brazil,2017,1,0,0.49952064896755166
148,Brazil,2018,1,1,0.57297197640118
149,Brazil,2019,1,0,0.4487831858407078
150,Brazil,2020,1,0,0.4368415507796036
151,Brazil,2021,1,0,0.4503423935946061
152,Brazil,2022,1,0,0.46258428150021075
153,Brazil,2023,1,0,0.43216392751790983
154,Bolivia,2017,0,0,0.1187684365781711
155,Bolivia,2018,0,0,0.13200589970501475
156,Bolivia,2019,0,0,0.1456489675516224
157,Bolivia,2020,0,0,0.21709070796460178
