,country,year,d_protest,preds,preds_proba
0,Afghanistan,2017,1,0,0.285
1,Afghanistan,2018,1,0,0.3925
2,Afghanistan,2019,1,0,0.4215
3,Afghanistan,2020,1,0,0.388
4,Afghanistan,2021,1,0,0.441
5,Afghanistan,2022,1,1,0.52
6,Afghanistan,2023,1,0,0.49
7,Albania,2018,1,1,0.854
8,Albania,2019,1,1,0.85
9,Albania,2020,1,1,0.8885
10,Albania,2021,1,1,0.8705
11,Albania,2022,1,1,0.832
12,Albania,2023,1,1,0.77
13,Algeria,2017,1,1,0.835
14,Algeria,2018,1,1,0.7575
15,Algeria,2019,1,1,0.757
16,Algeria,2020,1,1,0.7555
17,Algeria,2021,1,1,0.746
18,Algeria,2022,1,1,0.733
19,Algeria,2023,1,1,0.6755
20,Angola,2017,1,0,0.2255
21,Angola,2018,1,0,0.2615
22,Angola,2019,1,0,0.3425
23,Angola,2020,1,0,0.357
24,Angola,2021,1,0,0.3455
25,Angola,2022,1,0,0.3735
26,Angola,2023,1,0,0.3445
27,Argentina,2018,1,1,0.7615
28,Argentina,2019,1,1,0.7565
29,Argentina,2020,1,1,0.769
30,Argentina,2021,1,1,0.7705
31,Argentina,2022,1,1,0.764
32,Argentina,2023,1,1,0.709
33,Armenia,2018,1,1,0.8065
34,Armenia,2019,1,1,0.8145
35,Armenia,2020,1,1,0.86
36,Armenia,2021,1,1,0.7945
37,Armenia,2022,1,1,0.7335
38,Armenia,2023,1,1,0.7045
39,Australia,2021,1,1,0.745
40,Australia,2022,1,1,0.735
41,Australia,2023,1,1,0.655
42,Austria,2020,1,1,0.7275
43,Austria,2021,1,1,0.745
44,Austria,2022,1,1,0.731
45,Austria,2023,1,1,0.6725
46,Azerbaijan,2018,1,1,0.6175
47,Azerbaijan,2019,1,1,0.628
48,Azerbaijan,2020,1,1,0.714
49,Azerbaijan,2021,1,1,0.6305
50,Azerbaijan,2022,1,1,0.615
51,Azerbaijan,2023,1,1,0.5905
52,Bahrain,2017,1,1,0.6455
53,Bahrain,2018,1,1,0.6395
54,Bahrain,2019,1,1,0.652
55,Bahrain,2020,1,1,0.6485
56,Bahrain,2021,1,1,0.5875
57,Bahrain,2022,1,1,0.6065
58,Bahrain,2023,1,1,0.576
59,Bangladesh,2017,1,1,0.9085
60,Bangladesh,2018,1,1,0.886
61,Bangladesh,2019,1,1,0.8885
62,Bangladesh,2020,1,1,0.869
63,Bangladesh,2021,1,1,0.876
64,Bangladesh,2022,1,1,0.87
65,Bangladesh,2023,1,1,0.761
66,Barbados,2018,0,1,0.792
67,Barbados,2019,0,1,0.796
68,Barbados,2020,0,1,0.798
69,Barbados,2021,0,1,0.7865
70,Barbados,2022,0,1,0.789
71,Barbados,2023,0,1,0.7675
72,Belarus,2018,1,1,0.871
73,Belarus,2019,1,1,0.8565
74,Belarus,2020,1,1,0.8475
75,Belarus,2021,1,1,0.842
76,Belarus,2022,1,1,0.8385
77,Belarus,2023,0,1,0.792
78,Belgium,2020,1,1,0.741
79,Belgium,2021,1,1,0.741
80,Belgium,2022,1,1,0.7315
81,Belgium,2023,1,1,0.6655
82,Benin,2017,1,0,0.093
83,Benin,2018,0,0,0.163
84,Benin,2019,0,0,0.187
85,Benin,2020,0,0,0.256
86,Benin,2021,0,0,0.237
87,Benin,2022,0,0,0.316
88,Benin,2023,0,0,0.3135
89,Bhutan,2020,0,1,0.737
90,Bhutan,2021,0,1,0.7265
91,Bhutan,2022,0,1,0.612
92,Bhutan,2023,0,1,0.584
93,Bolivia,2018,1,1,0.7085
94,Bolivia,2019,1,1,0.729
95,Bolivia,2020,1,1,0.746
96,Bolivia,2021,1,1,0.704
97,Bolivia,2022,1,1,0.665
98,Bolivia,2023,1,1,0.671
99,Bosnia-Herzegovina,2018,1,1,0.7785
100,Bosnia-Herzegovina,2019,1,1,0.8055
101,Bosnia-Herzegovina,2020,1,1,0.791
102,Bosnia-Herzegovina,2021,1,1,0.7615
103,Bosnia-Herzegovina,2022,1,1,0.7645
104,Bosnia-Herzegovina,2023,1,1,0.7195
105,Botswana,2017,0,0,0.2315
106,Botswana,2018,0,0,0.267
107,Botswana,2019,0,0,0.4535
108,Botswana,2020,0,1,0.505
109,Botswana,2021,0,0,0.375
110,Botswana,2022,0,0,0.446
111,Botswana,2023,0,1,0.5295
112,Brazil,2018,1,1,0.9025
113,Brazil,2019,1,1,0.925
114,Brazil,2020,1,1,0.9175
115,Brazil,2021,1,1,0.8645
116,Brazil,2022,1,1,0.85
117,Brazil,2023,1,1,0.775
118,Bulgaria,2018,1,1,0.8535
119,Bulgaria,2019,1,1,0.8365
120,Bulgaria,2020,1,1,0.8215
121,Bulgaria,2021,1,1,0.809
122,Bulgaria,2022,1,1,0.812
123,Bulgaria,2023,1,1,0.7405
124,Burkina Faso,2017,1,0,0.444
125,Burkina Faso,2018,1,0,0.334
126,Burkina Faso,2019,1,0,0.317
127,Burkina Faso,2020,1,0,0.285
128,Burkina Faso,2021,1,0,0.3445
129,Burkina Faso,2022,1,0,0.364
130,Burkina Faso,2023,1,0,0.3645
131,Burundi,2017,1,1,0.624
132,Burundi,2018,1,1,0.509
133,Burundi,2019,1,0,0.447
134,Burundi,2020,0,0,0.499
