,country,year,d_riot,preds,preds_proba
0,Afghanistan,2017,0,0,0.2987012987012987
1,Afghanistan,2018,0,0,0.4329004329004329
2,Afghanistan,2019,0,0,0.4155844155844156
3,Afghanistan,2020,0,0,0.36796536796536794
4,Afghanistan,2021,0,0,0.42857142857142855
5,Afghanistan,2022,1,0,0.4935064935064935
6,Afghanistan,2023,1,0,0.4588744588744589
7,Albania,2018,0,1,0.5064935064935064
8,Albania,2019,1,1,0.5064935064935064
9,Albania,2020,0,1,0.6190476190476191
10,Albania,2021,0,1,0.5367965367965368
11,Albania,2022,0,1,0.5800865800865801
12,Albania,2023,0,1,0.5887445887445888
13,Algeria,2017,1,1,0.7835497835497836
14,Algeria,2018,1,1,0.6883116883116883
15,Algeria,2019,0,1,0.6883116883116883
16,Algeria,2020,1,1,0.683982683982684
17,Algeria,2021,1,1,0.670995670995671
18,Algeria,2022,0,1,0.6406926406926406
19,Algeria,2023,0,1,0.6103896103896104
20,Angola,2017,0,0,0.2813852813852814
21,Angola,2018,0,0,0.2683982683982684
22,Angola,2019,0,0,0.38095238095238093
23,Angola,2020,1,0,0.3463203463203463
24,Angola,2021,1,0,0.3593073593073593
25,Angola,2022,1,0,0.3593073593073593
26,Angola,2023,1,0,0.3203463203463203
27,Argentina,2018,1,1,0.5541125541125541
28,Argentina,2019,1,1,0.5670995670995671
29,Argentina,2020,1,1,0.5800865800865801
30,Argentina,2021,1,1,0.5627705627705628
31,Argentina,2022,1,1,0.5411255411255411
32,Argentina,2023,1,1,0.5108225108225108
33,Armenia,2018,1,1,0.5064935064935064
34,Armenia,2019,0,1,0.5151515151515151
35,Armenia,2020,0,1,0.5497835497835498
36,Armenia,2021,0,1,0.5627705627705628
37,Armenia,2022,0,1,0.5454545454545454
38,Armenia,2023,0,1,0.5064935064935064
39,Australia,2021,1,1,0.6190476190476191
40,Australia,2022,0,1,0.658008658008658
41,Australia,2023,0,1,0.6060606060606061
42,Austria,2020,0,1,0.5108225108225108
43,Austria,2021,0,1,0.5367965367965368
44,Austria,2022,0,1,0.5411255411255411
45,Austria,2023,0,1,0.5324675324675324
46,Azerbaijan,2018,0,0,0.42857142857142855
47,Azerbaijan,2019,0,0,0.48484848484848486
48,Azerbaijan,2020,0,1,0.5151515151515151
49,Azerbaijan,2021,0,0,0.4588744588744589
50,Azerbaijan,2022,0,0,0.4199134199134199
51,Azerbaijan,2023,0,0,0.45454545454545453
52,Bahrain,2017,1,1,0.6017316017316018
53,Bahrain,2018,1,1,0.5670995670995671
54,Bahrain,2019,1,1,0.5800865800865801
55,Bahrain,2020,1,1,0.5714285714285714
56,Bahrain,2021,1,1,0.5497835497835498
57,Bahrain,2022,0,1,0.5800865800865801
58,Bahrain,2023,1,1,0.5194805194805194
59,Bangladesh,2017,1,1,0.8874458874458875
60,Bangladesh,2018,1,1,0.8787878787878788
61,Bangladesh,2019,1,1,0.8571428571428571
62,Bangladesh,2020,1,1,0.8354978354978355
63,Bangladesh,2021,1,1,0.8225108225108225
64,Bangladesh,2022,1,1,0.8095238095238095
65,Bangladesh,2023,1,1,0.7705627705627706
66,Barbados,2018,0,1,0.6493506493506493
67,Barbados,2019,0,1,0.6363636363636364
68,Barbados,2020,0,1,0.5844155844155844
69,Barbados,2021,0,1,0.5800865800865801
70,Barbados,2022,0,1,0.5714285714285714
71,Barbados,2023,0,1,0.5757575757575758
72,Belarus,2018,0,1,0.5238095238095238
73,Belarus,2019,0,1,0.5454545454545454
74,Belarus,2020,0,1,0.5367965367965368
75,Belarus,2021,0,0,0.49783549783549785
76,Belarus,2022,0,1,0.5108225108225108
77,Belarus,2023,0,1,0.5497835497835498
78,Belgium,2020,0,0,0.4805194805194805
79,Belgium,2021,0,0,0.47619047619047616
80,Belgium,2022,0,1,0.5151515151515151
81,Belgium,2023,0,1,0.5064935064935064
82,Benin,2017,0,0,0.11255411255411256
83,Benin,2018,0,0,0.18614718614718614
84,Benin,2019,1,0,0.20346320346320346
85,Benin,2020,1,0,0.2510822510822511
86,Benin,2021,1,0,0.22943722943722944
87,Benin,2022,1,0,0.2554112554112554
88,Benin,2023,1,0,0.27705627705627706
89,Bhutan,2020,0,1,0.5584415584415584
90,Bhutan,2021,0,1,0.5238095238095238
91,Bhutan,2022,0,0,0.42857142857142855
92,Bhutan,2023,0,0,0.4588744588744589
93,Bolivia,2018,1,1,0.6406926406926406
94,Bolivia,2019,1,1,0.6233766233766234
95,Bolivia,2020,1,1,0.6753246753246753
96,Bolivia,2021,1,1,0.6320346320346321
97,Bolivia,2022,1,1,0.5584415584415584
98,Bolivia,2023,1,1,0.6536796536796536
99,Bosnia-Herzegovina,2018,0,1,0.5844155844155844
100,Bosnia-Herzegovina,2019,0,1,0.5757575757575758
101,Bosnia-Herzegovina,2020,0,1,0.5757575757575758
102,Bosnia-Herzegovina,2021,0,1,0.5108225108225108
103,Bosnia-Herzegovina,2022,0,1,0.5324675324675324
104,Bosnia-Herzegovina,2023,0,1,0.5281385281385281
105,Botswana,2017,0,0,0.18181818181818182
106,Botswana,2018,0,0,0.16017316017316016
107,Botswana,2019,0,0,0.2813852813852814
108,Botswana,2020,0,0,0.3203463203463203
109,Botswana,2021,0,0,0.2813852813852814
110,Botswana,2022,0,0,0.3333333333333333
111,Botswana,2023,0,0,0.45454545454545453
112,Brazil,2018,1,1,0.7229437229437229
113,Brazil,2019,1,1,0.7272727272727273
114,Brazil,2020,1,1,0.7142857142857143
115,Brazil,2021,1,1,0.7012987012987013
116,Brazil,2022,1,1,0.670995670995671
117,Brazil,2023,1,1,0.6233766233766234
118,Bulgaria,2018,0,1,0.5151515151515151
119,Bulgaria,2019,0,1,0.5324675324675324
120,Bulgaria,2020,1,1,0.5411255411255411
121,Bulgaria,2021,0,1,0.5238095238095238
122,Bulgaria,2022,0,1,0.5324675324675324
123,Bulgaria,2023,0,1,0.5194805194805194
124,Burkina Faso,2017,1,0,0.26406926406926406
125,Burkina Faso,2018,1,0,0.22510822510822512
126,Burkina Faso,2019,1,0,0.22077922077922077
127,Burkina Faso,2020,0,0,0.13852813852813853
128,Burkina Faso,2021,1,0,0.15151515151515152
129,Burkina Faso,2022,1,0,0.3246753246753247
130,Burkina Faso,2023,0,0,0.29004329004329005
131,Burundi,2017,1,1,0.6017316017316018
132,Burundi,2018,1,1,0.5324675324675324
133,Burundi,2019,1,0,0.49783549783549785
134,Burundi,2020,1,1,0.5281385281385281
135,Burundi,2021,1,1,0.5411255411255411
136,Burundi,2022,1,1,0.5281385281385281
137,Burundi,2023,1,1,0.5108225108225108
138,Cambodia (Kampuchea),2017,0,0,0.18181818181818182
139,Cambodia (Kampuchea),2018,0,0,0.23376623376623376
140,Cambodia (Kampuchea),2019,0,0,0.22943722943722944
141,Cambodia (Kampuchea),2020,0,0,0.22077922077922077
142,Cambodia (Kampuchea),2021,0,0,0.23376623376623376
143,Cambodia (Kampuchea),2022,0,0,0.26406926406926406
144,Cambodia (Kampuchea),2023,0,0,0.2510822510822511
145,Cameroon,2017,1,0,0.1341991341991342
146,Cameroon,2018,0,0,0.22077922077922077
147,Cameroon,2019,0,0,0.2510822510822511
148,Cameroon,2020,1,0,0.4025974025974026
149,Cameroon,2021,1,0,0.37662337662337664
150,Cameroon,2022,1,0,0.3939393939393939
151,Cameroon,2023,1,0,0.4199134199134199
152,Canada,2021,1,1,0.5887445887445888
153,Canada,2022,0,1,0.6060606060606061
154,Canada,2023,0,1,0.5887445887445888
155,Cabo Verde,2020,0,0,0.3722943722943723
156,Cabo Verde,2021,0,0,0.35064935064935066
157,Cabo Verde,2022,0,0,0.4025974025974026
158,Cabo Verde,2023,0,0,0.3852813852813853
159,Central African Republic,2017,0,0,0.2683982683982684
160,Central African Republic,2018,0,0,0.27705627705627706
161,Central African Republic,2019,0,0,0.30303030303030304
162,Central African Republic,2020,1,0,0.26406926406926406
163,Central African Republic,2021,0,0,0.26406926406926406
164,Central African Republic,2022,0,0,0.3203463203463203
165,Central African Republic,2023,0,0,0.26406926406926406
166,Chad,2017,0,0,0.03896103896103896
167,Chad,2018,0,0,0.06060606060606061
168,Chad,2019,0,0,0.06060606060606061
169,Chad,2020,0,0,0.15151515151515152
170,Chad,2021,1,0,0.1341991341991342
171,Chad,2022,1,0,0.19913419913419914
172,Chad,2023,0,0,0.24242424242424243
173,Chile,2018,1,1,0.6017316017316018
174,Chile,2019,1,1,0.6363636363636364
175,Chile,2020,1,1,0.6103896103896104
176,Chile,2021,1,1,0.5844155844155844
177,Chile,2022,1,1,0.5627705627705628
178,Chile,2023,1,1,0.5800865800865801
179,China,2018,1,1,0.670995670995671
180,China,2019,1,1,0.6926406926406926
181,China,2020,1,1,0.7229437229437229
182,China,2021,0,1,0.6753246753246753
183,China,2022,1,1,0.7142857142857143
184,China,2023,0,1,0.6623376623376623
185,Colombia,2018,1,1,0.6103896103896104
186,Colombia,2019,1,1,0.6883116883116883
187,Colombia,2020,1,1,0.7229437229437229
188,Colombia,2021,1,1,0.7186147186147186
189,Colombia,2022,1,1,0.6666666666666666
190,Colombia,2023,1,1,0.645021645021645
191,Comoros,2020,0,0,0.47186147186147187
192,Comoros,2021,0,0,0.4805194805194805
193,Comoros,2022,0,0,0.45021645021645024
194,Comoros,2023,0,0,0.4458874458874459
195,Costa Rica,2018,0,1,0.5454545454545454
196,Costa Rica,2019,1,1,0.5411255411255411
197,Costa Rica,2020,1,1,0.5238095238095238
198,Costa Rica,2021,0,1,0.5151515151515151
199,Costa Rica,2022,0,1,0.5367965367965368
200,Costa Rica,2023,0,0,0.49783549783549785
201,Croatia,2018,0,0,0.4805194805194805
202,Croatia,2019,0,0,0.48484848484848486
203,Croatia,2020,0,1,0.5108225108225108
204,Croatia,2021,0,1,0.5281385281385281
205,Croatia,2022,0,1,0.5194805194805194
206,Croatia,2023,0,1,0.5151515151515151
207,Cuba,2018,0,1,0.6406926406926406
208,Cuba,2019,0,1,0.6493506493506493
209,Cuba,2020,0,1,0.6233766233766234
210,Cuba,2021,0,0,0.48917748917748916
211,Cuba,2022,0,1,0.5021645021645021
212,Cuba,2023,0,1,0.5151515151515151
213,Cyprus,2018,0,1,0.5238095238095238
214,Cyprus,2019,0,0,0.49783549783549785
215,Cyprus,2020,0,1,0.5064935064935064
216,Cyprus,2021,0,0,0.49783549783549785
217,Cyprus,2022,1,1,0.5021645021645021
218,Cyprus,2023,0,1,0.5151515151515151
219,Czechia,2020,0,1,0.5238095238095238
220,Czechia,2021,0,1,0.5238095238095238
221,Czechia,2022,0,1,0.5064935064935064
222,Czechia,2023,0,0,0.4935064935064935
223,DR Congo (Zaire),2017,1,0,0.47619047619047616
224,DR Congo (Zaire),2018,1,0,0.4588744588744589
225,DR Congo (Zaire),2019,1,0,0.47186147186147187
226,DR Congo (Zaire),2020,1,0,0.47619047619047616
227,DR Congo (Zaire),2021,1,0,0.45021645021645024
228,DR Congo (Zaire),2022,1,0,0.4199134199134199
229,DR Congo (Zaire),2023,1,0,0.3722943722943723
230,Denmark,2020,1,1,0.5021645021645021
231,Denmark,2021,0,0,0.48917748917748916
232,Denmark,2022,0,1,0.5324675324675324
233,Denmark,2023,0,1,0.5238095238095238
234,Djibouti,2017,0,0,0.03463203463203463
235,Djibouti,2018,0,0,0.05194805194805195
236,Djibouti,2019,0,0,0.05627705627705628
237,Djibouti,2020,0,0,0.09090909090909091
238,Djibouti,2021,0,0,0.09090909090909091
239,Djibouti,2022,0,0,0.12987012987012986
240,Djibouti,2023,0,0,0.17316017316017315
241,Dominican Republic,2018,1,1,0.6666666666666666
242,Dominican Republic,2019,0,1,0.6190476190476191
243,Dominican Republic,2020,0,1,0.7532467532467533
244,Dominican Republic,2021,0,1,0.7012987012987013
245,Dominican Republic,2022,1,1,0.683982683982684
246,Dominican Republic,2023,0,1,0.70995670995671
247,East Timor,2020,0,0,0.3722943722943723
248,East Timor,2021,0,0,0.341991341991342
249,East Timor,2022,0,0,0.38095238095238093
250,East Timor,2023,0,0,0.38095238095238093
251,Ecuador,2018,0,1,0.5887445887445888
252,Ecuador,2019,1,1,0.6277056277056277
253,Ecuador,2020,1,1,0.5844155844155844
254,Ecuador,2021,1,1,0.5584415584415584
255,Ecuador,2022,1,1,0.5930735930735931
256,Ecuador,2023,1,1,0.5757575757575758
257,Egypt,2017,1,1,0.8658008658008658
258,Egypt,2018,0,1,0.8181818181818182
259,Egypt,2019,0,1,0.8225108225108225
260,Egypt,2020,0,1,0.8658008658008658
261,Egypt,2021,0,1,0.7922077922077922
262,Egypt,2022,0,1,0.8008658008658008
263,Egypt,2023,0,1,0.7445887445887446
264,El Salvador,2018,0,0,0.42424242424242425
265,El Salvador,2019,0,0,0.4458874458874459
266,El Salvador,2020,0,0,0.46320346320346323
267,El Salvador,2021,0,0,0.45454545454545453
268,El Salvador,2022,0,0,0.47186147186147187
269,El Salvador,2023,0,0,0.49783549783549785
270,Equatorial Guinea,2017,0,0,0.08658008658008658
271,Equatorial Guinea,2018,0,0,0.10822510822510822
272,Equatorial Guinea,2019,0,0,0.12554112554112554
273,Equatorial Guinea,2020,0,0,0.18614718614718614
274,Equatorial Guinea,2021,0,0,0.2077922077922078
275,Equatorial Guinea,2022,0,0,0.18614718614718614
276,Equatorial Guinea,2023,0,0,0.24675324675324675
277,Eritrea,2017,0,0,0.06493506493506493
278,Eritrea,2018,0,0,0.06926406926406926
279,Eritrea,2019,0,0,0.08658008658008658
280,Eritrea,2020,0,0,0.08225108225108226
281,Eritrea,2021,0,0,0.07792207792207792
282,Eritrea,2022,0,0,0.1038961038961039
283,Eritrea,2023,0,0,0.12987012987012986
284,Estonia,2020,0,0,0.49783549783549785
285,Estonia,2021,0,0,0.4805194805194805
286,Estonia,2022,0,1,0.5151515151515151
287,Estonia,2023,0,0,0.48917748917748916
288,Ethiopia,2017,1,0,0.4069264069264069
289,Ethiopia,2018,1,0,0.42857142857142855
290,Ethiopia,2019,1,0,0.4458874458874459
291,Ethiopia,2020,1,0,0.4069264069264069
292,Ethiopia,2021,0,0,0.4069264069264069
293,Ethiopia,2022,1,0,0.43722943722943725
294,Ethiopia,2023,1,0,0.43722943722943725
295,Fiji,2021,0,1,0.6017316017316018
296,Fiji,2022,0,1,0.5281385281385281
297,Fiji,2023,0,1,0.5021645021645021
298,Finland,2020,0,1,0.5541125541125541
299,Finland,2021,0,1,0.5238095238095238
300,Finland,2022,0,1,0.5584415584415584
301,Finland,2023,0,1,0.5324675324675324
302,France,2020,1,1,0.5541125541125541
303,France,2021,1,1,0.5238095238095238
304,France,2022,1,1,0.5627705627705628
305,France,2023,1,1,0.5757575757575758
306,Gabon,2017,0,0,0.09523809523809523
307,Gabon,2018,0,0,0.12554112554112554
308,Gabon,2019,0,0,0.18181818181818182
309,Gabon,2020,0,0,0.22077922077922077
310,Gabon,2021,0,0,0.21645021645021645
311,Gabon,2022,0,0,0.24242424242424243
312,Gabon,2023,0,0,0.23809523809523808
313,Gambia,2017,0,0,0.18614718614718614
314,Gambia,2018,0,0,0.22510822510822512
315,Gambia,2019,0,0,0.2987012987012987
316,Gambia,2020,0,0,0.35064935064935066
317,Gambia,2021,0,0,0.3852813852813853
318,Gambia,2022,0,0,0.4025974025974026
319,Gambia,2023,0,0,0.42857142857142855
320,Georgia,2018,1,1,0.5324675324675324
321,Georgia,2019,1,1,0.5627705627705628
322,Georgia,2020,1,1,0.6320346320346321
323,Georgia,2021,1,1,0.5887445887445888
324,Georgia,2022,0,1,0.5887445887445888
325,Georgia,2023,0,1,0.5497835497835498
326,Germany,2020,1,1,0.5800865800865801
327,Germany,2021,1,1,0.5497835497835498
328,Germany,2022,1,1,0.5367965367965368
329,Germany,2023,1,1,0.5411255411255411
330,Ghana,2017,1,1,0.5454545454545454
331,Ghana,2018,1,0,0.44155844155844154
332,Ghana,2019,1,0,0.3939393939393939
333,Ghana,2020,1,1,0.5238095238095238
334,Ghana,2021,1,0,0.48917748917748916
335,Ghana,2022,1,1,0.5238095238095238
336,Ghana,2023,1,1,0.5367965367965368
337,Greece,2018,1,1,0.5714285714285714
338,Greece,2019,1,1,0.5584415584415584
339,Greece,2020,1,1,0.5714285714285714
340,Greece,2021,1,1,0.5454545454545454
341,Greece,2022,1,0,0.4935064935064935
342,Greece,2023,1,1,0.5238095238095238
343,Guatemala,2018,1,1,0.7056277056277056
344,Guatemala,2019,1,1,0.7012987012987013
345,Guatemala,2020,1,1,0.7316017316017316
346,Guatemala,2021,1,1,0.6363636363636364
347,Guatemala,2022,1,1,0.70995670995671
348,Guatemala,2023,1,1,0.7402597402597403
349,Guinea,2017,1,0,0.4458874458874459
350,Guinea,2018,1,0,0.37662337662337664
351,Guinea,2019,1,0,0.341991341991342
352,Guinea,2020,1,0,0.329004329004329
353,Guinea,2021,1,0,0.3246753246753247
354,Guinea,2022,1,0,0.30735930735930733
355,Guinea,2023,1,0,0.30303030303030304
356,Guinea-Bissau,2017,0,0,0.1038961038961039
357,Guinea-Bissau,2018,0,0,0.1341991341991342
358,Guinea-Bissau,2019,0,0,0.13852813852813853
359,Guinea-Bissau,2020,0,0,0.1471861471861472
360,Guinea-Bissau,2021,0,0,0.14285714285714285
361,Guinea-Bissau,2022,0,0,0.24675324675324675
362,Guinea-Bissau,2023,0,0,0.31601731601731603
363,Guyana,2018,0,0,0.329004329004329
364,Guyana,2019,0,0,0.36796536796536794
365,Guyana,2020,1,0,0.36363636363636365
366,Guyana,2021,0,0,0.36363636363636365
367,Guyana,2022,0,0,0.3852813852813853
368,Guyana,2023,0,0,0.3852813852813853
369,Haiti,2018,1,1,0.5151515151515151
370,Haiti,2019,1,0,0.47619047619047616
371,Haiti,2020,1,0,0.49783549783549785
372,Haiti,2021,1,1,0.5108225108225108
373,Haiti,2022,1,1,0.5021645021645021
374,Haiti,2023,1,1,0.5021645021645021
375,Honduras,2018,1,0,0.38095238095238093
376,Honduras,2019,1,0,0.41125541125541126
377,Honduras,2020,1,0,0.4155844155844156
378,Honduras,2021,1,0,0.43722943722943725
