,country,year,d_terror,preds,preds_proba
0,United States of America,2017,1,1,0.8144554546288654
1,United States of America,2018,1,1,0.7662030665402535
2,United States of America,2019,1,1,0.7497046110244568
3,United States of America,2020,1,1,0.7222913139098113
4,Canada,2017,1,0,0.44551617653737124
5,Canada,2018,1,0,0.4408405008115992
6,Canada,2019,0,0,0.42593461451842995
7,Canada,2020,1,0,0.42985650615708404
8,Cuba,2017,0,0,0.06373596966082516
9,Cuba,2018,0,0,0.06440753993740507
10,Cuba,2019,0,0,0.11424315176723653
11,Cuba,2020,0,0,0.1632524900347637
12,Haiti,2017,0,0,0.4521449666440035
13,Haiti,2018,0,0,0.4522255825242339
14,Haiti,2019,1,0,0.46576050261021357
15,Haiti,2020,0,0,0.48813895731044077
16,Dominican Republic,2017,0,0,0.195391269331539
17,Dominican Republic,2018,0,0,0.2053386651170851
18,Dominican Republic,2019,0,0,0.2080308081271472
19,Dominican Republic,2020,0,0,0.2792045141756124
20,Jamaica,2017,0,0,0.07572059710788032
21,Jamaica,2018,0,0,0.0938968314209162
22,Jamaica,2019,0,0,0.1449379564986502
23,Jamaica,2020,0,0,0.20103549486979164
24,Trinidad and Tobago,2017,0,0,0.10101359961668242
25,Trinidad and Tobago,2018,0,0,0.110758122559664
26,Trinidad and Tobago,2019,0,0,0.10351051574558315
27,Trinidad and Tobago,2020,0,0,0.14971964808188312
28,Barbados,2017,0,0,0.04833165122182465
29,Barbados,2018,0,0,0.07089106034192742
30,Barbados,2019,0,0,0.08521194605009638
31,Barbados,2020,0,0,0.1104563619496182
32,Mexico,2017,1,1,0.5643744074379916
33,Mexico,2018,1,1,0.5030480045894307
34,Mexico,2019,1,0,0.47283772211517877
35,Mexico,2020,1,0,0.40206568390576075
36,Guatemala,2017,0,0,0.30921035451382245
37,Guatemala,2018,0,0,0.43133012085324207
38,Guatemala,2019,0,0,0.49464709182917294
39,Guatemala,2020,1,0,0.4965094911867551
40,Honduras,2017,1,0,0.4882635650940082
41,Honduras,2018,0,0,0.4964803786094732
42,Honduras,2019,1,0,0.4754828308778215
43,Honduras,2020,1,0,0.48563233490979163
44,El Salvador,2017,0,0,0.0759037526378567
45,El Salvador,2018,0,0,0.10761563242295419
46,El Salvador,2019,0,0,0.16876395387956086
47,El Salvador,2020,0,0,0.2352277477036629
48,Nicaragua,2017,0,0,0.18693891386569614
49,Nicaragua,2018,1,0,0.24344613675056825
50,Nicaragua,2019,0,0,0.24922101555049514
