,country,year,d_civil_war,preds,preds_proba
0,United States of America,2017,0,0,0.0
1,United States of America,2018,0,0,0.0
2,United States of America,2019,0,0,0.0
3,United States of America,2020,0,0,0.0
4,United States of America,2021,0,0,0.004329004329004329
5,United States of America,2022,0,0,0.021645021645021644
6,United States of America,2023,0,0,0.05627705627705628
7,Canada,2017,0,0,0.004329004329004329
8,Canada,2018,0,0,0.0
9,Canada,2019,0,0,0.021645021645021644
10,Canada,2020,0,0,0.017316017316017316
11,Canada,2021,0,0,0.030303030303030304
12,Canada,2022,0,0,0.025974025974025976
13,Canada,2023,0,0,0.04329004329004329
14,Cuba,2017,0,0,0.0
15,Cuba,2018,0,0,0.0
16,Cuba,2019,0,0,0.0
17,Cuba,2020,0,0,0.030303030303030304
18,Cuba,2021,0,0,0.004329004329004329
19,Cuba,2022,0,0,0.004329004329004329
20,Cuba,2023,0,0,0.030303030303030304
21,Haiti,2017,0,0,0.021645021645021644
22,Haiti,2018,0,0,0.06060606060606061
23,Haiti,2019,0,0,0.06493506493506493
24,Haiti,2020,0,0,0.08225108225108226
25,Haiti,2021,0,0,0.14285714285714285
26,Haiti,2022,0,0,0.16017316017316016
27,Haiti,2023,0,0,0.20346320346320346
28,Dominican Republic,2017,0,0,0.0
29,Dominican Republic,2018,0,0,0.004329004329004329
30,Dominican Republic,2019,0,0,0.0
31,Dominican Republic,2020,0,0,0.017316017316017316
32,Dominican Republic,2021,0,0,0.021645021645021644
33,Dominican Republic,2022,0,0,0.017316017316017316
34,Dominican Republic,2023,0,0,0.047619047619047616
35,Jamaica,2017,0,0,0.004329004329004329
36,Jamaica,2018,0,0,0.012987012987012988
37,Jamaica,2019,0,0,0.021645021645021644
38,Jamaica,2020,0,0,0.06493506493506493
39,Jamaica,2021,0,0,0.0735930735930736
40,Jamaica,2022,0,0,0.047619047619047616
41,Jamaica,2023,0,0,0.047619047619047616
42,Trinidad and Tobago,2017,0,0,0.008658008658008658
43,Trinidad and Tobago,2018,0,0,0.008658008658008658
44,Trinidad and Tobago,2019,0,0,0.025974025974025976
45,Trinidad and Tobago,2020,0,0,0.047619047619047616
46,Trinidad and Tobago,2021,0,0,0.047619047619047616
47,Trinidad and Tobago,2022,0,0,0.06060606060606061
48,Trinidad and Tobago,2023,0,0,0.08225108225108226
49,Barbados,2017,0,0,0.0
50,Barbados,2018,0,0,0.004329004329004329
51,Barbados,2019,0,0,0.004329004329004329
52,Barbados,2020,0,0,0.03896103896103896
53,Barbados,2021,0,0,0.0
54,Barbados,2022,0,0,0.03896103896103896
55,Barbados,2023,0,0,0.06493506493506493
56,Mexico,2017,0,0,0.0
57,Mexico,2018,0,0,0.0
58,Mexico,2019,0,0,0.0
59,Mexico,2020,0,0,0.004329004329004329
60,Mexico,2021,0,0,0.004329004329004329
61,Mexico,2022,0,0,0.017316017316017316
62,Mexico,2023,0,0,0.03896103896103896
63,Guatemala,2017,0,0,0.008658008658008658
64,Guatemala,2018,0,0,0.0
65,Guatemala,2019,0,0,0.012987012987012988
66,Guatemala,2020,0,0,0.030303030303030304
67,Guatemala,2021,0,0,0.025974025974025976
68,Guatemala,2022,0,0,0.025974025974025976
69,Guatemala,2023,0,0,0.1038961038961039
70,Honduras,2017,0,0,0.004329004329004329
71,Honduras,2018,0,0,0.004329004329004329
72,Honduras,2019,0,0,0.008658008658008658
73,Honduras,2020,0,0,0.05627705627705628
74,Honduras,2021,0,0,0.03463203463203463
75,Honduras,2022,0,0,0.03896103896103896
76,Honduras,2023,0,0,0.07792207792207792
77,El Salvador,2017,0,0,0.004329004329004329
78,El Salvador,2018,0,0,0.0
79,El Salvador,2019,0,0,0.0
80,El Salvador,2020,0,0,0.008658008658008658
81,El Salvador,2021,0,0,0.0
82,El Salvador,2022,0,0,0.012987012987012988
83,El Salvador,2023,0,0,0.017316017316017316
84,Nicaragua,2017,0,0,0.012987012987012988
85,Nicaragua,2018,0,0,0.0
86,Nicaragua,2019,0,0,0.012987012987012988
87,Nicaragua,2020,0,0,0.004329004329004329
88,Nicaragua,2021,0,0,0.008658008658008658
89,Nicaragua,2022,0,0,0.047619047619047616
90,Nicaragua,2023,0,0,0.09956709956709957
91,Costa Rica,2017,0,0,0.0
92,Costa Rica,2018,0,0,0.0
93,Costa Rica,2019,0,0,0.0
94,Costa Rica,2020,0,0,0.004329004329004329
95,Costa Rica,2021,0,0,0.0
96,Costa Rica,2022,0,0,0.008658008658008658
97,Costa Rica,2023,0,0,0.008658008658008658
98,Panama,2017,0,0,0.0
99,Panama,2018,0,0,0.0
100,Panama,2019,0,0,0.0
101,Panama,2020,0,0,0.030303030303030304
102,Panama,2021,0,0,0.0
103,Panama,2022,0,0,0.008658008658008658
104,Panama,2023,0,0,0.012987012987012988
105,Colombia,2017,0,0,0.017316017316017316
106,Colombia,2018,0,0,0.012987012987012988
107,Colombia,2019,0,0,0.021645021645021644
108,Colombia,2020,0,0,0.030303030303030304
109,Colombia,2021,0,0,0.012987012987012988
110,Colombia,2022,0,0,0.025974025974025976
111,Colombia,2023,0,0,0.06060606060606061
112,Venezuela,2017,0,0,0.11688311688311688
113,Venezuela,2018,0,0,0.12554112554112554
114,Venezuela,2019,0,0,0.11688311688311688
115,Venezuela,2020,0,0,0.11255411255411256
116,Venezuela,2021,0,0,0.1341991341991342
117,Venezuela,2022,0,0,0.11255411255411256
118,Venezuela,2023,0,0,0.08225108225108226
119,Guyana,2017,0,0,0.008658008658008658
120,Guyana,2018,0,0,0.008658008658008658
121,Guyana,2019,0,0,0.008658008658008658
122,Guyana,2020,0,0,0.017316017316017316
123,Guyana,2021,0,0,0.030303030303030304
124,Guyana,2022,0,0,0.06493506493506493
125,Guyana,2023,0,0,0.047619047619047616
126,Suriname,2017,0,0,0.047619047619047616
127,Suriname,2018,0,0,0.047619047619047616
128,Suriname,2019,0,0,0.05194805194805195
129,Suriname,2020,0,0,0.07792207792207792
130,Suriname,2021,0,0,0.030303030303030304
131,Suriname,2022,0,0,0.06060606060606061
132,Suriname,2023,0,0,0.05194805194805195
133,Ecuador,2017,0,0,0.017316017316017316
134,Ecuador,2018,0,0,0.017316017316017316
135,Ecuador,2019,0,0,0.017316017316017316
136,Ecuador,2020,0,0,0.017316017316017316
137,Ecuador,2021,0,0,0.03896103896103896
138,Ecuador,2022,0,0,0.03463203463203463
139,Ecuador,2023,0,0,0.06060606060606061
140,Peru,2017,0,0,0.0
141,Peru,2018,0,0,0.0
142,Peru,2019,0,0,0.0
143,Peru,2020,0,0,0.017316017316017316
144,Peru,2021,0,0,0.012987012987012988
145,Peru,2022,0,0,0.012987012987012988
146,Peru,2023,0,0,0.03896103896103896
147,Brazil,2017,0,0,0.030303030303030304
148,Brazil,2018,0,0,0.03463203463203463
149,Brazil,2019,0,0,0.03896103896103896
150,Brazil,2020,0,0,0.04329004329004329
151,Brazil,2021,0,0,0.05194805194805195
152,Brazil,2022,0,0,0.05194805194805195
153,Brazil,2023,0,0,0.08225108225108226
154,Bolivia,2017,0,0,0.017316017316017316
155,Bolivia,2018,0,0,0.03463203463203463
156,Bolivia,2019,0,0,0.04329004329004329
157,Bolivia,2020,0,0,0.06926406926406926
158,Bolivia,2021,0,0,0.06493506493506493
159,Bolivia,2022,0,0,0.06493506493506493
160,Bolivia,2023,0,0,0.09956709956709957
161,Paraguay,2017,0,0,0.008658008658008658
162,Paraguay,2018,0,0,0.004329004329004329
163,Paraguay,2019,0,0,0.008658008658008658
164,Paraguay,2020,0,0,0.008658008658008658
165,Paraguay,2021,0,0,0.012987012987012988
166,Paraguay,2022,0,0,0.021645021645021644
167,Paraguay,2023,0,0,0.021645021645021644
168,Chile,2017,0,0,0.0
169,Chile,2018,0,0,0.008658008658008658
170,Chile,2019,0,0,0.008658008658008658
171,Chile,2020,0,0,0.012987012987012988
172,Chile,2021,0,0,0.0
173,Chile,2022,0,0,0.025974025974025976
174,Chile,2023,0,0,0.05627705627705628
175,Argentina,2017,0,0,0.004329004329004329
176,Argentina,2018,0,0,0.0
177,Argentina,2019,0,0,0.0
178,Argentina,2020,0,0,0.05194805194805195
179,Argentina,2021,0,0,0.025974025974025976
180,Argentina,2022,0,0,0.025974025974025976
181,Argentina,2023,0,0,0.047619047619047616
182,Uruguay,2017,0,0,0.047619047619047616
183,Uruguay,2018,0,0,0.05194805194805195
184,Uruguay,2019,0,0,0.06493506493506493
185,Uruguay,2020,0,0,0.06493506493506493
186,Uruguay,2021,0,0,0.08658008658008658
187,Uruguay,2022,0,0,0.06926406926406926
188,Uruguay,2023,0,0,0.08658008658008658
189,United Kingdom,2017,0,0,0.0
190,United Kingdom,2018,0,0,0.0
191,United Kingdom,2019,0,0,0.03463203463203463
192,United Kingdom,2020,0,0,0.047619047619047616
193,United Kingdom,2021,0,0,0.047619047619047616
194,United Kingdom,2022,0,0,0.047619047619047616
195,United Kingdom,2023,0,0,0.03896103896103896
196,Ireland,2017,0,0,0.012987012987012988
197,Ireland,2018,0,0,0.008658008658008658
198,Ireland,2019,0,0,0.008658008658008658
199,Ireland,2020,0,0,0.004329004329004329
200,Ireland,2021,0,0,0.004329004329004329
201,Ireland,2022,0,0,0.030303030303030304
202,Ireland,2023,0,0,0.030303030303030304
203,Netherlands,2017,0,0,0.0
204,Netherlands,2018,0,0,0.004329004329004329
205,Netherlands,2019,0,0,0.008658008658008658
206,Netherlands,2020,0,0,0.0
207,Netherlands,2021,0,0,0.004329004329004329
208,Netherlands,2022,0,0,0.030303030303030304
209,Netherlands,2023,0,0,0.021645021645021644
210,Belgium,2017,0,0,0.0
211,Belgium,2018,0,0,0.0
212,Belgium,2019,0,0,0.0
213,Belgium,2020,0,0,0.0
214,Belgium,2021,0,0,0.004329004329004329
215,Belgium,2022,0,0,0.03463203463203463
216,Belgium,2023,0,0,0.025974025974025976
217,Luxembourg,2017,0,0,0.008658008658008658
218,Luxembourg,2018,0,0,0.008658008658008658
219,Luxembourg,2019,0,0,0.008658008658008658
220,Luxembourg,2020,0,0,0.004329004329004329
221,Luxembourg,2021,0,0,0.017316017316017316
222,Luxembourg,2022,0,0,0.030303030303030304
223,Luxembourg,2023,0,0,0.030303030303030304
224,France,2017,0,0,0.0
225,France,2018,0,0,0.0
226,France,2019,0,0,0.0
227,France,2020,0,0,0.012987012987012988
228,France,2021,0,0,0.0
229,France,2022,0,0,0.008658008658008658
230,France,2023,0,0,0.008658008658008658
231,Switzerland,2017,0,0,0.0
232,Switzerland,2018,0,0,0.0
233,Switzerland,2019,0,0,0.0
234,Switzerland,2020,0,0,0.0
235,Switzerland,2021,0,0,0.004329004329004329
236,Switzerland,2022,0,0,0.008658008658008658
237,Switzerland,2023,0,0,0.012987012987012988
238,Spain,2017,0,0,0.0
239,Spain,2018,0,0,0.0
240,Spain,2019,0,0,0.0
241,Spain,2020,0,0,0.004329004329004329
242,Spain,2021,0,0,0.008658008658008658
243,Spain,2022,0,0,0.021645021645021644
244,Spain,2023,0,0,0.03896103896103896
245,Portugal,2017,0,0,0.0
246,Portugal,2018,0,0,0.0
247,Portugal,2019,0,0,0.0
248,Portugal,2020,0,0,0.0
249,Portugal,2021,0,0,0.0
250,Portugal,2022,0,0,0.008658008658008658
251,Portugal,2023,0,0,0.017316017316017316
252,Germany,2017,0,0,0.004329004329004329
253,Germany,2018,0,0,0.004329004329004329
254,Germany,2019,0,0,0.0
255,Germany,2020,0,0,0.0
256,Germany,2021,0,0,0.004329004329004329
257,Germany,2022,0,0,0.012987012987012988
258,Germany,2023,0,0,0.017316017316017316
259,Poland,2017,0,0,0.0
260,Poland,2018,0,0,0.0
261,Poland,2019,0,0,0.0
262,Poland,2020,0,0,0.017316017316017316
263,Poland,2021,0,0,0.008658008658008658
264,Poland,2022,0,0,0.030303030303030304
265,Poland,2023,0,0,0.05194805194805195
266,Austria,2017,0,0,0.0
267,Austria,2018,0,0,0.0
268,Austria,2019,0,0,0.0
269,Austria,2020,0,0,0.004329004329004329
270,Austria,2021,0,0,0.004329004329004329
271,Austria,2022,0,0,0.012987012987012988
272,Austria,2023,0,0,0.017316017316017316
273,Hungary,2017,0,0,0.0
274,Hungary,2018,0,0,0.0
275,Hungary,2019,0,0,0.012987012987012988
276,Hungary,2020,0,0,0.004329004329004329
277,Hungary,2021,0,0,0.004329004329004329
278,Hungary,2022,0,0,0.017316017316017316
279,Hungary,2023,0,0,0.03463203463203463
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.0
282,Czechia,2019,0,0,0.0
283,Czechia,2020,0,0,0.004329004329004329
284,Czechia,2021,0,0,0.004329004329004329
285,Czechia,2022,0,0,0.012987012987012988
286,Czechia,2023,0,0,0.025974025974025976
287,Slovakia,2017,0,0,0.0
288,Slovakia,2018,0,0,0.004329004329004329
289,Slovakia,2019,0,0,0.004329004329004329
290,Slovakia,2020,0,0,0.012987012987012988
291,Slovakia,2021,0,0,0.025974025974025976
292,Slovakia,2022,0,0,0.021645021645021644
293,Slovakia,2023,0,0,0.03463203463203463
294,Italy,2017,0,0,0.0
295,Italy,2018,0,0,0.0
296,Italy,2019,0,0,0.0
297,Italy,2020,0,0,0.0
298,Italy,2021,0,0,0.0
299,Italy,2022,0,0,0.008658008658008658
