,country,year,d_riot,preds_proba
0,Afghanistan,2017,0,0.47730711321439045
1,Afghanistan,2018,0,0.4811831649385085
2,Afghanistan,2019,0,0.48137358575337275
3,Afghanistan,2020,0,0.4786170995185395
4,Afghanistan,2021,0,0.5234213726045619
5,Afghanistan,2022,1,0.5192545119428099
6,Afghanistan,2023,1,0.532383496740179
7,Albania,2018,0,0.4550624002410403
8,Albania,2019,1,0.4726926290074172
9,Albania,2020,0,0.4830488132963587
10,Albania,2021,0,0.40265606979357743
11,Albania,2022,0,0.3839116222023589
12,Albania,2023,0,0.3155381006909726
13,Algeria,2017,1,0.9460504680859918
14,Algeria,2018,1,0.8910418507380349
15,Algeria,2019,0,0.8627431768151529
16,Algeria,2020,1,0.7145533786701751
17,Algeria,2021,1,0.8896879187770041
18,Algeria,2022,0,0.8657984726298963
19,Algeria,2023,0,0.6476655639552092
20,Angola,2017,0,0.08297772530374148
21,Angola,2018,0,0.12091000299501839
22,Angola,2019,0,0.12790138271830742
23,Angola,2020,1,0.1235384862104904
24,Angola,2021,1,0.23661903174043972
25,Angola,2022,1,0.24249764557196732
26,Angola,2023,1,0.28535226019152704
27,Argentina,2018,1,0.6712073782029657
28,Argentina,2019,1,0.663459348066714
29,Argentina,2020,1,0.6657334802797733
30,Argentina,2021,1,0.7077692252963739
31,Argentina,2022,1,0.6998932121908291
32,Argentina,2023,1,0.6926303268836181
33,Armenia,2018,1,0.4584614830451771
34,Armenia,2019,0,0.6274756298378709
35,Armenia,2020,0,0.44768805016509544
36,Armenia,2021,0,0.43035685093443565
37,Armenia,2022,0,0.43279859671057624
38,Armenia,2023,0,0.42080057825746187
39,Australia,2021,1,0.3499498095997836
40,Australia,2022,0,0.5389984572006892
41,Australia,2023,0,0.35949084035254486
42,Austria,2020,0,0.42093823169911193
43,Austria,2021,0,0.43860724877719415
44,Austria,2022,0,0.4370058914007733
45,Austria,2023,0,0.43236486395293316
46,Azerbaijan,2018,0,0.297288892944438
47,Azerbaijan,2019,0,0.3092309963807182
48,Azerbaijan,2020,0,0.3526421145897478
49,Azerbaijan,2021,0,0.39407047165799003
50,Azerbaijan,2022,0,0.3452301116867754
51,Azerbaijan,2023,0,0.3422596831025388
52,Bahrain,2017,1,0.6496828067539149
53,Bahrain,2018,1,0.6522789584166488
54,Bahrain,2019,1,0.7081335023230435
55,Bahrain,2020,1,0.7109271687606806
56,Bahrain,2021,1,0.7070246798321922
57,Bahrain,2022,0,0.6909961749128629
58,Bahrain,2023,1,0.5493771739586885
59,Bangladesh,2017,1,0.7719670564816901
60,Bangladesh,2018,1,0.776387128547945
61,Bangladesh,2019,1,0.8173327782828306
62,Bangladesh,2020,1,0.7919947429658756
63,Bangladesh,2021,1,0.7973279467578086
64,Bangladesh,2022,1,0.7766309568064036
65,Bangladesh,2023,1,0.7484562724781707
66,Barbados,2018,0,0.4702992877098088
67,Barbados,2019,0,0.46861783636940396
68,Barbados,2020,0,0.46405253299912336
69,Barbados,2021,0,0.4733821249045873
70,Barbados,2022,0,0.4541893058763203
71,Barbados,2023,0,0.4506930268027386
72,Belarus,2018,0,0.223383946452548
73,Belarus,2019,0,0.22345343229052947
74,Belarus,2020,0,0.22182225139495632
75,Belarus,2021,0,0.22121486344659783
76,Belarus,2022,0,0.2587740329099731
77,Belarus,2023,0,0.2559286382523208
78,Belgium,2020,0,0.584147018951295
79,Belgium,2021,0,0.5965780428505384
80,Belgium,2022,0,0.5971854307988967
81,Belgium,2023,0,0.5905477151246081
82,Benin,2017,0,0.0507213437727896
83,Benin,2018,0,0.0749700581925144
84,Benin,2019,1,0.06587064697637737
85,Benin,2020,1,0.3235981189329909
86,Benin,2021,1,0.314619065034802
87,Benin,2022,1,0.29465161405492457
88,Benin,2023,1,0.26928224496647607
89,Bhutan,2020,0,0.2679474788102596
90,Bhutan,2021,0,0.26789707475261504
