,country,year,d_terror,preds_proba
0,United States of America,2017,1,0.8337579413262629
1,United States of America,2018,1,0.7696402472986992
2,United States of America,2019,1,0.7527628559951661
3,United States of America,2020,1,0.722324115686586
4,Canada,2017,1,0.44241519602183355
5,Canada,2018,1,0.46616807149721
6,Canada,2019,0,0.46160252843778277
7,Canada,2020,1,0.3645041096820428
8,Cuba,2017,0,0.04627320770643083
9,Cuba,2018,0,0.05575040620127957
10,Cuba,2019,0,0.06622034338548591
11,Cuba,2020,0,0.07896059422229866
12,Haiti,2017,0,0.39489302447006025
13,Haiti,2018,0,0.3283538648142275
14,Haiti,2019,1,0.32955857228628543
15,Haiti,2020,0,0.42234152788099216
16,Dominican Republic,2017,0,0.12416045255501654
17,Dominican Republic,2018,0,0.13759938811074934
18,Dominican Republic,2019,0,0.1617175631898093
19,Dominican Republic,2020,0,0.18484806162636527
20,Jamaica,2017,0,0.02720579351950448
21,Jamaica,2018,0,0.04231734820208402
22,Jamaica,2019,0,0.04985059101627774
23,Jamaica,2020,0,0.042634048138186616
24,Trinidad and Tobago,2017,0,0.033046015571470355
25,Trinidad and Tobago,2018,0,0.029047889056239895
26,Trinidad and Tobago,2019,0,0.0438138268575562
27,Trinidad and Tobago,2020,0,0.031594555241728633
28,Barbados,2017,0,0.02343785958778549
29,Barbados,2018,0,0.024444268404275743
30,Barbados,2019,0,0.03562654295122583
31,Barbados,2020,0,0.039887283385257294
32,Mexico,2017,1,0.7762929148481665
33,Mexico,2018,1,0.6680129124293871
34,Mexico,2019,1,0.6931277363317057
35,Mexico,2020,1,0.6936802461659267
36,Guatemala,2017,0,0.2534604031691421
37,Guatemala,2018,0,0.26232134136475344
38,Guatemala,2019,0,0.2726326053110597
39,Guatemala,2020,1,0.28373599944669825
40,Honduras,2017,1,0.505938057570915
41,Honduras,2018,0,0.48094509885711656
42,Honduras,2019,1,0.47683446676412833
43,Honduras,2020,1,0.4882360083167193
44,El Salvador,2017,0,0.08067800858008514
45,El Salvador,2018,0,0.10136596183161388
46,El Salvador,2019,0,0.11067282370974292
47,El Salvador,2020,0,0.13725058189557282
48,Nicaragua,2017,0,0.22039091946302994
49,Nicaragua,2018,1,0.2914430947577254
50,Nicaragua,2019,0,0.3704732353221176
51,Nicaragua,2020,1,0.2992440204775777
52,Costa Rica,2017,0,0.06638132737762018
53,Costa Rica,2018,0,0.09371796721878113
54,Costa Rica,2019,0,0.0947349780290128
55,Costa Rica,2020,0,0.08051824927638017
56,Panama,2017,0,0.07281809428344271
57,Panama,2018,0,0.09854537630931282
58,Panama,2019,0,0.11211936165259762
59,Panama,2020,0,0.1521185826251192
60,Colombia,2017,1,0.8666681206409319
61,Colombia,2018,1,0.8514261128460626
62,Colombia,2019,1,0.8492352631044242
63,Colombia,2020,1,0.8475618095009441
64,Venezuela,2017,1,0.5051014659004956
65,Venezuela,2018,1,0.5031734261897802
66,Venezuela,2019,1,0.5649285376233824
67,Venezuela,2020,1,0.5886788201696251
68,Guyana,2017,0,0.06817532277721564
69,Guyana,2018,0,0.08620581545743047
70,Guyana,2019,0,0.09368618631417142
71,Guyana,2020,0,0.0930374560583928
72,Suriname,2017,0,0.04325565436916107
73,Suriname,2018,0,0.03892882721861331
74,Suriname,2019,0,0.07403678686635964
75,Suriname,2020,0,0.05636465299244566
76,Ecuador,2017,0,0.41888091474332084
77,Ecuador,2018,1,0.3561692523892453
78,Ecuador,2019,1,0.4418795961770989
79,Ecuador,2020,0,0.4228384585929102
80,Peru,2017,1,0.7619258570154264
81,Peru,2018,1,0.7925524967507172
82,Peru,2019,0,0.7724689607539303
83,Peru,2020,0,0.6668151901204432
84,Brazil,2017,0,0.6580404328162573
85,Brazil,2018,1,0.5518781164862846
86,Brazil,2019,1,0.6085691605433474
87,Brazil,2020,1,0.5960035073494425
88,Bolivia,2017,0,0.07352270051132065
89,Bolivia,2018,1,0.0812371484299151
90,Bolivia,2019,0,0.3181319364752665
91,Bolivia,2020,0,0.24221466211989856
92,Paraguay,2017,1,0.7090729183726225
93,Paraguay,2018,1,0.6468818894856436
94,Paraguay,2019,0,0.6778834372543965
95,Paraguay,2020,0,0.585870716857246
96,Chile,2017,0,0.5553761789343357
97,Chile,2018,0,0.43024305203519514
98,Chile,2019,0,0.41260771933565576
99,Chile,2020,1,0.40491778379123855
100,Argentina,2017,0,0.07751760841546368
101,Argentina,2018,0,0.08733341552620644
102,Argentina,2019,0,0.10138421098575322
103,Argentina,2020,0,0.10374809307920943
104,Uruguay,2017,0,0.2932581259835862
105,Uruguay,2018,0,0.3035927111257059
106,Uruguay,2019,0,0.20888328069507844
107,Uruguay,2020,0,0.19437582764908568
108,United Kingdom,2017,1,0.8232945465717808
109,United Kingdom,2018,1,0.7871205506026488
110,United Kingdom,2019,1,0.7679361941677899
111,United Kingdom,2020,1,0.702563424248351
112,Ireland,2017,0,0.35598230229647926
113,Ireland,2018,0,0.215932869946733
114,Ireland,2019,0,0.2318692539681594
115,Ireland,2020,0,0.22153285736579245
116,Netherlands,2017,0,0.10406040374243325
117,Netherlands,2018,1,0.1317927987179956
118,Netherlands,2019,1,0.28926164779163505
119,Netherlands,2020,0,0.29538681179242204
120,Belgium,2017,1,0.4468725947739432
121,Belgium,2018,1,0.4218638702226158
122,Belgium,2019,0,0.4235709393764025
123,Belgium,2020,0,0.32954811459221445
124,Luxembourg,2017,0,0.0368488008134965
125,Luxembourg,2018,0,0.03736904185592324
126,Luxembourg,2019,0,0.045681250708378876
127,Luxembourg,2020,0,0.061620523306012566
128,France,2017,1,0.6972099861076974
129,France,2018,1,0.6783314098319594
130,France,2019,1,0.6209753317895264
131,France,2020,1,0.591880301892591
132,Switzerland,2017,0,0.04679451989328248
133,Switzerland,2018,0,0.05407347227079152
134,Switzerland,2019,0,0.07697002370545918
135,Switzerland,2020,1,0.09660044714046274
136,Spain,2017,1,0.14605918391826975
137,Spain,2018,0,0.3024111604930456
138,Spain,2019,0,0.24750418064376356
139,Spain,2020,0,0.22442860506071924
140,Portugal,2017,0,0.11734461901214442
141,Portugal,2018,0,0.09302204772245673
142,Portugal,2019,0,0.13618794941938842
143,Portugal,2020,0,0.16342552776603644
144,Germany,2017,1,0.6354169024210985
145,Germany,2018,0,0.6033355414883643
146,Germany,2019,1,0.5308221724318283
147,Germany,2020,1,0.558606194093198
148,Poland,2017,0,0.11962715864806077
149,Poland,2018,0,0.13882236428324013
150,Poland,2019,0,0.14044915138202144
151,Poland,2020,0,0.15582853932171326
152,Austria,2017,1,0.12720545402411884
153,Austria,2018,1,0.25031715608184857
154,Austria,2019,0,0.17443678590267686
155,Austria,2020,1,0.16240268955530046
156,Hungary,2017,0,0.07175092269104102
157,Hungary,2018,0,0.08626115186213026
158,Hungary,2019,0,0.10540045261133751
159,Hungary,2020,0,0.0965892294109937
160,Czechia,2017,0,0.19865037989591286
161,Czechia,2018,0,0.2291301599295864
162,Czechia,2019,0,0.20493949367847314
163,Czechia,2020,0,0.1914158322723405
164,Slovakia,2017,0,0.03614514044131928
165,Slovakia,2018,0,0.05663598537827414
166,Slovakia,2019,0,0.07225755152612437
167,Slovakia,2020,0,0.08755834176173047
168,Italy,2017,0,0.44392994721716417
169,Italy,2018,0,0.3552711247510404
170,Italy,2019,0,0.29596514517449535
171,Italy,2020,0,0.3047899063625052
