,country,year,d_civil_conflict,preds,preds_proba
0,United States of America,2017,0,0,0.0
1,United States of America,2018,0,0,0.0
2,United States of America,2019,0,0,0.02
3,United States of America,2020,0,0,0.02
4,United States of America,2021,0,0,0.0
5,United States of America,2022,0,0,0.19166666666666668
6,United States of America,2023,0,0,0.3345238095238095
7,Canada,2017,0,0,0.0
8,Canada,2018,0,0,0.0
9,Canada,2019,0,0,0.0
10,Canada,2020,0,0,0.0
11,Canada,2021,0,0,0.0
12,Canada,2022,0,0,0.33999999999999997
13,Canada,2023,0,0,0.44000000000000006
14,Cuba,2017,0,0,0.0
15,Cuba,2018,0,0,0.0
16,Cuba,2019,0,0,0.1
17,Cuba,2020,0,0,0.1
18,Cuba,2021,0,0,0.0
19,Cuba,2022,0,0,0.04
20,Cuba,2023,0,0,0.04
21,Haiti,2017,0,0,0.1
22,Haiti,2018,0,0,0.1
23,Haiti,2019,0,0,0.1
24,Haiti,2020,0,0,0.1
25,Haiti,2021,0,0,0.1
26,Haiti,2022,0,0,0.3628571428571429
27,Haiti,2023,0,0,0.37384615384615383
28,Dominican Republic,2017,0,0,0.007692307692307693
29,Dominican Republic,2018,0,0,0.007692307692307693
30,Dominican Republic,2019,0,0,0.007692307692307693
31,Dominican Republic,2020,0,0,0.007692307692307693
32,Dominican Republic,2021,0,0,0.007692307692307693
33,Dominican Republic,2022,0,0,0.1
34,Dominican Republic,2023,0,0,0.15396825396825398
35,Jamaica,2017,0,0,0.01818181818181818
36,Jamaica,2018,0,0,0.01818181818181818
37,Jamaica,2019,0,0,0.07532467532467532
38,Jamaica,2020,0,0,0.07532467532467532
39,Jamaica,2021,0,0,0.07532467532467532
40,Jamaica,2022,0,0,0.08484848484848484
41,Jamaica,2023,0,0,0.18484848484848487
42,Trinidad and Tobago,2017,0,0,0.0
43,Trinidad and Tobago,2018,0,0,0.0
44,Trinidad and Tobago,2019,0,0,0.0
45,Trinidad and Tobago,2020,0,0,0.0
46,Trinidad and Tobago,2021,0,0,0.0
47,Trinidad and Tobago,2022,0,0,0.13428571428571429
48,Trinidad and Tobago,2023,0,0,0.22428571428571428
49,Barbados,2017,0,0,0.0375
50,Barbados,2018,0,0,0.09230769230769231
51,Barbados,2019,0,0,0.09230769230769231
52,Barbados,2020,0,0,0.0375
53,Barbados,2021,0,0,0.09230769230769231
54,Barbados,2022,0,0,0.02
55,Barbados,2023,0,0,0.12
56,Mexico,2017,0,0,0.11612903225806452
57,Mexico,2018,0,0,0.11612903225806452
58,Mexico,2019,0,0,0.11612903225806452
59,Mexico,2020,0,0,0.11612903225806452
60,Mexico,2021,0,0,0.11612903225806452
61,Mexico,2022,0,0,0.28279569892473116
62,Mexico,2023,0,0,0.425652841781874
63,Guatemala,2017,0,0,0.0
64,Guatemala,2018,0,0,0.0
65,Guatemala,2019,0,0,0.03333333333333333
66,Guatemala,2020,0,0,0.03333333333333333
67,Guatemala,2021,0,0,0.0
68,Guatemala,2022,0,0,0.185
69,Guatemala,2023,0,0,0.16785714285714287
70,Honduras,2017,0,0,0.0
71,Honduras,2018,0,0,0.0
72,Honduras,2019,0,0,0.0
73,Honduras,2020,0,0,0.0
74,Honduras,2021,0,0,0.0
75,Honduras,2022,0,0,0.01
76,Honduras,2023,0,0,0.24285714285714283
77,El Salvador,2017,0,0,0.0
78,El Salvador,2018,0,0,0.0
79,El Salvador,2019,0,0,0.0
80,El Salvador,2020,0,0,0.0
81,El Salvador,2021,0,0,0.0
82,El Salvador,2022,0,0,0.22300061050061046
83,El Salvador,2023,0,0,0.2658577533577533
84,Nicaragua,2017,0,0,0.0
85,Nicaragua,2018,0,0,0.0
86,Nicaragua,2019,0,0,0.0
87,Nicaragua,2020,0,0,0.0
88,Nicaragua,2021,0,0,0.0
89,Nicaragua,2022,0,0,0.06105263157894737
90,Nicaragua,2023,0,0,0.21502088554720133
91,Costa Rica,2017,0,0,0.0
92,Costa Rica,2018,0,0,0.0
93,Costa Rica,2019,0,0,0.0
94,Costa Rica,2020,0,0,0.0
95,Costa Rica,2021,0,0,0.0
96,Costa Rica,2022,0,0,0.0
97,Costa Rica,2023,0,0,0.24285714285714283
98,Panama,2017,0,0,0.0
99,Panama,2018,0,0,0.05454545454545454
100,Panama,2019,0,0,0.0
101,Panama,2020,0,0,0.0
102,Panama,2021,0,0,0.047619047619047616
103,Panama,2022,0,0,0.014285714285714285
104,Panama,2023,0,0,0.22884615384615384
105,Colombia,2017,0,1,0.9800000000000001
106,Colombia,2018,1,1,0.9800000000000001
107,Colombia,2019,1,1,0.9800000000000001
108,Colombia,2020,1,1,0.9800000000000001
109,Colombia,2021,1,1,0.9800000000000001
110,Colombia,2022,1,1,0.9800000000000001
111,Colombia,2023,1,1,0.9800000000000001
112,Venezuela,2017,0,0,0.025
113,Venezuela,2018,0,0,0.025
114,Venezuela,2019,0,0,0.05833333333333333
115,Venezuela,2020,0,0,0.08833333333333333
116,Venezuela,2021,0,0,0.08833333333333333
117,Venezuela,2022,0,0,0.20105263157894737
118,Venezuela,2023,0,0,0.30105263157894735
119,Guyana,2017,0,0,0.0
120,Guyana,2018,0,0,0.0
121,Guyana,2019,0,0,0.0
122,Guyana,2020,0,0,0.0
123,Guyana,2021,0,0,0.0
124,Guyana,2022,0,0,0.12105263157894737
125,Guyana,2023,0,0,0.2672064777327935
126,Suriname,2017,0,0,0.0
127,Suriname,2018,0,0,0.0
128,Suriname,2019,0,0,0.0
129,Suriname,2020,0,0,0.0
130,Suriname,2021,0,0,0.0
131,Suriname,2022,0,0,0.12105263157894737
132,Suriname,2023,0,0,0.2672064777327935
133,Ecuador,2017,0,0,0.0
134,Ecuador,2018,0,0,0.0
135,Ecuador,2019,0,0,0.0
136,Ecuador,2020,0,0,0.0
137,Ecuador,2021,0,0,0.0
138,Ecuador,2022,0,0,0.0
139,Ecuador,2023,0,0,0.1
140,Peru,2017,0,0,0.0484375
141,Peru,2018,0,0,0.0484375
142,Peru,2019,0,0,0.09288194444444445
143,Peru,2020,0,0,0.1484375
144,Peru,2021,0,0,0.0484375
145,Peru,2022,0,0,0.27571022727272726
146,Peru,2023,0,0,0.37571022727272724
147,Brazil,2017,0,0,0.0
148,Brazil,2018,0,0,0.010526315789473684
149,Brazil,2019,0,0,0.010526315789473684
150,Brazil,2020,0,0,0.010526315789473684
151,Brazil,2021,0,0,0.010526315789473684
152,Brazil,2022,0,0,0.11666666666666667
153,Brazil,2023,0,0,0.29166666666666663
154,Bolivia,2017,0,0,0.0
155,Bolivia,2018,0,0,0.0
156,Bolivia,2019,0,0,0.0
157,Bolivia,2020,0,0,0.0
158,Bolivia,2021,0,0,0.0
159,Bolivia,2022,0,0,0.15
160,Bolivia,2023,0,0,0.4217032967032967
161,Paraguay,2017,0,0,0.0
162,Paraguay,2018,0,0,0.0
163,Paraguay,2019,0,0,0.0
164,Paraguay,2020,0,0,0.0
165,Paraguay,2021,0,0,0.0
166,Paraguay,2022,0,0,0.16105263157894736
167,Paraguay,2023,0,0,0.27216374269005844
168,Chile,2017,0,0,0.04444444444444444
169,Chile,2018,0,0,0.04444444444444444
170,Chile,2019,0,0,0.04444444444444444
171,Chile,2020,0,0,0.04444444444444444
172,Chile,2021,0,0,0.04444444444444444
173,Chile,2022,0,0,0.18333333333333335
174,Chile,2023,0,0,0.2833333333333333
175,Argentina,2017,0,0,0.0
176,Argentina,2018,0,0,0.0
177,Argentina,2019,0,0,0.0
178,Argentina,2020,0,0,0.0
179,Argentina,2021,0,0,0.0
180,Argentina,2022,0,0,0.20666666666666664
181,Argentina,2023,0,0,0.34952380952380946
182,Uruguay,2017,0,0,0.0
183,Uruguay,2018,0,0,0.0
184,Uruguay,2019,0,0,0.0
185,Uruguay,2020,0,0,0.0
186,Uruguay,2021,0,0,0.0
187,Uruguay,2022,0,0,0.22857142857142856
188,Uruguay,2023,0,0,0.32857142857142857
189,United Kingdom,2017,0,0,0.08888888888888888
190,United Kingdom,2018,0,0,0.11555555555555555
191,United Kingdom,2019,0,0,0.08888888888888888
192,United Kingdom,2020,0,0,0.02222222222222222
193,United Kingdom,2021,0,0,0.02222222222222222
194,United Kingdom,2022,0,0,0.15176691729323308
195,United Kingdom,2023,0,0,0.15176691729323308
196,Ireland,2017,0,0,0.0
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0
199,Ireland,2020,0,0,0.0
200,Ireland,2021,0,0,0.0
201,Ireland,2022,0,0,0.20571428571428568
202,Ireland,2023,0,0,0.3057142857142857
203,Netherlands,2017,0,0,0.0
204,Netherlands,2018,0,0,0.0
205,Netherlands,2019,0,0,0.0
206,Netherlands,2020,0,0,0.0
207,Netherlands,2021,0,0,0.0
208,Netherlands,2022,0,0,0.06605263157894736
209,Netherlands,2023,0,0,0.06605263157894736
210,Belgium,2017,0,0,0.0
211,Belgium,2018,0,0,0.0
212,Belgium,2019,0,0,0.0
213,Belgium,2020,0,0,0.0
214,Belgium,2021,0,0,0.0
215,Belgium,2022,0,0,0.08605263157894737
216,Belgium,2023,0,0,0.08605263157894737
217,Luxembourg,2017,0,0,0.0
218,Luxembourg,2018,0,0,0.0
219,Luxembourg,2019,0,0,0.0
220,Luxembourg,2020,0,0,0.0
221,Luxembourg,2021,0,0,0.0
222,Luxembourg,2022,0,0,0.14605263157894738
223,Luxembourg,2023,0,0,0.14605263157894738
224,France,2017,0,0,0.0
225,France,2018,0,0,0.0
226,France,2019,0,0,0.0
227,France,2020,0,0,0.0
228,France,2021,0,0,0.0
229,France,2022,0,0,0.065
230,France,2023,0,0,0.065
231,Switzerland,2017,0,0,0.0
232,Switzerland,2018,0,0,0.0
233,Switzerland,2019,0,0,0.0
234,Switzerland,2020,0,0,0.0
235,Switzerland,2021,0,0,0.0
236,Switzerland,2022,0,0,0.04
237,Switzerland,2023,0,0,0.13999999999999999
238,Spain,2017,0,0,0.0
239,Spain,2018,0,0,0.0
240,Spain,2019,0,0,0.0
241,Spain,2020,0,0,0.0
242,Spain,2021,0,0,0.0
243,Spain,2022,0,0,0.1125
244,Spain,2023,0,0,0.05535714285714286
245,Portugal,2017,0,0,0.0
246,Portugal,2018,0,0,0.0
247,Portugal,2019,0,0,0.0
248,Portugal,2020,0,0,0.0
249,Portugal,2021,0,0,0.0
250,Portugal,2022,0,0,0.04
251,Portugal,2023,0,0,0.13999999999999999
252,Germany,2017,0,0,0.05714285714285714
253,Germany,2018,0,0,0.05714285714285714
254,Germany,2019,0,0,0.05714285714285714
255,Germany,2020,0,0,0.05714285714285714
256,Germany,2021,0,0,0.09047619047619046
257,Germany,2022,0,0,0.11499999999999999
258,Germany,2023,0,0,0.16896825396825396
259,Poland,2017,0,0,0.03333333333333333
260,Poland,2018,0,0,0.0
261,Poland,2019,0,0,0.0
262,Poland,2020,0,0,0.0
263,Poland,2021,0,0,0.03333333333333333
264,Poland,2022,0,0,0.11105263157894738
265,Poland,2023,0,0,0.21502088554720133
266,Austria,2017,0,0,0.0005025125628140704
267,Austria,2018,0,0,0.0005025125628140704
268,Austria,2019,0,0,0.0005025125628140704
269,Austria,2020,0,0,0.0005025125628140704
270,Austria,2021,0,0,0.0005025125628140704
271,Austria,2022,0,0,0.06300251256281407
272,Austria,2023,0,0,0.2058596554199569
273,Hungary,2017,0,0,0.0
274,Hungary,2018,0,0,0.0
275,Hungary,2019,0,0,0.0
276,Hungary,2020,0,0,0.0
277,Hungary,2021,0,0,0.0
278,Hungary,2022,0,0,0.025
279,Hungary,2023,0,0,0.07896825396825397
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.0
282,Czechia,2019,0,0,0.0
283,Czechia,2020,0,0,0.0
284,Czechia,2021,0,0,0.0
285,Czechia,2022,0,0,0.15833333333333333
286,Czechia,2023,0,0,0.26230158730158726
287,Slovakia,2017,0,0,0.0005025125628140704
288,Slovakia,2018,0,0,0.0005025125628140704
289,Slovakia,2019,0,0,0.0005025125628140704
290,Slovakia,2020,0,0,0.0005025125628140704
291,Slovakia,2021,0,0,0.0005025125628140704
292,Slovakia,2022,0,0,0.08443108399138549
293,Slovakia,2023,0,0,0.1741136236739252
294,Italy,2017,0,0,0.0
295,Italy,2018,0,0,0.0
296,Italy,2019,0,0,0.0
297,Italy,2020,0,0,0.0
298,Italy,2021,0,0,0.0
299,Italy,2022,0,0,0.0
300,Italy,2023,0,0,0.0
301,Malta,2017,0,0,0.0
302,Malta,2018,0,0,0.0
303,Malta,2019,0,0,0.0
304,Malta,2020,0,0,0.0
305,Malta,2021,0,0,0.0625
306,Malta,2022,0,0,0.18666666666666668
307,Malta,2023,0,0,0.18666666666666668
308,Albania,2017,0,0,0.020737327188940093
309,Albania,2018,0,0,0.07073732718894007
310,Albania,2019,0,0,0.020737327188940093
311,Albania,2020,0,0,0.020737327188940093
312,Albania,2021,0,0,0.020737327188940093
313,Albania,2022,0,0,0.12916666666666665
314,Albania,2023,0,0,0.17202380952380952
315,Serbia,2017,0,0,0.0375
316,Serbia,2018,0,0,0.0375
317,Serbia,2019,0,0,0.0375
318,Serbia,2020,0,0,0.0
319,Serbia,2021,0,0,0.0
320,Serbia,2022,0,0,0.2988095238095238
321,Serbia,2023,0,0,0.2721153846153846
