,country,year,d_ns,preds,preds_proba
0,United States of America,2017,0,0,0.0039009139009139005
1,United States of America,2018,0,0,0.0039009139009139005
2,United States of America,2019,1,0,0.0039009139009139005
3,United States of America,2020,0,0,0.0039009139009139005
4,United States of America,2021,0,0,0.0039009139009139005
5,United States of America,2022,1,0,0.1039009139009139
6,United States of America,2023,0,1,0.6799999999999999
7,Canada,2017,0,0,0.0
8,Canada,2018,0,0,0.1
9,Canada,2019,0,0,0.0
10,Canada,2020,0,0,0.17628205128205127
11,Canada,2021,0,0,0.3290709290709291
12,Canada,2022,0,0,0.4290709290709291
13,Canada,2023,0,1,0.6415384615384616
14,Cuba,2017,0,0,0.06511270712989234
15,Cuba,2018,0,0,0.06511270712989234
16,Cuba,2019,0,0,0.06860107922291561
17,Cuba,2020,0,0,0.06860107922291561
18,Cuba,2021,0,0,0.13177937379655902
19,Cuba,2022,0,0,0.13177937379655902
20,Cuba,2023,0,0,0.13177937379655902
21,Haiti,2017,0,0,0.037784008028187495
22,Haiti,2018,0,0,0.037784008028187495
23,Haiti,2019,0,0,0.037784008028187495
24,Haiti,2020,0,0,0.10445067469485417
25,Haiti,2021,1,0,0.10430199791816668
26,Haiti,2022,1,0,0.10430199791816668
27,Haiti,2023,1,0,0.10430199791816668
28,Dominican Republic,2017,0,0,0.033157890061471774
29,Dominican Republic,2018,0,0,0.033157890061471774
30,Dominican Republic,2019,0,0,0.033157890061471774
31,Dominican Republic,2020,0,0,0.033157890061471774
32,Dominican Republic,2021,0,0,0.033157890061471774
33,Dominican Republic,2022,0,0,0.033157890061471774
34,Dominican Republic,2023,0,0,0.033157890061471774
35,Jamaica,2017,0,0,0.025698650553301717
36,Jamaica,2018,0,0,0.04736665723275004
37,Jamaica,2019,0,0,0.12299594785059902
38,Jamaica,2020,0,0,0.253030303030303
39,Jamaica,2021,0,0,0.025698650553301717
40,Jamaica,2022,0,0,0.025698650553301717
41,Jamaica,2023,0,0,0.025698650553301717
42,Trinidad and Tobago,2017,0,0,0.002631578947368421
43,Trinidad and Tobago,2018,0,0,0.002631578947368421
44,Trinidad and Tobago,2019,0,0,0.002631578947368421
45,Trinidad and Tobago,2020,0,0,0.002631578947368421
46,Trinidad and Tobago,2021,0,0,0.002631578947368421
47,Trinidad and Tobago,2022,0,0,0.002631578947368421
48,Trinidad and Tobago,2023,0,0,0.002631578947368421
49,Barbados,2017,0,0,0.0
50,Barbados,2018,0,0,0.0
51,Barbados,2019,0,0,0.0
52,Barbados,2020,0,0,0.0
53,Barbados,2021,0,0,0.0
54,Barbados,2022,0,0,0.0
55,Barbados,2023,0,0,0.0
56,Mexico,2017,1,1,0.9333333333333332
57,Mexico,2018,1,1,0.809090909090909
58,Mexico,2019,1,1,0.7424242424242424
59,Mexico,2020,1,1,0.7424242424242424
60,Mexico,2021,1,1,0.809090909090909
61,Mexico,2022,1,1,0.809090909090909
62,Mexico,2023,1,1,0.7557575757575757
63,Guatemala,2017,0,0,0.1401960164767915
64,Guatemala,2018,0,0,0.1401960164767915
65,Guatemala,2019,0,0,0.1401960164767915
66,Guatemala,2020,0,0,0.1401960164767915
67,Guatemala,2021,0,0,0.1401960164767915
68,Guatemala,2022,1,0,0.1401960164767915
69,Guatemala,2023,0,0,0.1401960164767915
70,Honduras,2017,0,1,0.75528205843181
71,Honduras,2018,1,1,0.75528205843181
72,Honduras,2019,1,1,0.75528205843181
73,Honduras,2020,1,1,0.75528205843181
74,Honduras,2021,1,1,0.75528205843181
75,Honduras,2022,1,1,0.75528205843181
76,Honduras,2023,1,1,0.75528205843181
77,El Salvador,2017,0,0,0.018014627800785814
78,El Salvador,2018,0,0,0.018014627800785814
79,El Salvador,2019,0,0,0.018014627800785814
80,El Salvador,2020,0,0,0.018014627800785814
81,El Salvador,2021,0,0,0.018014627800785814
82,El Salvador,2022,0,0,0.018014627800785814
83,El Salvador,2023,0,0,0.018014627800785814
84,Nicaragua,2017,0,0,0.06482062889700238
85,Nicaragua,2018,0,0,0.06482062889700238
86,Nicaragua,2019,0,0,0.06482062889700238
87,Nicaragua,2020,0,0,0.06482062889700238
88,Nicaragua,2021,0,0,0.06482062889700238
89,Nicaragua,2022,0,0,0.06482062889700238
90,Nicaragua,2023,0,0,0.06482062889700238
91,Costa Rica,2017,0,0,0.04971424774056353
92,Costa Rica,2018,0,0,0.08109470618594707
93,Costa Rica,2019,0,0,0.08109470618594707
94,Costa Rica,2020,0,0,0.07216502836686405
95,Costa Rica,2021,0,0,0.08109470618594707
96,Costa Rica,2022,0,0,0.08109470618594707
97,Costa Rica,2023,0,0,0.08109470618594707
98,Panama,2017,0,0,0.044189710274465485
99,Panama,2018,0,0,0.044189710274465485
100,Panama,2019,0,0,0.044189710274465485
101,Panama,2020,0,0,0.044189710274465485
102,Panama,2021,0,0,0.044189710274465485
103,Panama,2022,0,0,0.044189710274465485
104,Panama,2023,0,0,0.044189710274465485
105,Colombia,2017,1,0,0.081993006993007
106,Colombia,2018,1,0,0.15554373163068816
107,Colombia,2019,1,0,0.14645282253977907
108,Colombia,2020,1,0,0.14645282253977907
109,Colombia,2021,1,0,0.14645282253977907
110,Colombia,2022,1,0,0.23491436100131752
111,Colombia,2023,1,0,0.23491436100131752
112,Venezuela,2017,0,0,0.016666666666666666
113,Venezuela,2018,0,0,0.016666666666666666
114,Venezuela,2019,0,0,0.016666666666666666
115,Venezuela,2020,0,0,0.016666666666666666
116,Venezuela,2021,1,0,0.05757575757575758
117,Venezuela,2022,1,0,0.11666666666666667
118,Venezuela,2023,0,0,0.11666666666666667
119,Guyana,2017,0,0,0.021477827882443585
120,Guyana,2018,0,0,0.021477827882443585
121,Guyana,2019,0,0,0.021477827882443585
122,Guyana,2020,0,0,0.021477827882443585
123,Guyana,2021,0,0,0.021477827882443585
124,Guyana,2022,0,0,0.021477827882443585
125,Guyana,2023,0,0,0.021477827882443585
126,Suriname,2017,0,0,0.021477827882443585
127,Suriname,2018,0,0,0.021477827882443585
128,Suriname,2019,0,0,0.021477827882443585
129,Suriname,2020,0,0,0.021477827882443585
130,Suriname,2021,0,0,0.021477827882443585
131,Suriname,2022,0,0,0.021477827882443585
132,Suriname,2023,0,0,0.021477827882443585
133,Ecuador,2017,0,0,0.02734343128194009
134,Ecuador,2018,0,0,0.02734343128194009
135,Ecuador,2019,0,0,0.02734343128194009
136,Ecuador,2020,0,0,0.07734343128194009
137,Ecuador,2021,1,0,0.02734343128194009
138,Ecuador,2022,1,0,0.02734343128194009
139,Ecuador,2023,1,0,0.02734343128194009
140,Peru,2017,0,0,0.02579197642488782
141,Peru,2018,0,0,0.02579197642488782
142,Peru,2019,0,0,0.02579197642488782
143,Peru,2020,0,0,0.011739688843188472
144,Peru,2021,0,0,0.015376052479552108
145,Peru,2022,0,0,0.12579197642488782
146,Peru,2023,0,0,0.49919831223628697
147,Brazil,2017,1,1,0.9781132075471699
148,Brazil,2018,1,1,0.9781132075471699
149,Brazil,2019,1,1,0.9781132075471699
150,Brazil,2020,1,1,0.9781132075471699
151,Brazil,2021,1,1,0.9781132075471699
152,Brazil,2022,1,1,0.8781132075471698
153,Brazil,2023,1,1,0.8781132075471698
154,Bolivia,2017,0,0,0.011739688843188472
155,Bolivia,2018,0,0,0.011739688843188472
156,Bolivia,2019,0,0,0.011739688843188472
157,Bolivia,2020,0,0,0.011739688843188472
158,Bolivia,2021,1,0,0.011739688843188472
159,Bolivia,2022,0,0,0.11173968884318848
160,Bolivia,2023,1,1,0.5851460246545875
161,Paraguay,2017,0,0,0.23409745230865026
162,Paraguay,2018,0,0,0.23409745230865026
163,Paraguay,2019,0,0,0.23409745230865026
164,Paraguay,2020,0,0,0.23409745230865026
165,Paraguay,2021,0,0,0.23409745230865026
166,Paraguay,2022,0,0,0.18409745230865027
167,Paraguay,2023,0,0,0.1986756160803624
168,Chile,2017,0,0,0.02
169,Chile,2018,0,0,0.02
170,Chile,2019,0,0,0.02
171,Chile,2020,0,0,0.02
172,Chile,2021,0,0,0.02
173,Chile,2022,0,0,0.02
174,Chile,2023,0,0,0.32999999999999996
175,Argentina,2017,0,0,0.0002645502645502645
176,Argentina,2018,0,0,0.0002645502645502645
177,Argentina,2019,0,0,0.0002645502645502645
178,Argentina,2020,0,0,0.0002645502645502645
179,Argentina,2021,0,0,0.0002645502645502645
180,Argentina,2022,0,0,0.10026455026455025
181,Argentina,2023,0,1,0.6799999999999999
182,Uruguay,2017,0,0,0.01553764705834505
183,Uruguay,2018,0,0,0.01553764705834505
184,Uruguay,2019,0,0,0.01553764705834505
185,Uruguay,2020,0,0,0.01553764705834505
186,Uruguay,2021,0,0,0.01553764705834505
187,Uruguay,2022,0,0,0.01553764705834505
188,Uruguay,2023,0,0,0.03011581083005721
189,United Kingdom,2017,0,0,0.0
190,United Kingdom,2018,0,0,0.0
191,United Kingdom,2019,0,0,0.0
192,United Kingdom,2020,0,0,0.0
193,United Kingdom,2021,0,0,0.0
194,United Kingdom,2022,0,0,0.0
195,United Kingdom,2023,0,0,0.0
196,Ireland,2017,0,0,0.0
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0
199,Ireland,2020,0,0,0.0
200,Ireland,2021,0,0,0.0
201,Ireland,2022,0,0,0.0
202,Ireland,2023,0,0,0.0
203,Netherlands,2017,0,0,0.0
204,Netherlands,2018,0,0,0.0
205,Netherlands,2019,0,0,0.0
206,Netherlands,2020,0,0,0.0
207,Netherlands,2021,0,0,0.0
208,Netherlands,2022,0,0,0.0
209,Netherlands,2023,0,0,0.0
210,Belgium,2017,0,0,0.0
211,Belgium,2018,0,0,0.0
212,Belgium,2019,0,0,0.0
213,Belgium,2020,0,0,0.0
214,Belgium,2021,0,0,0.0
215,Belgium,2022,0,0,0.0
216,Belgium,2023,0,0,0.0
217,Luxembourg,2017,0,0,0.0
218,Luxembourg,2018,0,0,0.05
219,Luxembourg,2019,0,0,0.0
220,Luxembourg,2020,0,0,0.05
221,Luxembourg,2021,0,0,0.0
