,country,year,d_osv,preds,preds_proba
0,United States of America,2017,1,0,0.0953113553113553
1,United States of America,2018,1,0,0.0953113553113553
2,United States of America,2019,0,0,0.0953113553113553
3,United States of America,2020,0,0,0.0953113553113553
4,United States of America,2021,0,0,0.0953113553113553
5,United States of America,2022,0,0,0.1316208791208791
6,United States of America,2023,0,0,0.11912087912087913
7,Canada,2017,0,0,0.0
8,Canada,2018,0,0,0.0
9,Canada,2019,0,0,0.0
10,Canada,2020,0,0,0.0
11,Canada,2021,0,0,0.0
12,Canada,2022,0,0,0.0
13,Canada,2023,0,0,0.0
14,Cuba,2017,0,0,0.0
15,Cuba,2018,0,0,0.0
16,Cuba,2019,0,0,0.0
17,Cuba,2020,0,0,0.0
18,Cuba,2021,0,0,0.0
19,Cuba,2022,0,0,0.1
20,Cuba,2023,0,0,0.1
21,Haiti,2017,1,0,0.11142857142857143
22,Haiti,2018,1,0,0.11142857142857143
23,Haiti,2019,1,0,0.06547619047619047
24,Haiti,2020,1,0,0.06547619047619047
25,Haiti,2021,1,0,0.06547619047619047
26,Haiti,2022,1,0,0.20595238095238097
27,Haiti,2023,1,0,0.20595238095238097
28,Dominican Republic,2017,0,0,0.007272727272727273
29,Dominican Republic,2018,0,0,0.007272727272727273
30,Dominican Republic,2019,0,0,0.007272727272727273
31,Dominican Republic,2020,0,0,0.007272727272727273
32,Dominican Republic,2021,0,0,0.007272727272727273
33,Dominican Republic,2022,0,0,0.007272727272727273
34,Dominican Republic,2023,0,0,0.02727272727272727
35,Jamaica,2017,0,0,0.0
36,Jamaica,2018,0,0,0.0
37,Jamaica,2019,0,0,0.0
38,Jamaica,2020,0,0,0.0
39,Jamaica,2021,0,0,0.0
40,Jamaica,2022,0,0,0.10666666666666666
41,Jamaica,2023,0,0,0.18166666666666667
42,Trinidad and Tobago,2017,0,0,0.0
43,Trinidad and Tobago,2018,0,0,0.0
44,Trinidad and Tobago,2019,0,0,0.0
45,Trinidad and Tobago,2020,0,0,0.0
46,Trinidad and Tobago,2021,0,0,0.0
47,Trinidad and Tobago,2022,0,0,0.0
48,Trinidad and Tobago,2023,0,0,0.075
49,Barbados,2017,0,0,0.0
50,Barbados,2018,0,0,0.0
51,Barbados,2019,0,0,0.0
52,Barbados,2020,0,0,0.0
53,Barbados,2021,0,0,0.0
54,Barbados,2022,0,0,0.075
55,Barbados,2023,0,0,0.0
56,Mexico,2017,1,1,0.8974001094690749
57,Mexico,2018,1,1,0.9277777777777778
58,Mexico,2019,1,1,0.8277777777777778
59,Mexico,2020,1,1,0.8077777777777777
60,Mexico,2021,1,1,0.8077777777777777
61,Mexico,2022,1,1,0.8123931623931624
62,Mexico,2023,1,1,0.8018668466036886
63,Guatemala,2017,0,0,0.24385836385836387
64,Guatemala,2018,0,0,0.21052503052503052
65,Guatemala,2019,0,0,0.21052503052503052
66,Guatemala,2020,0,0,0.21052503052503052
67,Guatemala,2021,0,0,0.21052503052503052
68,Guatemala,2022,0,0,0.35331002331002337
69,Guatemala,2023,0,0,0.37331002331002333
70,Honduras,2017,0,0,0.0683838383838384
71,Honduras,2018,0,0,0.0683838383838384
72,Honduras,2019,1,0,0.0683838383838384
73,Honduras,2020,0,0,0.0683838383838384
74,Honduras,2021,1,0,0.0683838383838384
75,Honduras,2022,1,0,0.03727272727272728
76,Honduras,2023,1,0,0.13727272727272727
77,El Salvador,2017,0,0,0.0
78,El Salvador,2018,0,0,0.1
79,El Salvador,2019,1,0,0.1
80,El Salvador,2020,0,0,0.1
81,El Salvador,2021,1,0,0.1
82,El Salvador,2022,1,0,0.13523809523809524
83,El Salvador,2023,0,0,0.13523809523809524
