,country,year,d_protest,preds,preds_proba
0,Afghanistan,2017,1,1,0.8295749051833124
1,Afghanistan,2018,1,1,0.8247813948588286
2,Afghanistan,2019,1,1,0.8222108091024021
3,Afghanistan,2020,1,1,0.7868020438263801
4,Afghanistan,2021,1,1,0.8199878845343448
5,Afghanistan,2022,1,1,0.8163111040876528
6,Afghanistan,2023,1,1,0.7923435524652338
7,Albania,2018,1,0,0.4710677412557943
8,Albania,2019,1,0,0.48784502739148744
9,Albania,2020,1,0,0.4271149388959123
10,Albania,2021,1,0,0.46066951116729865
11,Albania,2022,1,0,0.449238832701222
12,Albania,2023,1,0,0.4462889801938474
13,Algeria,2017,1,1,0.8840637730018261
14,Algeria,2018,1,1,0.8743872032588846
15,Algeria,2019,1,1,0.843673619890434
16,Algeria,2020,1,1,0.843046776232617
17,Algeria,2021,1,1,0.8316160977665403
18,Algeria,2022,1,1,0.798156342182891
19,Algeria,2023,1,1,0.7119205646860514
20,Angola,2017,1,0,0.007632743362831859
21,Angola,2018,1,0,0.011320058997050148
22,Angola,2019,1,0,0.02688053097345133
23,Angola,2020,1,0,0.007632743362831859
24,Angola,2021,1,0,0.005420353982300886
25,Angola,2022,1,0,0.01890539401601348
26,Angola,2023,1,0,0.03144226717235567
27,Argentina,2018,1,1,0.6699720817530553
28,Argentina,2019,1,1,0.6602375684787192
29,Argentina,2020,1,1,0.6580251790981881
30,Argentina,2021,1,1,0.6624499578592501
31,Argentina,2022,1,1,0.6476269490096926
32,Argentina,2023,1,1,0.6354798777918249
33,Armenia,2018,1,1,0.7644209158589689
34,Armenia,2019,1,1,0.7721642786908273
35,Armenia,2020,1,1,0.7721642786908273
36,Armenia,2021,1,1,0.8119872875403849
37,Armenia,2022,1,1,0.7957630987498242
38,Armenia,2023,1,1,0.7780639837055765
39,Australia,2021,1,1,0.5846863866222274
40,Australia,2022,1,1,0.5763899264452363
41,Australia,2023,1,1,0.5587329521510939
42,Austria,2020,1,1,0.568096818373367
43,Austria,2021,1,1,0.568096818373367
44,Austria,2022,1,1,0.5675068478718921
45,Austria,2023,1,1,0.5524626000842814
46,Azerbaijan,2018,1,1,0.8948728754038486
47,Azerbaijan,2019,1,1,0.8970852647843797
48,Azerbaijan,2020,1,1,0.8948728754038486
49,Azerbaijan,2021,1,1,0.8970852647843797
50,Azerbaijan,2022,1,1,0.8821516364657955
51,Azerbaijan,2023,1,1,0.8618714004775949
52,Bahrain,2017,1,1,0.711277040314651
53,Bahrain,2018,1,1,0.6888581612586037
54,Bahrain,2019,1,1,0.6948684857423795
55,Bahrain,2020,1,1,0.6963434119960669
56,Bahrain,2021,1,1,0.6844333824975418
57,Bahrain,2022,1,1,0.6729289577187806
58,Bahrain,2023,1,1,0.648007971625228
59,Bangladesh,2017,1,1,0.9977876106194691
60,Bangladesh,2018,1,1,0.9960176991150442
61,Bangladesh,2019,1,1,0.9862831858407078
62,Bangladesh,2020,1,1,0.9910398230088495
63,Bangladesh,2021,1,1,0.9857300884955751
64,Bangladesh,2022,1,1,0.975221238938053
65,Bangladesh,2023,1,1,0.9583333333333333
66,Barbados,2018,0,1,0.6007875052675935
67,Barbados,2019,0,1,0.5976980615254949
