,country,year,d_riot,preds,preds_proba
0,Afghanistan,2017,0,1,0.7148203592814372
1,Afghanistan,2018,0,1,0.7148203592814372
2,Afghanistan,2019,0,1,0.717814371257485
3,Afghanistan,2020,0,1,0.7118263473053892
4,Afghanistan,2021,0,1,0.7140718562874252
5,Afghanistan,2022,1,1,0.687874251497006
6,Afghanistan,2023,1,1,0.6661676646706587
7,Albania,2018,0,0,0.4820359281437126
8,Albania,2019,1,0,0.48502994011976047
9,Albania,2020,0,0,0.43488023952095806
10,Albania,2021,0,0,0.44610778443113774
11,Albania,2022,0,0,0.4273952095808383
12,Albania,2023,0,0,0.4214071856287425
13,Algeria,2017,1,1,0.8412341982701265
14,Algeria,2018,1,1,0.7574018629407852
15,Algeria,2019,0,1,0.7895874916833001
16,Algeria,2020,1,1,0.8068030605455755
17,Algeria,2021,1,1,0.7828509647371923
18,Algeria,2022,0,1,0.6946107784431138
19,Algeria,2023,0,1,0.5643712574850299
20,Angola,2017,0,0,0.012795998911268374
21,Angola,2018,0,0,0.012047495917256398
22,Angola,2019,0,0,0.019532525857376158
23,Angola,2020,1,0,0.016538513881328255
24,Angola,2021,1,0,0.01579001088731628
25,Angola,2022,1,0,0.018035519869352205
26,Angola,2023,1,0,0.01650449101796407
27,Argentina,2018,1,1,0.5755988023952096
28,Argentina,2019,1,1,0.5823353293413174
29,Argentina,2020,1,1,0.5905688622754491
30,Argentina,2021,1,1,0.5905688622754491
31,Argentina,2022,1,1,0.5591317365269461
32,Argentina,2023,1,1,0.531437125748503
33,Armenia,2018,1,1,0.7544910179640718
34,Armenia,2019,0,1,0.7559880239520959
35,Armenia,2020,0,1,0.7559880239520959
36,Armenia,2021,0,1,0.7634730538922155
37,Armenia,2022,0,1,0.749251497005988
38,Armenia,2023,0,1,0.7290419161676647
39,Australia,2021,1,0,0.4438622754491018
40,Australia,2022,0,0,0.4296407185628742
41,Australia,2023,0,0,0.4094311377245509
42,Austria,2020,0,1,0.5179640718562875
43,Austria,2021,0,1,0.5172155688622755
44,Austria,2022,0,1,0.5097305389221557
45,Austria,2023,0,0,0.49101796407185627
46,Azerbaijan,2018,0,1,0.8031437125748503
47,Azerbaijan,2019,0,1,0.8038922155688623
48,Azerbaijan,2020,0,1,0.8038922155688623
49,Azerbaijan,2021,0,1,0.8061377245508982
50,Azerbaijan,2022,0,1,0.7836826347305389
51,Azerbaijan,2023,0,1,0.7664670658682635
52,Bahrain,2017,1,1,0.7282934131736527
53,Bahrain,2018,1,1,0.7080838323353293
54,Bahrain,2019,1,1,0.7110778443113772
55,Bahrain,2020,1,1,0.6856287425149701
56,Bahrain,2021,1,1,0.6684131736526946
57,Bahrain,2022,0,1,0.6459580838323353
58,Bahrain,2023,1,1,0.592814371257485
59,Bangladesh,2017,1,1,0.9797904191616766
60,Bangladesh,2018,1,1,0.9767964071856288
61,Bangladesh,2019,1,1,0.9648203592814372
62,Bangladesh,2020,1,1,0.9752994011976048
63,Bangladesh,2021,1,1,0.9633233532934131
64,Bangladesh,2022,1,1,0.9393712574850299
65,Bangladesh,2023,1,1,0.9184131736526946
66,Barbados,2018,0,1,0.5202095808383234
67,Barbados,2019,0,1,0.5172155688622755
68,Barbados,2020,0,1,0.5187125748502994
69,Barbados,2021,0,1,0.5172155688622755
70,Barbados,2022,0,0,0.48502994011976047
71,Barbados,2023,0,0,0.4431137724550898
72,Belarus,2018,0,0,0.43038922155688625
73,Belarus,2019,0,0,0.4244011976047904
74,Belarus,2020,0,0,0.4184131736526946
75,Belarus,2021,0,0,0.42065868263473055
76,Belarus,2022,0,0,0.39745508982035926
77,Belarus,2023,0,0,0.38023952095808383
78,Belgium,2020,0,1,0.5643712574850299
79,Belgium,2021,0,1,0.5576347305389222
80,Belgium,2022,0,1,0.5553892215568862
81,Belgium,2023,0,1,0.5276946107784432
82,Benin,2017,0,0,0.03143712574850299
83,Benin,2018,0,0,0.048673486360612105
84,Benin,2019,1,0,0.04715568862275449
85,Benin,2020,1,0,0.05239520958083832
86,Benin,2021,1,0,0.029940119760479042
87,Benin,2022,1,0,0.022475881570192948
88,Benin,2023,1,0,0.020958083832335328
89,Bhutan,2020,0,0,0.4273952095808383
90,Bhutan,2021,0,0,0.4236526946107784
91,Bhutan,2022,0,0,0.41317365269461076
92,Bhutan,2023,0,0,0.41092814371257486
93,Bolivia,2018,1,0,0.26665419161676646
94,Bolivia,2019,1,0,0.26747754491017967
95,Bolivia,2020,1,0,0.27645958083832334
96,Bolivia,2021,1,0,0.2974426147704591
97,Bolivia,2022,1,0,0.2794785429141716
98,Bolivia,2023,1,0,0.2660054890219561
99,Bosnia-Herzegovina,2018,0,0,0.4311377245508982
100,Bosnia-Herzegovina,2019,0,0,0.4318862275449102
101,Bosnia-Herzegovina,2020,0,0,0.4311377245508982
102,Bosnia-Herzegovina,2021,0,0,0.4318862275449102
103,Bosnia-Herzegovina,2022,0,0,0.4184131736526946
104,Bosnia-Herzegovina,2023,0,0,0.40494011976047906
105,Botswana,2017,0,0,0.0074850299401197605
106,Botswana,2018,0,0,0.011976047904191617
107,Botswana,2019,0,0,0.008233532934131737
108,Botswana,2020,0,0,0.0007485029940119761
109,Botswana,2021,0,0,0.005239520958083832
110,Botswana,2022,0,0,0.008233532934131737
111,Botswana,2023,0,0,0.010479041916167664
112,Brazil,2018,1,1,0.5688622754491018
113,Brazil,2019,1,1,0.5681137724550899
114,Brazil,2020,1,1,0.5666167664670658
115,Brazil,2021,1,1,0.5703592814371258
116,Brazil,2022,1,1,0.5336826347305389
117,Brazil,2023,1,1,0.5074850299401198
118,Bulgaria,2018,0,1,0.5194610778443114
119,Bulgaria,2019,0,1,0.5224550898203593
120,Bulgaria,2020,1,1,0.5194610778443114
121,Bulgaria,2021,0,1,0.5179640718562875
122,Bulgaria,2022,0,1,0.5037425149700598
123,Bulgaria,2023,0,0,0.47979041916167664
124,Burkina Faso,2017,1,1,0.7054403287023412
125,Burkina Faso,2018,1,1,0.7016978137322814
126,Burkina Faso,2019,1,1,0.7360713743034467
127,Burkina Faso,2020,0,1,0.7009493107382694
128,Burkina Faso,2021,1,1,0.8002864401067994
129,Burkina Faso,2022,1,0,0.483319986054304
130,Burkina Faso,2023,0,0,0.43218242378047766
131,Burundi,2017,1,1,0.7223053892215568
132,Burundi,2018,1,1,0.5501497005988024
133,Burundi,2019,1,1,0.6624251497005988
134,Burundi,2020,1,1,0.6856287425149701
135,Burundi,2021,1,1,0.6497005988023952
136,Burundi,2022,1,1,0.5830838323353293
137,Burundi,2023,1,1,0.5486526946107785
138,Cambodia (Kampuchea),2017,0,0,0.3068862275449102
139,Cambodia (Kampuchea),2018,0,0,0.30538922155688625
140,Cambodia (Kampuchea),2019,0,0,0.13997005988023953
141,Cambodia (Kampuchea),2020,0,0,0.30763473053892215
142,Cambodia (Kampuchea),2021,0,0,0.312125748502994
143,Cambodia (Kampuchea),2022,0,0,0.29416167664670656
144,Cambodia (Kampuchea),2023,0,0,0.2874251497005988
145,Cameroon,2017,1,0,0.004602776014790695
