,country,year,d_sb,preds,preds_proba
0,United States of America,2017,0,0,0.016467146522042595
1,United States of America,2018,0,0,0.013177413704371449
2,United States of America,2019,0,0,0.014461935220106834
3,United States of America,2020,0,0,0.013177413704371449
4,United States of America,2021,0,0,0.013177413704371449
5,United States of America,2022,0,0,0.10178995382733431
6,United States of America,2023,0,0,0.22545722227223444
7,Canada,2017,0,0,0.003985609178187202
8,Canada,2018,0,0,0.003985609178187202
9,Canada,2019,0,0,0.003985609178187202
10,Canada,2020,0,0,0.003985609178187202
11,Canada,2021,0,0,0.003985609178187202
12,Canada,2022,0,0,0.03247216610583402
13,Canada,2023,0,0,0.09199612064792391
14,Cuba,2017,0,0,0.0033415658005913704
15,Cuba,2018,0,0,0.0033415658005913704
16,Cuba,2019,0,0,0.003910399737661594
17,Cuba,2020,0,0,0.003923408910436323
18,Cuba,2021,0,0,0.0034542112130847443
19,Cuba,2022,0,0,0.07898168483828844
20,Cuba,2023,0,0,0.08448197522575908
21,Haiti,2017,0,0,0.031505749913927614
22,Haiti,2018,0,0,0.03264161380329401
23,Haiti,2019,0,0,0.03953953073954841
24,Haiti,2020,0,0,0.044102987122771393
25,Haiti,2021,0,0,0.039823789095960314
26,Haiti,2022,0,0,0.4750702280105153
27,Haiti,2023,0,1,0.5177536346988136
28,Dominican Republic,2017,0,0,0.0027500274394221943
29,Dominican Republic,2018,0,0,0.0027500274394221943
30,Dominican Republic,2019,0,0,0.0035688452752603754
31,Dominican Republic,2020,0,0,0.004982787640753227
32,Dominican Republic,2021,0,0,0.0027500274394221943
33,Dominican Republic,2022,0,0,0.3332642549906169
34,Dominican Republic,2023,0,0,0.3385178789892342
35,Jamaica,2017,0,0,0.005562354874438986
36,Jamaica,2018,0,0,0.005562354874438986
37,Jamaica,2019,0,0,0.005563029479600491
38,Jamaica,2020,0,0,0.005600700648942665
39,Jamaica,2021,0,0,0.0056089958407202455
40,Jamaica,2022,0,0,0.05149520134448298
41,Jamaica,2023,0,0,0.09878481750531387
42,Trinidad and Tobago,2017,0,0,0.004327112149151853
43,Trinidad and Tobago,2018,0,0,0.004339446716765079
44,Trinidad and Tobago,2019,0,0,0.004327112149151853
45,Trinidad and Tobago,2020,0,0,0.004302568988832376
46,Trinidad and Tobago,2021,0,0,0.004314903556445602
47,Trinidad and Tobago,2022,0,0,0.42477724675256573
48,Trinidad and Tobago,2023,0,0,0.4059235967487927
49,Barbados,2017,0,0,0.006319713518059916
50,Barbados,2018,0,0,0.00631357129510989
51,Barbados,2019,0,0,0.0062526303860504255
