,country,year,d_terror,preds,preds_proba
0,United States of America,2017,1,1,0.8621441838970338
1,United States of America,2018,1,1,0.8548527017502853
2,United States of America,2019,1,1,0.8543786183116
3,United States of America,2020,1,1,0.8576087856669453
4,Canada,2017,1,0,0.27409288559966205
5,Canada,2018,1,0,0.30245926172599397
6,Canada,2019,0,0,0.28203114940075774
7,Canada,2020,1,0,0.2172796548258258
8,Cuba,2017,0,0,0.057051619889652926
9,Cuba,2018,0,0,0.05295343194190747
10,Cuba,2019,0,0,0.07079067324540234
11,Cuba,2020,0,0,0.0856322315108239
12,Haiti,2017,0,0,0.21612481342217002
13,Haiti,2018,0,0,0.22238285919425305
14,Haiti,2019,1,0,0.25846470638757585
15,Haiti,2020,0,0,0.25302027373075375
16,Dominican Republic,2017,0,0,0.033339310518983874
17,Dominican Republic,2018,0,0,0.03357175019570134
18,Dominican Republic,2019,0,0,0.04379480516433152
19,Dominican Republic,2020,0,0,0.04367628430466021
20,Jamaica,2017,0,0,0.026525751469619777
21,Jamaica,2018,0,0,0.05445790746468664
22,Jamaica,2019,0,0,0.06029314891939712
23,Jamaica,2020,0,0,0.03990484410756199
24,Trinidad and Tobago,2017,0,0,0.013195658312501947
25,Trinidad and Tobago,2018,0,0,0.015303997367743658
26,Trinidad and Tobago,2019,0,0,0.013195658312501947
27,Trinidad and Tobago,2020,0,0,0.014837863803644664
28,Barbados,2017,0,0,0.02380778979183926
29,Barbados,2018,0,0,0.02530378642057925
30,Barbados,2019,0,0,0.024545252918682918
31,Barbados,2020,0,0,0.02425026766794546
32,Mexico,2017,1,1,0.7255699707924018
33,Mexico,2018,1,1,0.5879614315296029
34,Mexico,2019,1,1,0.6030587171611043
35,Mexico,2020,1,1,0.5568169029423362
36,Guatemala,2017,0,0,0.2356548287982354
37,Guatemala,2018,0,0,0.22968212697339538
38,Guatemala,2019,0,0,0.2311824365737435
39,Guatemala,2020,1,0,0.2360937792437405
40,Honduras,2017,1,0,0.41880783330601085
41,Honduras,2018,0,0,0.3818949643411508
42,Honduras,2019,1,0,0.4197259757962106
43,Honduras,2020,1,0,0.3987126825939534
44,El Salvador,2017,0,0,0.04050242938798717
45,El Salvador,2018,0,0,0.04560510694641694
46,El Salvador,2019,0,0,0.04922109815014083
47,El Salvador,2020,0,0,0.0480887589875911
48,Nicaragua,2017,0,0,0.15328271176566893
49,Nicaragua,2018,1,0,0.16445311244411673
50,Nicaragua,2019,0,0,0.17383682536015607
51,Nicaragua,2020,1,0,0.1525006493914197
