,country,year,d_civil_war,preds,preds_proba
0,United States of America,2017,0,0,0.0
1,United States of America,2018,0,0,0.0
2,United States of America,2019,0,0,0.0
3,United States of America,2020,0,0,0.0
4,United States of America,2021,0,0,0.0
5,United States of America,2022,0,0,0.05805082363523921
6,United States of America,2023,0,0,0.21723953055121883
7,Canada,2017,0,0,0.0
8,Canada,2018,0,0,0.004477334834477691
9,Canada,2019,0,0,0.005094905094905095
10,Canada,2020,0,0,0.005094905094905095
11,Canada,2021,0,0,0.0
12,Canada,2022,0,0,0.03574962795742017
13,Canada,2023,0,0,0.07188643981997687
14,Cuba,2017,0,0,0.0
15,Cuba,2018,0,0,0.0
16,Cuba,2019,0,0,0.0
17,Cuba,2020,0,0,0.0
18,Cuba,2021,0,0,0.0
19,Cuba,2022,0,0,0.04529478458049887
20,Cuba,2023,0,0,0.14902968003617356
21,Haiti,2017,0,0,0.0100167339663138
22,Haiti,2018,0,0,0.0114153353649152
23,Haiti,2019,0,0,0.004545454545454545
24,Haiti,2020,0,0,0.004545454545454545
25,Haiti,2021,0,0,0.004545454545454545
26,Haiti,2022,0,0,0.1033648049881816
27,Haiti,2023,0,0,0.24027163913527538
28,Dominican Republic,2017,0,0,0.000333000333000333
29,Dominican Republic,2018,0,0,0.000333000333000333
30,Dominican Republic,2019,0,0,0.000333000333000333
31,Dominican Republic,2020,0,0,0.000333000333000333
32,Dominican Republic,2021,0,0,0.000333000333000333
33,Dominican Republic,2022,0,0,0.04287749287749288
34,Dominican Republic,2023,0,0,0.14067636908546002
35,Jamaica,2017,0,0,0.0
36,Jamaica,2018,0,0,0.0
37,Jamaica,2019,0,0,0.004329004329004329
38,Jamaica,2020,0,0,0.0
39,Jamaica,2021,0,0,0.0005411255411255411
40,Jamaica,2022,0,0,0.04096952830719064
41,Jamaica,2023,0,0,0.18176253760669342
42,Trinidad and Tobago,2017,0,0,0.0
43,Trinidad and Tobago,2018,0,0,0.0
44,Trinidad and Tobago,2019,0,0,0.0
45,Trinidad and Tobago,2020,0,0,0.0
46,Trinidad and Tobago,2021,0,0,0.0
47,Trinidad and Tobago,2022,0,0,0.03287669521435755
48,Trinidad and Tobago,2023,0,0,0.13037080764353493
49,Barbados,2017,0,0,0.017291967291967292
50,Barbados,2018,0,0,0.009716209716209716
51,Barbados,2019,0,0,0.009716209716209716
52,Barbados,2020,0,0,0.015271765271765273
53,Barbados,2021,0,0,0.009716209716209716
54,Barbados,2022,0,0,0.10184649405428625
55,Barbados,2023,0,0,0.21368780329819292
56,Mexico,2017,0,0,0.0
57,Mexico,2018,0,0,0.004329004329004329
58,Mexico,2019,0,0,0.004329004329004329
59,Mexico,2020,0,0,0.004329004329004329
60,Mexico,2021,0,0,0.004329004329004329
61,Mexico,2022,0,0,0.08072000149922227
62,Mexico,2023,0,0,0.3857855167920103
63,Guatemala,2017,0,0,0.002886002886002886
64,Guatemala,2018,0,0,0.0
65,Guatemala,2019,0,0,0.004329004329004329
66,Guatemala,2020,0,0,0.0
67,Guatemala,2021,0,0,0.0
68,Guatemala,2022,0,0,0.026705833848690994
69,Guatemala,2023,0,0,0.13226170174222124
70,Honduras,2017,0,0,0.0
71,Honduras,2018,0,0,0.0
72,Honduras,2019,0,0,0.0
73,Honduras,2020,0,0,0.0
74,Honduras,2021,0,0,0.0
75,Honduras,2022,0,0,0.019865632203294542
76,Honduras,2023,0,0,0.1357149103902351
77,El Salvador,2017,0,0,0.0
78,El Salvador,2018,0,0,0.003246753246753247
79,El Salvador,2019,0,0,0.003246753246753247
80,El Salvador,2020,0,0,0.003246753246753247
81,El Salvador,2021,0,0,0.003246753246753247
82,El Salvador,2022,0,0,0.06968303461809955
83,El Salvador,2023,0,0,0.23435440821804454
84,Nicaragua,2017,0,0,0.0
85,Nicaragua,2018,0,0,0.0
86,Nicaragua,2019,0,0,0.0
87,Nicaragua,2020,0,0,0.0
88,Nicaragua,2021,0,0,0.0
89,Nicaragua,2022,0,0,0.038816738816738826
90,Nicaragua,2023,0,0,0.15514259670103828
91,Costa Rica,2017,0,0,0.0010822510822510823
92,Costa Rica,2018,0,0,0.005411255411255411
93,Costa Rica,2019,0,0,0.0010822510822510823
94,Costa Rica,2020,0,0,0.0010822510822510823
95,Costa Rica,2021,0,0,0.0010822510822510823
96,Costa Rica,2022,0,0,0.021720919772867827
97,Costa Rica,2023,0,0,0.11119934658895698
98,Panama,2017,0,0,0.0
99,Panama,2018,0,0,0.0
100,Panama,2019,0,0,0.001998001998001998
101,Panama,2020,0,0,0.001998001998001998
102,Panama,2021,0,0,0.001998001998001998
103,Panama,2022,0,0,0.021492576687381883
104,Panama,2023,0,0,0.12427425868984311
105,Colombia,2017,0,0,0.03698992382147462
106,Colombia,2018,0,0,0.08887190427488363
107,Colombia,2019,0,0,0.09211865752163688
108,Colombia,2020,0,0,0.08959340499638435
109,Colombia,2021,0,0,0.09259040799338734
110,Colombia,2022,0,0,0.17815184631456596
111,Colombia,2023,0,0,0.2600611106913628
112,Venezuela,2017,0,0,0.0
113,Venezuela,2018,0,0,0.0
114,Venezuela,2019,0,0,0.0
115,Venezuela,2020,0,0,0.006060606060606061
116,Venezuela,2021,0,0,0.006060606060606061
117,Venezuela,2022,0,0,0.06191473269395347
118,Venezuela,2023,0,0,0.2133701195389507
119,Guyana,2017,0,0,0.0
120,Guyana,2018,0,0,0.0
121,Guyana,2019,0,0,0.0
122,Guyana,2020,0,0,0.0
123,Guyana,2021,0,0,0.0
124,Guyana,2022,0,0,0.02027791832986638
125,Guyana,2023,0,0,0.132777059400436
126,Suriname,2017,0,0,0.0
127,Suriname,2018,0,0,0.0
128,Suriname,2019,0,0,0.0
129,Suriname,2020,0,0,0.0
130,Suriname,2021,0,0,0.0
131,Suriname,2022,0,0,0.02027791832986638
132,Suriname,2023,0,0,0.12844805507143167
133,Ecuador,2017,0,0,0.0
134,Ecuador,2018,0,0,0.0
135,Ecuador,2019,0,0,0.0
136,Ecuador,2020,0,0,0.0
137,Ecuador,2021,0,0,0.0
138,Ecuador,2022,0,0,0.02506043739809974
139,Ecuador,2023,0,0,0.10150097617630086
140,Peru,2017,0,0,0.0006184291898577612
141,Peru,2018,0,0,0.0006184291898577612
142,Peru,2019,0,0,0.005668934240362812
143,Peru,2020,0,0,0.00494743351886209
144,Peru,2021,0,0,0.006679035250463821
145,Peru,2022,0,0,0.058614065107571604
146,Peru,2023,0,0,0.28572052046078017
147,Brazil,2017,0,0,0.0
148,Brazil,2018,0,0,0.08236071288019338
149,Brazil,2019,0,0,0.07630010681958733
150,Brazil,2020,0,0,0.07630010681958733
151,Brazil,2021,0,0,0.0765706695901501
152,Brazil,2022,0,0,0.10741329978342963
153,Brazil,2023,0,0,0.21272057668161556
154,Bolivia,2017,0,0,0.01038961038961039
155,Bolivia,2018,0,0,0.004329004329004329
156,Bolivia,2019,0,0,0.004329004329004329
157,Bolivia,2020,0,0,0.004329004329004329
158,Bolivia,2021,0,0,0.01030715316429602
159,Bolivia,2022,0,0,0.06019502383138747
160,Bolivia,2023,0,0,0.19098725949375298
161,Paraguay,2017,0,0,0.0021645021645021645
162,Paraguay,2018,0,0,0.0012368583797155224
163,Paraguay,2019,0,0,0.0
164,Paraguay,2020,0,0,0.0
165,Paraguay,2021,0,0,0.0
166,Paraguay,2022,0,0,0.03621933621933622
167,Paraguay,2023,0,0,0.15290230452568115
168,Chile,2017,0,0,0.022504759479549396
169,Chile,2018,0,0,0.00951774649253641
170,Chile,2019,0,0,0.029419141393931307
171,Chile,2020,0,0,0.029419141393931307
172,Chile,2021,0,0,0.029419141393931307
173,Chile,2022,0,0,0.07330915837409344
174,Chile,2023,0,0,0.15914950850015783
175,Argentina,2017,0,0,0.005691278418551145
176,Argentina,2018,0,0,0.005691278418551145
177,Argentina,2019,0,0,0.00333000333000333
178,Argentina,2020,0,0,0.00333000333000333
179,Argentina,2021,0,0,0.00333000333000333
180,Argentina,2022,0,0,0.08612830171271728
181,Argentina,2023,0,0,0.2051782873211445
182,Uruguay,2017,0,0,0.0007215007215007215
183,Uruguay,2018,0,0,0.0007215007215007215
184,Uruguay,2019,0,0,0.005050505050505051
185,Uruguay,2020,0,0,0.01443001443001443
186,Uruguay,2021,0,0,0.01443001443001443
187,Uruguay,2022,0,0,0.0670930080020989
188,Uruguay,2023,0,0,0.1565030688407312
189,United Kingdom,2017,0,0,0.0
190,United Kingdom,2018,0,0,0.0007215007215007215
191,United Kingdom,2019,0,0,0.0
192,United Kingdom,2020,0,0,0.0
193,United Kingdom,2021,0,0,0.0
194,United Kingdom,2022,0,0,0.03875489589775304
195,United Kingdom,2023,0,0,0.0682691526847371
196,Ireland,2017,0,0,0.0
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0
199,Ireland,2020,0,0,0.0
200,Ireland,2021,0,0,0.0
201,Ireland,2022,0,0,0.04415959221154026
202,Ireland,2023,0,0,0.07795475327942859
203,Netherlands,2017,0,0,0.0
204,Netherlands,2018,0,0,0.0
205,Netherlands,2019,0,0,0.0
206,Netherlands,2020,0,0,0.004329004329004329
207,Netherlands,2021,0,0,0.0
208,Netherlands,2022,0,0,0.043305684214775125
209,Netherlands,2023,0,0,0.053224144782586344
210,Belgium,2017,0,0,0.00484436198721913
211,Belgium,2018,0,0,0.009956709956709955
212,Belgium,2019,0,0,0.0012987012987012987
213,Belgium,2020,0,0,0.0012987012987012987
214,Belgium,2021,0,0,0.0012987012987012987
215,Belgium,2022,0,0,0.04843569129283415
216,Belgium,2023,0,0,0.060189593955827715
217,Luxembourg,2017,0,0,0.0
218,Luxembourg,2018,0,0,0.0
219,Luxembourg,2019,0,0,0.0
220,Luxembourg,2020,0,0,0.0
221,Luxembourg,2021,0,0,0.0
222,Luxembourg,2022,0,0,0.0207864121397956
223,Luxembourg,2023,0,0,0.024771232033706403
224,France,2017,0,0,0.0
225,France,2018,0,0,0.0
226,France,2019,0,0,0.0
227,France,2020,0,0,0.0
228,France,2021,0,0,0.0
229,France,2022,0,0,0.016992315044263094
230,France,2023,0,0,0.04533249338444144
231,Switzerland,2017,0,0,0.0
232,Switzerland,2018,0,0,0.0
233,Switzerland,2019,0,0,0.0
234,Switzerland,2020,0,0,0.0
235,Switzerland,2021,0,0,0.0
236,Switzerland,2022,0,0,0.03786192162815539
237,Switzerland,2023,0,0,0.04225308121412018
238,Spain,2017,0,0,0.0
239,Spain,2018,0,0,0.0
240,Spain,2019,0,0,0.0
241,Spain,2020,0,0,0.0
242,Spain,2021,0,0,0.0
243,Spain,2022,0,0,0.02053422767708482
244,Spain,2023,0,0,0.055132878184826234
245,Portugal,2017,0,0,0.0
246,Portugal,2018,0,0,0.0
247,Portugal,2019,0,0,0.0
248,Portugal,2020,0,0,0.0
249,Portugal,2021,0,0,0.0
250,Portugal,2022,0,0,0.028743526795474848
251,Portugal,2023,0,0,0.04980650662468844
252,Germany,2017,0,0,0.004329004329004329
253,Germany,2018,0,0,0.0
254,Germany,2019,0,0,0.0
255,Germany,2020,0,0,0.0021251475796930344
256,Germany,2021,0,0,0.0017316017316017316
257,Germany,2022,0,0,0.017729120326522924
258,Germany,2023,0,0,0.04822724173373524
259,Poland,2017,0,0,0.003463203463203463
260,Poland,2018,0,0,0.0
261,Poland,2019,0,0,0.0
262,Poland,2020,0,0,0.0
263,Poland,2021,0,0,0.0
264,Poland,2022,0,0,0.02195317909603624
265,Poland,2023,0,0,0.044755292807240867
266,Austria,2017,0,0,0.006826506826506826
267,Austria,2018,0,0,0.006826506826506826
268,Austria,2019,0,0,0.006826506826506826
269,Austria,2020,0,0,0.006826506826506826
270,Austria,2021,0,0,0.002497502497502497
271,Austria,2022,0,0,0.0441964961445481
272,Austria,2023,0,0,0.04398014203209009
273,Hungary,2017,0,0,0.0
274,Hungary,2018,0,0,0.0
275,Hungary,2019,0,0,0.0
276,Hungary,2020,0,0,0.00747737111373475
277,Hungary,2021,0,0,0.0
278,Hungary,2022,0,0,0.018074566126514178
279,Hungary,2023,0,0,0.042292940344888404
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.0
282,Czechia,2019,0,0,0.0
283,Czechia,2020,0,0,0.0
284,Czechia,2021,0,0,0.0
285,Czechia,2022,0,0,0.0395452491231712
286,Czechia,2023,0,0,0.05470004382342045
287,Slovakia,2017,0,0,0.0017490926581835672
288,Slovakia,2018,0,0,0.0017490926581835672
289,Slovakia,2019,0,0,0.0017490926581835672
290,Slovakia,2020,0,0,0.007160348069438978
291,Slovakia,2021,0,0,0.0009620009620009619
292,Slovakia,2022,0,0,0.01694958638738543
293,Slovakia,2023,0,0,0.03276936665521765
294,Italy,2017,0,0,0.0004329004329004329
295,Italy,2018,0,0,0.0004329004329004329
296,Italy,2019,0,0,0.0004329004329004329
297,Italy,2020,0,0,0.0004329004329004329
298,Italy,2021,0,0,0.0004329004329004329
299,Italy,2022,0,0,0.0301259707103863
300,Italy,2023,0,0,0.0540987271506752
301,Malta,2017,0,0,0.0014055208860403665
302,Malta,2018,0,0,0.004002923483442964
303,Malta,2019,0,0,0.0014055208860403665
304,Malta,2020,0,0,0.00466892414944363
305,Malta,2021,0,0,0.00647664024287401
