,country,year,d_civil_conflict,preds,preds_proba
0,United States of America,2017,0,0,0.001274081671557612
1,United States of America,2018,0,0,0.00021266191393466054
2,United States of America,2019,0,0,0.00021266191393466054
3,United States of America,2020,0,0,0.00021266191393466054
4,United States of America,2021,0,0,0.00021266191393466054
5,United States of America,2022,0,0,0.0
6,United States of America,2023,0,0,0.0
7,Canada,2017,0,0,0.0
8,Canada,2018,0,0,0.0
9,Canada,2019,0,0,0.0
10,Canada,2020,0,0,0.0
11,Canada,2021,0,0,0.0
12,Canada,2022,0,0,0.0
13,Canada,2023,0,0,0.0
14,Cuba,2017,0,0,0.0
15,Cuba,2018,0,0,0.0
16,Cuba,2019,0,0,0.0
17,Cuba,2020,0,0,0.0
18,Cuba,2021,0,0,0.0
19,Cuba,2022,0,0,0.0
20,Cuba,2023,0,0,0.0
21,Haiti,2017,0,0,0.03640373844335177
22,Haiti,2018,0,0,0.019146388161789197
23,Haiti,2019,0,0,0.046552482413506104
24,Haiti,2020,0,0,0.10187278049306994
25,Haiti,2021,0,0,0.005629860766125376
26,Haiti,2022,0,0,0.002356051242315852
27,Haiti,2023,0,0,0.002514079055210921
28,Dominican Republic,2017,0,0,0.0
29,Dominican Republic,2018,0,0,0.0
30,Dominican Republic,2019,0,0,0.0
31,Dominican Republic,2020,0,0,0.0
32,Dominican Republic,2021,0,0,0.0
33,Dominican Republic,2022,0,0,0.0
34,Dominican Republic,2023,0,0,0.0
35,Jamaica,2017,0,0,6.828362285589424e-06
36,Jamaica,2018,0,0,6.828362285589424e-06
37,Jamaica,2019,0,0,6.828362285589424e-06
38,Jamaica,2020,0,0,6.828362285589424e-06
39,Jamaica,2021,0,0,6.828362285589424e-06
40,Jamaica,2022,0,0,6.828362285589424e-06
41,Jamaica,2023,0,0,6.828362285589424e-06
42,Trinidad and Tobago,2017,0,0,6.828362285589424e-06
43,Trinidad and Tobago,2018,0,0,6.828362285589424e-06
44,Trinidad and Tobago,2019,0,0,6.828362285589424e-06
45,Trinidad and Tobago,2020,0,0,6.828362285589424e-06
46,Trinidad and Tobago,2021,0,0,6.828362285589424e-06
47,Trinidad and Tobago,2022,0,0,6.828362285589424e-06
48,Trinidad and Tobago,2023,0,0,6.828362285589424e-06
49,Barbados,2017,0,0,6.828362285589424e-06
50,Barbados,2018,0,0,6.828362285589424e-06
51,Barbados,2019,0,0,6.828362285589424e-06
52,Barbados,2020,0,0,6.828362285589424e-06
