,country,year,d_ns,preds,preds_proba
0,United States of America,2017,0,0,0.06758787209075434
1,United States of America,2018,0,0,0.04677400542783865
2,United States of America,2019,1,0,0.05186787235131019
3,United States of America,2020,0,0,0.4625216549353032
4,United States of America,2021,0,0,0.03489107367092049
5,United States of America,2022,1,0,0.005716929438924298
6,United States of America,2023,0,0,0.4625216549353032
7,Canada,2017,0,0,0.003343815717011413
8,Canada,2018,0,0,0.02580229915701014
9,Canada,2019,0,0,0.0002641207306443151
10,Canada,2020,0,0,0.030951244188761783
11,Canada,2021,0,0,0.0003762283539627007
12,Canada,2022,0,0,0.0003762283539627007
13,Canada,2023,0,0,0.009081528418858247
14,Cuba,2017,0,0,0.00018680757893231744
15,Cuba,2018,0,0,0.00018680757893231744
16,Cuba,2019,0,0,0.00018680757893231744
17,Cuba,2020,0,0,0.00018680757893231744
18,Cuba,2021,0,0,0.00018680757893231744
19,Cuba,2022,0,0,0.00018680757893231744
20,Cuba,2023,0,0,0.00018680757893231744
21,Haiti,2017,0,0,0.001612677171023282
22,Haiti,2018,0,0,0.004021794695545712
23,Haiti,2019,0,0,0.03857761743727551
24,Haiti,2020,0,0,0.0011681120521677055
25,Haiti,2021,1,0,0.0005303442395120006
26,Haiti,2022,1,1,0.7160752881378565
27,Haiti,2023,1,1,0.7064974284413911
28,Dominican Republic,2017,0,0,0.0
29,Dominican Republic,2018,0,0,0.0
30,Dominican Republic,2019,0,0,0.0
31,Dominican Republic,2020,0,0,0.0
32,Dominican Republic,2021,0,0,0.0
33,Dominican Republic,2022,0,0,0.12067848641423622
34,Dominican Republic,2023,0,0,0.12067848641423622
35,Jamaica,2017,0,0,0.006759405580661134
36,Jamaica,2018,0,0,0.0028483647024651307
37,Jamaica,2019,0,0,0.0031280323066915643
38,Jamaica,2020,0,0,0.0005068005462689738
39,Jamaica,2021,0,0,0.0005287669529920874
40,Jamaica,2022,0,0,0.0005186898632556033
41,Jamaica,2023,0,0,0.0004934261734937137
42,Trinidad and Tobago,2017,0,0,0.00042678574070781176
43,Trinidad and Tobago,2018,0,0,0.00042678574070781176
44,Trinidad and Tobago,2019,0,0,0.0007345295636339128
45,Trinidad and Tobago,2020,0,0,0.0005253729478216444
46,Trinidad and Tobago,2021,0,0,0.0005253729478216444
47,Trinidad and Tobago,2022,0,0,0.0005253729478216444
48,Trinidad and Tobago,2023,0,0,0.0005253729478216444
49,Barbados,2017,0,0,0.00010322956311548707
50,Barbados,2018,0,0,0.00029419123373489387
51,Barbados,2019,0,0,0.0003312752751514278
52,Barbados,2020,0,0,0.00045611582922723277
53,Barbados,2021,0,0,0.00042678574070781176
54,Barbados,2022,0,0,0.00042678574070781176
55,Barbados,2023,0,0,0.0007345295636339128
56,Mexico,2017,1,1,0.7908369521138302
57,Mexico,2018,1,1,0.7908369521138302
58,Mexico,2019,1,1,0.7908369521138302
59,Mexico,2020,1,0,0.4625216549353032
60,Mexico,2021,1,1,0.7908369521138302
61,Mexico,2022,1,1,0.7908369521138302
62,Mexico,2023,1,0,0.4625216549353032
63,Guatemala,2017,0,0,0.07124445630726473
64,Guatemala,2018,0,0,0.10429924082757472
65,Guatemala,2019,0,0,0.14089277839836323
66,Guatemala,2020,0,0,0.022578705015254573
67,Guatemala,2021,0,0,0.05980372002753804
68,Guatemala,2022,1,0,0.08139523364351392
69,Guatemala,2023,0,1,0.800072174889549
70,Honduras,2017,0,1,0.527969816726965
71,Honduras,2018,1,0,0.19781860174358026
72,Honduras,2019,1,1,0.5557897351728225
73,Honduras,2020,1,1,0.5900704156039912
74,Honduras,2021,1,1,0.5804564858625313
75,Honduras,2022,1,1,0.6227593516134372
76,Honduras,2023,1,1,0.800072174889549
77,El Salvador,2017,0,0,0.017892652346417924
78,El Salvador,2018,0,0,0.0002515908955314555
79,El Salvador,2019,0,0,0.004445606074476603
80,El Salvador,2020,0,0,0.005300128265631385
81,El Salvador,2021,0,0,0.004215135801058141
82,El Salvador,2022,0,0,0.0048728901113407235
83,El Salvador,2023,0,0,0.014097340586960912
84,Nicaragua,2017,0,0,0.12067848641423622
85,Nicaragua,2018,0,0,0.0
86,Nicaragua,2019,0,0,0.12067848641423622
87,Nicaragua,2020,0,0,0.12067848641423622
88,Nicaragua,2021,0,0,0.12067848641423622
89,Nicaragua,2022,0,0,0.12020016055474443
90,Nicaragua,2023,0,0,0.12020016055474443
91,Costa Rica,2017,0,0,0.0
92,Costa Rica,2018,0,0,0.0
93,Costa Rica,2019,0,0,0.0
94,Costa Rica,2020,0,0,0.0
95,Costa Rica,2021,0,0,0.0
96,Costa Rica,2022,0,0,0.0
97,Costa Rica,2023,0,0,0.0
98,Panama,2017,0,0,0.00018680757893231744
99,Panama,2018,0,0,0.1355177188621499
100,Panama,2019,0,0,0.1355177188621499
101,Panama,2020,0,0,0.1355177188621499
102,Panama,2021,0,0,0.1355177188621499
103,Panama,2022,0,0,0.1355177188621499
104,Panama,2023,0,0,0.1355177188621499
