,country,year,d_osv,preds,preds_proba
0,United States of America,2017,1,0,0.3683562271062271
1,United States of America,2018,1,1,0.6761204481792717
2,United States of America,2019,0,1,0.6761204481792717
3,United States of America,2020,0,0,0.3683562271062271
4,United States of America,2021,0,0,0.33865384615384614
5,United States of America,2022,0,0,0.16873126873126873
6,United States of America,2023,0,0,0.22054945054945052
7,Canada,2017,0,0,0.00015313935681470137
8,Canada,2018,0,0,0.0077304964539007094
9,Canada,2019,0,0,0.0077304964539007094
10,Canada,2020,0,0,0.00015313935681470137
11,Canada,2021,0,0,0.00015313935681470137
12,Canada,2022,0,0,0.00015313935681470137
13,Canada,2023,0,0,0.00015313935681470137
14,Cuba,2017,0,0,0.00015313935681470137
15,Cuba,2018,0,0,0.00015313935681470137
16,Cuba,2019,0,0,0.00015313935681470137
17,Cuba,2020,0,0,0.00015313935681470137
18,Cuba,2021,0,0,0.00015313935681470137
19,Cuba,2022,0,0,0.00015313935681470137
20,Cuba,2023,0,0,0.00015313935681470137
21,Haiti,2017,1,0,0.038692817681018635
22,Haiti,2018,1,1,0.7160613722560625
23,Haiti,2019,1,1,0.6910613722560626
24,Haiti,2020,1,1,0.7060613722560625
25,Haiti,2021,1,1,0.7060613722560625
26,Haiti,2022,1,1,0.7060613722560625
27,Haiti,2023,1,1,0.7060613722560625
28,Dominican Republic,2017,0,0,0.00015313935681470137
29,Dominican Republic,2018,0,0,0.0077304964539007094
30,Dominican Republic,2019,0,0,0.0077304964539007094
31,Dominican Republic,2020,0,0,0.0077304964539007094
32,Dominican Republic,2021,0,0,0.0077304964539007094
33,Dominican Republic,2022,0,0,0.024397163120567375
34,Dominican Republic,2023,0,0,0.024397163120567375
35,Jamaica,2017,0,0,0.00015313935681470137
36,Jamaica,2018,0,0,0.00015313935681470137
37,Jamaica,2019,0,0,0.00015313935681470137
38,Jamaica,2020,0,0,0.00015313935681470137
39,Jamaica,2021,0,0,0.00015313935681470137
40,Jamaica,2022,0,0,0.00015313935681470137
41,Jamaica,2023,0,0,0.00015313935681470137
42,Trinidad and Tobago,2017,0,0,0.00015313935681470137
43,Trinidad and Tobago,2018,0,0,0.00015313935681470137
44,Trinidad and Tobago,2019,0,0,0.00015313935681470137
45,Trinidad and Tobago,2020,0,0,0.00015313935681470137
46,Trinidad and Tobago,2021,0,0,0.00015313935681470137
47,Trinidad and Tobago,2022,0,0,0.00015313935681470137
48,Trinidad and Tobago,2023,0,0,0.00015313935681470137
49,Barbados,2017,0,0,0.00015313935681470137
50,Barbados,2018,0,0,0.00015313935681470137
51,Barbados,2019,0,0,0.00015313935681470137
52,Barbados,2020,0,0,0.00015313935681470137
53,Barbados,2021,0,0,0.00015313935681470137
54,Barbados,2022,0,0,0.00015313935681470137
55,Barbados,2023,0,0,0.00015313935681470137
56,Mexico,2017,1,1,0.926984126984127
57,Mexico,2018,1,1,0.8049876920465155
58,Mexico,2019,1,1,0.7704638825227061
59,Mexico,2020,1,1,0.9026190476190477
60,Mexico,2021,1,1,0.8609523809523809
61,Mexico,2022,1,1,0.8609523809523809
62,Mexico,2023,1,1,0.8609523809523809
63,Guatemala,2017,0,0,0.05813070306167804
64,Guatemala,2018,0,0,0.050888888888888886
65,Guatemala,2019,0,0,0.05347355912061794
66,Guatemala,2020,0,0,0.0016042780748663104
67,Guatemala,2021,0,0,0.06521042151800478
68,Guatemala,2022,0,0,0.04979507149729351
69,Guatemala,2023,0,0,0.08842327662549862
70,Honduras,2017,0,0,0.27583863504916134
71,Honduras,2018,0,0,0.275
72,Honduras,2019,1,0,0.05333333333333333
73,Honduras,2020,0,1,0.6359509379509378
74,Honduras,2021,1,0,0.15071958743011377
75,Honduras,2022,1,1,0.5091750528054876
76,Honduras,2023,1,1,0.5322811134115482
77,El Salvador,2017,0,0,0.00015313935681470137
78,El Salvador,2018,0,0,0.00015313935681470137
79,El Salvador,2019,1,0,0.00015313935681470137
80,El Salvador,2020,0,1,0.6359509379509378
81,El Salvador,2021,1,0,0.15071958743011377
82,El Salvador,2022,1,1,0.5091750528054876
83,El Salvador,2023,0,1,0.5322811134115482
84,Nicaragua,2017,0,0,0.00015313935681470137
85,Nicaragua,2018,0,0,0.00015313935681470137
86,Nicaragua,2019,0,0,0.00015313935681470137
87,Nicaragua,2020,0,0,0.024397163120567375
88,Nicaragua,2021,0,0,0.00015313935681470137
89,Nicaragua,2022,0,0,0.0968660022148394
