,country,year,d_protest,preds,preds_proba
0,Afghanistan,2017,1,1,0.5603752202272532
1,Afghanistan,2018,1,1,0.999575461685417
2,Afghanistan,2019,1,1,0.999575461685417
3,Afghanistan,2020,1,1,0.999575461685417
4,Afghanistan,2021,1,1,0.999575461685417
5,Afghanistan,2022,1,1,0.999575461685417
6,Afghanistan,2023,1,1,0.999575461685417
7,Albania,2018,1,1,0.7292778013795801
8,Albania,2019,1,1,0.9969751645085968
9,Albania,2020,1,1,0.9969751645085968
10,Albania,2021,1,1,0.9969751645085968
11,Albania,2022,1,1,0.9969751645085968
12,Albania,2023,1,1,0.9969751645085968
13,Algeria,2017,1,1,0.9923761225275515
14,Algeria,2018,1,1,0.8121441415503312
15,Algeria,2019,1,1,0.9896415704678002
16,Algeria,2020,1,1,1.0
17,Algeria,2021,1,1,1.0
18,Algeria,2022,1,1,1.0
19,Algeria,2023,1,1,1.0
20,Angola,2017,1,0,0.0
21,Angola,2018,1,1,0.8264345376583692
22,Angola,2019,1,1,0.710082576296252
23,Angola,2020,1,1,0.5824939664628639
24,Angola,2021,1,1,0.9014551574804063
25,Angola,2022,1,1,0.9960994181647969
26,Angola,2023,1,1,0.9997866422829275
27,Argentina,2018,1,1,0.7866339959866706
28,Argentina,2019,1,1,0.8745259081392059
29,Argentina,2020,1,1,0.8745259081392059
30,Argentina,2021,1,1,0.8745259081392059
31,Argentina,2022,1,1,0.8745259081392059
32,Argentina,2023,1,1,0.8745259081392059
33,Armenia,2018,1,0,0.07834152052533311
34,Armenia,2019,1,1,0.9751926040143852
35,Armenia,2020,1,1,0.9739189890706365
36,Armenia,2021,1,1,0.9709472208685562
37,Armenia,2022,1,1,0.9682491449251345
38,Armenia,2023,1,1,0.9680368757678429
39,Australia,2021,1,1,0.6058871236241177
40,Australia,2022,1,1,0.9766541427603442
41,Australia,2023,1,1,0.9766541427603442
42,Austria,2020,1,1,0.7292778013795801
43,Austria,2021,1,1,0.999575461685417
44,Austria,2022,1,1,0.999575461685417
45,Austria,2023,1,1,0.999575461685417
46,Azerbaijan,2018,1,0,0.07834152052533311
47,Azerbaijan,2019,1,1,0.9751926040143852
48,Azerbaijan,2020,1,1,0.9739189890706365
49,Azerbaijan,2021,1,1,0.9709472208685562
50,Azerbaijan,2022,1,1,0.9682491449251345
51,Azerbaijan,2023,1,1,0.9680368757678429
52,Bahrain,2017,1,0,0.20966896487663214
53,Bahrain,2018,1,0,0.2271371110517833
54,Bahrain,2019,1,0,0.21556142188453745
55,Bahrain,2020,1,0,0.21481847983401733
56,Bahrain,2021,1,0,0.21007156750909609
57,Bahrain,2022,1,0,0.21584777083359064
58,Bahrain,2023,1,0,0.45753235362253447
59,Bangladesh,2017,1,1,0.9014551574804063
60,Bangladesh,2018,1,1,0.9960994181647969
61,Bangladesh,2019,1,1,0.9997866422829275
62,Bangladesh,2020,1,1,0.9997866422829275
63,Bangladesh,2021,1,1,0.9990638385883556
64,Bangladesh,2022,1,1,0.9950459768067497
65,Bangladesh,2023,1,1,0.6043591611893406
66,Barbados,2018,0,0,0.07702048501102236
67,Barbados,2019,0,0,0.15221560989430713
68,Barbados,2020,0,0,0.1008733100606626
69,Barbados,2021,0,0,0.05426646780658667
70,Barbados,2022,0,0,0.05366482411430405
71,Barbados,2023,0,0,0.1629342100760684
72,Belarus,2018,1,0,0.09954755982201144
73,Belarus,2019,1,1,0.9751926040143852
74,Belarus,2020,1,1,0.9739189890706365
75,Belarus,2021,1,1,0.9709472208685562
76,Belarus,2022,1,1,0.9682491449251345
77,Belarus,2023,0,1,0.9680368757678429
78,Belgium,2020,1,1,0.788268468497815
79,Belgium,2021,1,1,0.8700753314746622
80,Belgium,2022,1,1,0.8700753314746622
81,Belgium,2023,1,1,0.8700753314746622
82,Benin,2017,1,0,0.0912801514074521
83,Benin,2018,0,1,1.0
84,Benin,2019,0,0,0.1569659304024746
85,Benin,2020,0,0,0.2824524846081091
86,Benin,2021,0,0,0.35538975671940476
87,Benin,2022,0,0,0.3892442689728768
88,Benin,2023,0,0,0.4147777416088753
89,Bhutan,2020,0,1,0.7037502956014519
90,Bhutan,2021,0,1,0.7037502956014519
91,Bhutan,2022,0,1,0.6834255559285348
92,Bhutan,2023,0,1,0.6253737703767378
93,Bolivia,2018,1,1,0.788268468497815
94,Bolivia,2019,1,1,0.8700753314746622
95,Bolivia,2020,1,1,0.8700753314746622
96,Bolivia,2021,1,1,0.8745259081392059
97,Bolivia,2022,1,1,0.8745259081392059
98,Bolivia,2023,1,1,0.8745259081392059
99,Bosnia-Herzegovina,2018,1,0,0.09984473664221946
100,Bosnia-Herzegovina,2019,1,1,0.9751926040143852
101,Bosnia-Herzegovina,2020,1,1,0.9751926040143852
102,Bosnia-Herzegovina,2021,1,1,0.9739189890706365
103,Bosnia-Herzegovina,2022,1,1,0.9709472208685562
104,Bosnia-Herzegovina,2023,1,1,0.9682491449251345
105,Botswana,2017,0,0,0.04855404843386659
106,Botswana,2018,0,0,0.06542784700679444
107,Botswana,2019,0,0,0.16407055781909158
108,Botswana,2020,0,0,0.09866668599296873
109,Botswana,2021,0,0,0.007070601925728226
110,Botswana,2022,0,0,0.007138719378689661
111,Botswana,2023,0,0,0.0912801514074521
112,Brazil,2018,1,1,0.788268468497815
113,Brazil,2019,1,1,0.8745259081392059
114,Brazil,2020,1,1,0.8745259081392059
115,Brazil,2021,1,1,0.8745259081392059
116,Brazil,2022,1,1,0.8745259081392059
117,Brazil,2023,1,1,0.8745259081392059
118,Bulgaria,2018,1,0,0.43574457634676206
119,Bulgaria,2019,1,1,0.8194371424885303
120,Bulgaria,2020,1,1,0.8194371424885303
121,Bulgaria,2021,1,1,0.8194371424885303
122,Bulgaria,2022,1,1,0.8194371424885303
123,Bulgaria,2023,1,1,0.8194371424885303
124,Burkina Faso,2017,1,1,0.9896415704678002
125,Burkina Faso,2018,1,1,1.0
126,Burkina Faso,2019,1,1,1.0
127,Burkina Faso,2020,1,1,1.0
128,Burkina Faso,2021,1,1,1.0
129,Burkina Faso,2022,1,1,1.0
130,Burkina Faso,2023,1,1,1.0
131,Burundi,2017,1,1,0.9923761225275515
132,Burundi,2018,1,1,0.8121441415503312
133,Burundi,2019,1,1,0.9896415704678002
134,Burundi,2020,0,1,1.0
135,Burundi,2021,0,0,0.1569659304024746
136,Burundi,2022,1,0,0.2824524846081091
137,Burundi,2023,0,1,1.0
138,Cambodia (Kampuchea),2017,1,1,1.0
139,Cambodia (Kampuchea),2018,1,1,1.0
140,Cambodia (Kampuchea),2019,1,1,1.0
141,Cambodia (Kampuchea),2020,1,1,1.0
142,Cambodia (Kampuchea),2021,1,1,0.9992570579494799
143,Cambodia (Kampuchea),2022,1,1,0.9992570579494799
144,Cambodia (Kampuchea),2023,1,1,0.9992570579494799
145,Cameroon,2017,1,0,0.0912801514074521
146,Cameroon,2018,1,1,1.0
147,Cameroon,2019,1,1,1.0
148,Cameroon,2020,1,1,1.0
149,Cameroon,2021,1,1,1.0
150,Cameroon,2022,1,1,1.0
151,Cameroon,2023,1,1,1.0
152,Canada,2021,1,0,0.40122193372605075
153,Canada,2022,1,1,0.5309328652068752
154,Canada,2023,1,1,0.5309328652068752
155,Cabo Verde,2020,1,0,0.20433909606403286
156,Cabo Verde,2021,1,0,0.20966896487663214
157,Cabo Verde,2022,1,0,0.2271371110517833
158,Cabo Verde,2023,1,0,0.21556142188453745
159,Central African Republic,2017,1,1,0.9896415704678002
160,Central African Republic,2018,0,1,1.0
161,Central African Republic,2019,1,0,0.1569659304024746
