,country,year,d_sb,preds,preds_proba
0,United States of America,2017,0,0,0.019742162379293805
1,United States of America,2018,0,0,0.020189732691020354
2,United States of America,2019,0,0,0.021707168916976754
3,United States of America,2020,0,0,0.03564310477315574
4,United States of America,2021,0,0,0.005732575386782331
5,United States of America,2022,0,0,0.003669418285376746
6,United States of America,2023,0,0,0.0022611329981676925
7,Canada,2017,0,0,1.4887773486267276e-05
8,Canada,2018,0,0,1.4887773486267276e-05
9,Canada,2019,0,0,1.4887773486267276e-05
10,Canada,2020,0,0,0.0001942599707956843
11,Canada,2021,0,0,1.4887773486267276e-05
12,Canada,2022,0,0,1.4887773486267276e-05
13,Canada,2023,0,0,1.4887773486267276e-05
14,Cuba,2017,0,0,1.4887773486267276e-05
15,Cuba,2018,0,0,1.4887773486267276e-05
16,Cuba,2019,0,0,1.4887773486267276e-05
17,Cuba,2020,0,0,1.4887773486267276e-05
18,Cuba,2021,0,0,1.4887773486267276e-05
19,Cuba,2022,0,0,1.4887773486267276e-05
20,Cuba,2023,0,0,1.4887773486267276e-05
21,Haiti,2017,0,0,0.06667424511399872
22,Haiti,2018,0,0,0.0011550174287791133
23,Haiti,2019,0,0,0.0010225579888549679
24,Haiti,2020,0,0,0.026057946693111442
25,Haiti,2021,0,0,0.0009015910063152884
26,Haiti,2022,0,0,0.0007969572245514621
27,Haiti,2023,0,0,0.0002233844704125561
28,Dominican Republic,2017,0,0,0.0003387542408504925
29,Dominican Republic,2018,0,0,0.00035783638950043044
30,Dominican Republic,2019,0,0,0.0005820516361372017
31,Dominican Republic,2020,0,0,0.0005820516361372017
32,Dominican Republic,2021,0,0,0.0005820516361372017
33,Dominican Republic,2022,0,0,0.009645378413188023
34,Dominican Republic,2023,0,0,0.0044295046811332
35,Jamaica,2017,0,0,0.00019626425190803442
36,Jamaica,2018,0,0,0.00019626425190803442
37,Jamaica,2019,0,0,0.00020120563475402387
38,Jamaica,2020,0,0,0.0008738513746643377
39,Jamaica,2021,0,0,0.0008738513746643377
40,Jamaica,2022,0,0,0.0012325957692831718
41,Jamaica,2023,0,0,0.0008738513746643377
42,Trinidad and Tobago,2017,0,0,0.0003756364492174514
43,Trinidad and Tobago,2018,0,0,0.00019626425190803442
44,Trinidad and Tobago,2019,0,0,0.00020120563475402387
45,Trinidad and Tobago,2020,0,0,0.0008738513746643377
46,Trinidad and Tobago,2021,0,0,0.0008738513746643377
47,Trinidad and Tobago,2022,0,0,0.0012325957692831718
48,Trinidad and Tobago,2023,0,0,0.0008738513746643377
49,Barbados,2017,0,0,8.177136000840652e-05
50,Barbados,2018,0,0,8.177136000840652e-05
51,Barbados,2019,0,0,8.177136000840652e-05
52,Barbados,2020,0,0,0.00019626425190803442
53,Barbados,2021,0,0,0.00019626425190803442
54,Barbados,2022,0,0,0.00019626425190803442
55,Barbados,2023,0,0,0.00020120563475402387
56,Mexico,2017,0,0,0.025424227436339073
57,Mexico,2018,0,0,0.0003287295918296474
58,Mexico,2019,0,0,0.0005881158575466964
59,Mexico,2020,0,0,0.006219969378528737
60,Mexico,2021,0,0,0.0018783423307211467
61,Mexico,2022,0,0,0.0018610950040567798
62,Mexico,2023,0,0,0.0018610950040567798
63,Guatemala,2017,0,0,5.516047401555325e-05
64,Guatemala,2018,0,0,0.00983895165662541
65,Guatemala,2019,0,0,0.0001904061991075357
66,Guatemala,2020,0,0,0.0001904061991075357
67,Guatemala,2021,0,0,0.00018190514710235008
68,Guatemala,2022,0,0,0.00018705952058825287
69,Guatemala,2023,0,0,0.0007212077010716055
70,Honduras,2017,0,0,0.0005820516361372017
71,Honduras,2018,0,0,0.009645378413188023
72,Honduras,2019,0,0,0.0044295046811332
73,Honduras,2020,0,0,0.0044295046811332
74,Honduras,2021,0,0,0.0044295046811332
75,Honduras,2022,0,0,0.008134210624125829
76,Honduras,2023,0,0,0.008134210624125829
77,El Salvador,2017,0,0,3.793833358110386e-05
78,El Salvador,2018,0,0,0.00933900445151028
79,El Salvador,2019,0,0,0.00017793673565745147
80,El Salvador,2020,0,0,0.0044295046811332
81,El Salvador,2021,0,0,0.0044295046811332
82,El Salvador,2022,0,0,0.008134210624125829
83,El Salvador,2023,0,0,0.008134210624125829
84,Nicaragua,2017,0,0,3.3969922136205265e-05
85,Nicaragua,2018,0,0,0.009645378413188023
86,Nicaragua,2019,0,0,0.0044295046811332
87,Nicaragua,2020,0,0,0.0044295046811332
88,Nicaragua,2021,0,0,0.0044295046811332
89,Nicaragua,2022,0,0,0.008134210624125829
90,Nicaragua,2023,0,0,0.008134210624125829
91,Costa Rica,2017,0,0,0.0005820516361372017
92,Costa Rica,2018,0,0,0.009645378413188023
93,Costa Rica,2019,0,0,0.0044295046811332
94,Costa Rica,2020,0,0,0.0044295046811332
95,Costa Rica,2021,0,0,0.0044295046811332
96,Costa Rica,2022,0,0,0.008134210624125829
97,Costa Rica,2023,0,0,0.008134210624125829
98,Panama,2017,0,0,0.013244504931161406
99,Panama,2018,0,0,0.013244504931161406
100,Panama,2019,0,0,0.013244504931161406
101,Panama,2020,0,0,0.013244504931161406
102,Panama,2021,0,0,0.013244504931161406
103,Panama,2022,0,0,0.014739273242073215
104,Panama,2023,0,0,0.014739273242073215
105,Colombia,2017,1,1,0.9278044931054444
106,Colombia,2018,1,1,0.7530491156091845
107,Colombia,2019,1,1,0.5982302947101666
108,Colombia,2020,1,1,0.9535352899293436
109,Colombia,2021,1,1,0.8953382423906696
110,Colombia,2022,1,1,0.9551820689712955
111,Colombia,2023,1,1,0.9555295001849438
112,Venezuela,2017,0,0,0.012108900145912021
113,Venezuela,2018,0,0,0.010495665383277493
114,Venezuela,2019,0,0,0.011471502819785189
115,Venezuela,2020,0,0,0.026034611814445968
116,Venezuela,2021,0,0,0.18798057065624527
117,Venezuela,2022,0,0,0.15406675161292577
118,Venezuela,2023,0,0,0.11330325291189916
119,Guyana,2017,0,0,8.177136000840652e-05
120,Guyana,2018,0,0,8.177136000840652e-05
121,Guyana,2019,0,0,8.177136000840652e-05
122,Guyana,2020,0,0,0.00019626425190803442
123,Guyana,2021,0,0,0.00019626425190803442
124,Guyana,2022,0,0,0.00019626425190803442
125,Guyana,2023,0,0,0.00020120563475402387
126,Suriname,2017,0,0,7.630269545629015e-05
127,Suriname,2018,0,0,7.630269545629015e-05
128,Suriname,2019,0,0,7.630269545629015e-05
129,Suriname,2020,0,0,0.00010833344497582891
130,Suriname,2021,0,0,7.630269545629015e-05
131,Suriname,2022,0,0,7.630269545629015e-05
132,Suriname,2023,0,0,7.630269545629015e-05
133,Ecuador,2017,0,0,0.00943715896352106
134,Ecuador,2018,0,0,0.012108900145912021
135,Ecuador,2019,1,0,0.010495665383277493
136,Ecuador,2020,0,1,0.9535352899293436
137,Ecuador,2021,0,0,0.34178436453100136
138,Ecuador,2022,0,0,0.40077176941348797
139,Ecuador,2023,0,0,0.2481203271533145
140,Peru,2017,1,1,0.9555295001849438
141,Peru,2018,0,1,0.7596131666291748
142,Peru,2019,0,0,0.11463599988498309
143,Peru,2020,1,0,0.15730977052547993
144,Peru,2021,1,1,0.980736198589989
145,Peru,2022,1,1,0.980736198589989
146,Peru,2023,1,1,0.97763800381018
147,Brazil,2017,0,0,0.04412641318491024
148,Brazil,2018,0,0,0.04272133097265314
149,Brazil,2019,0,0,0.04092760899955897
150,Brazil,2020,0,0,0.040568864604940136
151,Brazil,2021,0,0,0.05322196322357
152,Brazil,2022,0,0,0.040003393054327166
153,Brazil,2023,0,0,0.040003393054327166
154,Bolivia,2017,0,0,0.09225595982280757
155,Bolivia,2018,0,0,0.06093704964152267
156,Bolivia,2019,0,0,0.0010279417532222895
157,Bolivia,2020,0,0,0.0005795112599487469
158,Bolivia,2021,0,0,0.04272133097265314
159,Bolivia,2022,0,0,0.04092760899955897
160,Bolivia,2023,0,0,0.040568864604940136
161,Paraguay,2017,0,0,0.0001381430350633014
162,Paraguay,2018,0,0,0.0001381430350633014
163,Paraguay,2019,0,0,0.0001381430350633014
164,Paraguay,2020,0,0,0.0001381430350633014
