,country,year,d_civil_conflict,preds,preds_proba
0,United States of America,2017,0,0,0.08793058105836712
1,United States of America,2018,0,0,0.07774166150837772
2,United States of America,2019,0,0,0.06818079559535727
3,United States of America,2020,0,0,0.05296919111926537
4,United States of America,2021,0,0,0.08193095908549104
5,United States of America,2022,0,0,0.08193095908549104
6,United States of America,2023,0,0,0.07584537387657746
7,Canada,2017,0,0,0.0
8,Canada,2018,0,0,0.0
9,Canada,2019,0,0,0.0
10,Canada,2020,0,0,0.0
11,Canada,2021,0,0,0.0
12,Canada,2022,0,0,0.0
13,Canada,2023,0,0,0.0
14,Cuba,2017,0,0,0.0009905894006934125
15,Cuba,2018,0,0,0.0022783556215948486
16,Cuba,2019,0,0,0.0025755324418028727
17,Cuba,2020,0,0,0.0029470034670629024
18,Cuba,2021,0,0,0.0063397721644378405
19,Cuba,2022,0,0,0.006587419514611194
20,Cuba,2023,0,0,0.0028727092620108967
21,Haiti,2017,0,0,0.06524452103946908
22,Haiti,2018,0,0,0.06858952917645343
23,Haiti,2019,0,0,0.11375657939550955
24,Haiti,2020,0,0,0.20363829253130902
25,Haiti,2021,0,0,0.20477736313546138
26,Haiti,2022,0,0,0.32363506561129135
27,Haiti,2023,0,0,0.3246478467875197
28,Dominican Republic,2017,0,0,0.0008254911672445105
29,Dominican Republic,2018,0,0,0.002435198943371306
30,Dominican Republic,2019,0,0,0.0020637279181112763
31,Dominican Republic,2020,0,0,0.024667758360180345
32,Dominican Republic,2021,0,0,0.024004961523535075
33,Dominican Republic,2022,0,0,0.01650306932624912
34,Dominican Republic,2023,0,0,0.0178120624628797
35,Jamaica,2017,0,0,0.0
36,Jamaica,2018,0,0,0.0
37,Jamaica,2019,0,0,0.0021792966815255077
38,Jamaica,2020,0,0,0.0003714710252600297
39,Jamaica,2021,0,0,0.0037270926201089646
40,Jamaica,2022,0,0,0.0
41,Jamaica,2023,0,0,0.0008273672835337027
42,Trinidad and Tobago,2017,0,0,0.0003714710252600297
43,Trinidad and Tobago,2018,0,0,0.007291445552961155
44,Trinidad and Tobago,2019,0,0,0.0005943536404160476
45,Trinidad and Tobago,2020,0,0,0.0
46,Trinidad and Tobago,2021,0,0,0.0
47,Trinidad and Tobago,2022,0,0,0.0
48,Trinidad and Tobago,2023,0,0,0.0
49,Barbados,2017,0,0,0.0
50,Barbados,2018,0,0,0.0
51,Barbados,2019,0,0,0.0
52,Barbados,2020,0,0,0.0
53,Barbados,2021,0,0,0.0
54,Barbados,2022,0,0,0.0
55,Barbados,2023,0,0,0.0
56,Mexico,2017,0,0,0.0990284067921512
57,Mexico,2018,0,0,0.0984819580287634
58,Mexico,2019,0,0,0.19025197602463578
59,Mexico,2020,0,0,0.19457225538206221
60,Mexico,2021,0,0,0.19390620111273899
61,Mexico,2022,0,0,0.1929500250451216
62,Mexico,2023,0,0,0.18024453670813254
63,Guatemala,2017,0,0,0.004870397886742612
64,Guatemala,2018,0,0,0.0016097077761267954
65,Guatemala,2019,0,0,0.0004952947003467063
66,Guatemala,2020,0,0,0.0014446095426778934
67,Guatemala,2021,0,0,0.0003714710252600297
68,Guatemala,2022,0,0,0.001114413075780089
69,Guatemala,2023,0,0,0.0034841623623198662
70,Honduras,2017,0,0,0.0033398622180197215
71,Honduras,2018,0,0,0.0032125007236448538
72,Honduras,2019,0,0,0.005144150054997009
73,Honduras,2020,0,0,0.0019335790509638947
74,Honduras,2021,0,0,0.009204387324743938
75,Honduras,2022,0,0,0.016953073342374975
76,Honduras,2023,0,0,0.0117073944711389
77,El Salvador,2017,0,0,0.004496568315290455
78,El Salvador,2018,0,0,0.008091957571898137
79,El Salvador,2019,0,0,0.0027382721290596474
80,El Salvador,2020,0,0,0.021571853109743157
81,El Salvador,2021,0,0,0.03434632892285196
82,El Salvador,2022,0,0,0.07729754561106712
83,El Salvador,2023,0,0,0.13475765608009294
84,Nicaragua,2017,0,0,0.018202669874289486
85,Nicaragua,2018,0,0,0.22590466327464848
86,Nicaragua,2019,0,0,0.41482218046111075
87,Nicaragua,2020,0,0,0.09357340694636382
88,Nicaragua,2021,0,0,0.04961357777108149
89,Nicaragua,2022,0,0,0.04483203357646152
90,Nicaragua,2023,0,0,0.10733425399101483
91,Costa Rica,2017,0,0,0.0
92,Costa Rica,2018,0,0,0.0
93,Costa Rica,2019,0,0,0.0
94,Costa Rica,2020,0,0,0.0
95,Costa Rica,2021,0,0,0.0
96,Costa Rica,2022,0,0,0.0
97,Costa Rica,2023,0,0,0.0
98,Panama,2017,0,0,0.0
99,Panama,2018,0,0,0.0009658246656760773
100,Panama,2019,0,0,0.0
101,Panama,2020,0,0,0.0014198448076605582
102,Panama,2021,0,0,0.0008254911672445105
103,Panama,2022,0,0,0.0008254911672445105
104,Panama,2023,0,0,0.0047754664025094935
105,Colombia,2017,0,0,0.4048254783024469
106,Colombia,2018,1,1,0.5067701738578412
107,Colombia,2019,1,1,0.8369956112898161
108,Colombia,2020,1,0,0.37875448804126355
109,Colombia,2021,1,1,0.7923400852078422
110,Colombia,2022,1,0,0.33061602422672265
111,Colombia,2023,1,0,0.3366797392800364
112,Venezuela,2017,0,0,0.30639533819325804
113,Venezuela,2018,0,0,0.38693274283913215
114,Venezuela,2019,0,0,0.48336678180660375
115,Venezuela,2020,0,0,0.46000071828452255
116,Venezuela,2021,0,0,0.46156540339304114
117,Venezuela,2022,0,0,0.3484251343835295
118,Venezuela,2023,0,0,0.3327493251341691
119,Guyana,2017,0,0,0.010602844406707706
120,Guyana,2018,0,0,0.011799806599212247
121,Guyana,2019,0,0,0.018171847963824185
122,Guyana,2020,0,0,0.004210004952947003
123,Guyana,2021,0,0,0.004007759616972098
124,Guyana,2022,0,0,0.0037353475317814097
125,Guyana,2023,0,0,0.0027199933960706624
126,Suriname,2017,0,0,0.0001485884101040119
127,Suriname,2018,0,0,0.0002971768202080238
128,Suriname,2019,0,0,0.0048497606075615
129,Suriname,2020,0,0,0.0008254911672445105
130,Suriname,2021,0,0,0.0009605715400663395
131,Suriname,2022,0,0,0.0018096481692321217
132,Suriname,2023,0,0,0.0008254911672445105
133,Ecuador,2017,0,0,0.00195995188565768
134,Ecuador,2018,0,0,0.0021934479586782703
135,Ecuador,2019,0,0,0.0027878015990943183
136,Ecuador,2020,0,0,0.0029859194792330006
137,Ecuador,2021,0,0,0.009081421302818034
138,Ecuador,2022,0,0,0.012893582395811221
139,Ecuador,2023,0,0,0.016173140875964054
140,Peru,2017,0,0,0.010727847354890446
141,Peru,2018,0,0,0.009234887615273945
142,Peru,2019,0,0,0.009224488570699567
143,Peru,2020,0,0,0.03481010486954022
144,Peru,2021,0,0,0.017738679514311018
145,Peru,2022,0,0,0.20730393925044738
146,Peru,2023,0,0,0.14993841390572446
147,Brazil,2017,0,0,0.07529648410034741
148,Brazil,2018,0,0,0.034580686772365817
149,Brazil,2019,0,0,0.3923604998270675
150,Brazil,2020,0,0,0.058429703860610256
151,Brazil,2021,0,0,0.045965867548334115
152,Brazil,2022,0,0,0.047630885706665786
153,Brazil,2023,0,0,0.02479555692780061
154,Bolivia,2017,0,0,0.0007960093398429208
155,Bolivia,2018,0,0,0.0007960093398429208
156,Bolivia,2019,0,0,0.07212863082105282
157,Bolivia,2020,0,0,0.02171057850849827
158,Bolivia,2021,0,0,0.003998379035526137
159,Bolivia,2022,0,0,0.007691219132526709
160,Bolivia,2023,0,0,0.005862809800402668
161,Paraguay,2017,0,0,0.0030826198731102143
162,Paraguay,2018,0,0,0.001807236019717446
163,Paraguay,2019,0,0,0.0020637279181112763
164,Paraguay,2020,0,0,0.003284275572537088
165,Paraguay,2021,0,0,0.005651076676336707
166,Paraguay,2022,0,0,0.0057987002266348476
167,Paraguay,2023,0,0,0.0038175214252480225
168,Chile,2017,0,0,0.0
169,Chile,2018,0,0,0.0
170,Chile,2019,0,0,0.015004106014507202
171,Chile,2020,0,0,0.022212412814195875
172,Chile,2021,0,0,0.005253876056253471
173,Chile,2022,0,0,0.005253876056253471
174,Chile,2023,0,0,0.0056253470815135
175,Argentina,2017,0,0,0.0009905894006934125
176,Argentina,2018,0,0,0.0012382367508667657
177,Argentina,2019,0,0,0.0051563716125380315
178,Argentina,2020,0,0,0.005981487556524704
179,Argentina,2021,0,0,0.004503054317318804
180,Argentina,2022,0,0,0.004916603950779285
181,Argentina,2023,0,0,0.005380058277532275
182,Uruguay,2017,0,0,0.0
183,Uruguay,2018,0,0,0.0
184,Uruguay,2019,0,0,0.0
185,Uruguay,2020,0,0,0.0
186,Uruguay,2021,0,0,0.0
187,Uruguay,2022,0,0,0.0
188,Uruguay,2023,0,0,0.0
189,United Kingdom,2017,0,0,0.0
190,United Kingdom,2018,0,0,0.001425741173140876
191,United Kingdom,2019,0,0,0.0
192,United Kingdom,2020,0,0,0.0
193,United Kingdom,2021,0,0,0.0
194,United Kingdom,2022,0,0,0.0
195,United Kingdom,2023,0,0,0.0
196,Ireland,2017,0,0,0.0
197,Ireland,2018,0,0,0.0
198,Ireland,2019,0,0,0.0
199,Ireland,2020,0,0,0.0003714710252600297
200,Ireland,2021,0,0,0.0003714710252600297
201,Ireland,2022,0,0,0.0003714710252600297
202,Ireland,2023,0,0,0.0003714710252600297
203,Netherlands,2017,0,0,0.13164772325247814
204,Netherlands,2018,0,0,0.13667496446099722
205,Netherlands,2019,0,0,0.0
206,Netherlands,2020,0,0,0.0
207,Netherlands,2021,0,0,0.0
208,Netherlands,2022,0,0,0.0
209,Netherlands,2023,0,0,0.0
210,Belgium,2017,0,0,0.0
211,Belgium,2018,0,0,0.0
212,Belgium,2019,0,0,0.0
213,Belgium,2020,0,0,0.0
214,Belgium,2021,0,0,0.0
215,Belgium,2022,0,0,0.0
216,Belgium,2023,0,0,0.0
217,Luxembourg,2017,0,0,0.0057878723554800815
218,Luxembourg,2018,0,0,0.0
219,Luxembourg,2019,0,0,0.0
220,Luxembourg,2020,0,0,0.0
221,Luxembourg,2021,0,0,0.0003714710252600297
222,Luxembourg,2022,0,0,0.0
223,Luxembourg,2023,0,0,0.0003714710252600297
224,France,2017,0,0,0.0028267176112644165
225,France,2018,0,0,0.01762541569376636
226,France,2019,0,0,0.0006191183754333828
227,France,2020,0,0,0.0
228,France,2021,0,0,0.0
229,France,2022,0,0,0.0
230,France,2023,0,0,0.0
231,Switzerland,2017,0,0,0.0
232,Switzerland,2018,0,0,0.0
233,Switzerland,2019,0,0,0.0
234,Switzerland,2020,0,0,0.0
235,Switzerland,2021,0,0,0.0
236,Switzerland,2022,0,0,0.0
237,Switzerland,2023,0,0,0.0
238,Spain,2017,0,0,0.0032914584177585657
239,Spain,2018,0,0,0.007577526485401672
240,Spain,2019,0,0,0.002399927957134495
241,Spain,2020,0,0,0.002399927957134495
242,Spain,2021,0,0,0.0032419289477238953
243,Spain,2022,0,0,0.013947370113789135
244,Spain,2023,0,0,0.0032419289477238953
245,Portugal,2017,0,0,0.0
246,Portugal,2018,0,0,0.0
247,Portugal,2019,0,0,0.0
248,Portugal,2020,0,0,0.0
249,Portugal,2021,0,0,0.0
250,Portugal,2022,0,0,0.0
251,Portugal,2023,0,0,0.0
252,Germany,2017,0,0,0.0
253,Germany,2018,0,0,0.0
254,Germany,2019,0,0,0.0
255,Germany,2020,0,0,0.0
256,Germany,2021,0,0,0.0
257,Germany,2022,0,0,0.0
258,Germany,2023,0,0,0.0
259,Poland,2017,0,0,0.0
260,Poland,2018,0,0,0.0
261,Poland,2019,0,0,0.0
262,Poland,2020,0,0,0.0
263,Poland,2021,0,0,0.0
264,Poland,2022,0,0,0.0
265,Poland,2023,0,0,0.0
266,Austria,2017,0,0,0.0
267,Austria,2018,0,0,0.0
268,Austria,2019,0,0,0.0
269,Austria,2020,0,0,0.0
270,Austria,2021,0,0,0.0
271,Austria,2022,0,0,0.0
272,Austria,2023,0,0,0.0
273,Hungary,2017,0,0,0.0
274,Hungary,2018,0,0,0.0
275,Hungary,2019,0,0,0.0
276,Hungary,2020,0,0,0.0
277,Hungary,2021,0,0,0.0
278,Hungary,2022,0,0,0.0
279,Hungary,2023,0,0,0.0
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.0
282,Czechia,2019,0,0,0.0
283,Czechia,2020,0,0,0.0006686478454680535
284,Czechia,2021,0,0,0.0
285,Czechia,2022,0,0,0.0
286,Czechia,2023,0,0,0.0
287,Slovakia,2017,0,0,0.0
288,Slovakia,2018,0,0,0.0
289,Slovakia,2019,0,0,0.0
290,Slovakia,2020,0,0,0.0
291,Slovakia,2021,0,0,0.0
292,Slovakia,2022,0,0,0.0
293,Slovakia,2023,0,0,0.0
294,Italy,2017,0,0,0.0
295,Italy,2018,0,0,0.0
296,Italy,2019,0,0,0.0
297,Italy,2020,0,0,0.0
298,Italy,2021,0,0,0.0
299,Italy,2022,0,0,0.0
300,Italy,2023,0,0,0.0
301,Malta,2017,0,0,0.002030708271421496
302,Malta,2018,0,0,0.0024764735017335313
303,Malta,2019,0,0,0.0009905894006934125
304,Malta,2020,0,0,0.0
305,Malta,2021,0,0,0.0003714710252600297
306,Malta,2022,0,0,0.0
307,Malta,2023,0,0,0.0
308,Albania,2017,0,0,0.0
309,Albania,2018,0,0,0.0
310,Albania,2019,0,0,0.0
311,Albania,2020,0,0,0.0
312,Albania,2021,0,0,0.0
313,Albania,2022,0,0,0.0
314,Albania,2023,0,0,0.0
315,Serbia,2017,0,0,0.0
316,Serbia,2018,0,0,0.004125097290030425
317,Serbia,2019,0,0,0.013952569636076323
318,Serbia,2020,0,0,0.035182957211189005
319,Serbia,2021,0,0,0.032616698144186995
320,Serbia,2022,0,0,0.04036704174148453
321,Serbia,2023,0,0,0.05040308461556604
322,Montenegro,2017,0,0,0.008745489280407559
323,Montenegro,2018,0,0,0.014920752847944531
324,Montenegro,2019,0,0,0.005361565131253096
325,Montenegro,2020,0,0,0.020147880846246375
326,Montenegro,2021,0,0,0.011894738083445365
327,Montenegro,2022,0,0,0.007993059441796442
328,Montenegro,2023,0,0,0.004135710747894998
329,North Macedonia,2017,0,0,0.0074815229347175854
330,North Macedonia,2018,0,0,0.012287060801176702
331,North Macedonia,2019,0,0,0.0027984150569588906
332,North Macedonia,2020,0,0,0.002600297176820208
333,North Macedonia,2021,0,0,0.0019687964338781574
334,North Macedonia,2022,0,0,0.00518558542332688
335,North Macedonia,2023,0,0,0.00518558542332688
336,Croatia,2017,0,0,0.0
337,Croatia,2018,0,0,0.0
338,Croatia,2019,0,0,0.0
339,Croatia,2020,0,0,0.0002971768202080238
340,Croatia,2021,0,0,0.0
341,Croatia,2022,0,0,0.0
342,Croatia,2023,0,0,0.0
343,Bosnia-Herzegovina,2017,0,0,0.006132220099530648
344,Bosnia-Herzegovina,2018,0,0,0.01726396848982287
345,Bosnia-Herzegovina,2019,0,0,0.010057430599778297
346,Bosnia-Herzegovina,2020,0,0,0.027977664567560557
347,Bosnia-Herzegovina,2021,0,0,0.022725771834241373
348,Bosnia-Herzegovina,2022,0,0,0.14751620345973987
349,Bosnia-Herzegovina,2023,0,0,0.023097242859501405
350,Slovenia,2017,0,0,0.0
351,Slovenia,2018,0,0,0.0
352,Slovenia,2019,0,0,0.0
353,Slovenia,2020,0,0,0.0
354,Slovenia,2021,0,0,0.0
355,Slovenia,2022,0,0,0.0
356,Slovenia,2023,0,0,0.0
357,Greece,2017,0,0,0.025196885003720065
358,Greece,2018,0,0,0.0013496780584447746
359,Greece,2019,0,0,0.0030955918771669146
360,Greece,2020,0,0,0.0
361,Greece,2021,0,0,0.00024764735017335313
362,Greece,2022,0,0,0.00402780725960518
363,Greece,2023,0,0,0.0
364,Cyprus,2017,0,0,0.0
365,Cyprus,2018,0,0,0.0
366,Cyprus,2019,0,0,0.0002971768202080238
367,Cyprus,2020,0,0,0.0002971768202080238
368,Cyprus,2021,0,0,0.0005094459774994694
369,Cyprus,2022,0,0,0.0008396424443972735
370,Cyprus,2023,0,0,0.0002971768202080238
371,Bulgaria,2017,0,0,0.0
372,Bulgaria,2018,0,0,0.0
