,country,year,d_ns,preds,preds_proba
0,United States of America,2017,0,0,0.10829874402883255
1,United States of America,2018,0,0,0.11698588407659208
2,United States of America,2019,1,0,0.14529670182325058
3,United States of America,2020,0,0,0.23329148113440168
4,United States of America,2021,0,0,0.09688807382391453
5,United States of America,2022,1,0,0.08443723803237069
6,United States of America,2023,0,0,0.10609056012817075
7,Canada,2017,0,0,0.010917088074167719
8,Canada,2018,0,0,0.012747576906868943
9,Canada,2019,0,0,0.01885535187526338
10,Canada,2020,0,0,0.00927383825613914
11,Canada,2021,0,0,0.014134709931170107
12,Canada,2022,0,0,0.0031473872734934685
13,Canada,2023,0,0,0.01483881163084703
14,Cuba,2017,0,0,0.000995575221238938
15,Cuba,2018,0,0,0.000995575221238938
16,Cuba,2019,0,0,0.000995575221238938
17,Cuba,2020,0,0,0.000995575221238938
18,Cuba,2021,0,0,0.000995575221238938
19,Cuba,2022,0,0,0.0032079646017699115
20,Cuba,2023,0,0,0.0021017699115044247
21,Haiti,2017,0,0,0.10744558416018594
22,Haiti,2018,0,0,0.08103227279112238
23,Haiti,2019,0,0,0.11829427946684583
24,Haiti,2020,0,0,0.17944649377171498
25,Haiti,2021,1,0,0.2462517939287851
26,Haiti,2022,1,0,0.2715731662634319
27,Haiti,2023,1,0,0.28678685498375794
28,Dominican Republic,2017,0,0,0.025356440511307768
29,Dominican Republic,2018,0,0,0.030426499508357907
30,Dominican Republic,2019,0,0,0.03645965023177412
31,Dominican Republic,2020,0,0,0.07346458236944961
32,Dominican Republic,2021,0,0,0.050293947694390155
33,Dominican Republic,2022,0,0,0.039082752301778836
34,Dominican Republic,2023,0,0,0.04526866324432694
35,Jamaica,2017,0,0,0.031071847277599488
36,Jamaica,2018,0,0,0.012343525451932532
37,Jamaica,2019,0,0,0.03858156961033068
38,Jamaica,2020,0,0,0.02698831404583617
39,Jamaica,2021,0,0,0.012583200968156719
40,Jamaica,2022,0,0,0.016914040973775486
41,Jamaica,2023,0,0,0.021549726085124316
42,Trinidad and Tobago,2017,0,0,0.0012444690265486725
43,Trinidad and Tobago,2018,0,0,0.0
44,Trinidad and Tobago,2019,0,0,0.03247992788921992
45,Trinidad and Tobago,2020,0,0,0.045069341916687045
46,Trinidad and Tobago,2021,0,0,0.032497861037684046
47,Trinidad and Tobago,2022,0,0,0.0317419613326693
48,Trinidad and Tobago,2023,0,0,0.030644545965342426
49,Barbados,2017,0,0,0.0
50,Barbados,2018,0,0,0.0007374631268436578
51,Barbados,2019,0,0,0.006373788453434471
52,Barbados,2020,0,0,0.004682890855457227
53,Barbados,2021,0,0,0.0025073746312684365
54,Barbados,2022,0,0,0.0025073746312684365
55,Barbados,2023,0,0,0.010189282202556538
56,Mexico,2017,1,1,0.8718228182829952
57,Mexico,2018,1,1,0.8392171250578327
58,Mexico,2019,1,1,0.8212811524758425
59,Mexico,2020,1,1,0.745142308527264
60,Mexico,2021,1,1,0.6932880664075353
61,Mexico,2022,1,1,0.7217404399926522
62,Mexico,2023,1,1,0.6773865208046623
63,Guatemala,2017,0,0,0.43282162773313226
64,Guatemala,2018,0,0,0.26441447564235177
65,Guatemala,2019,0,0,0.4165177172009551
66,Guatemala,2020,0,0,0.2887905236356565
67,Guatemala,2021,0,0,0.33259354337894165
68,Guatemala,2022,1,0,0.2792191584226983
69,Guatemala,2023,0,0,0.2681036576501179
70,Honduras,2017,0,1,0.7011720948667851
71,Honduras,2018,1,1,0.7470396614201925
72,Honduras,2019,1,1,0.6699586487750208
73,Honduras,2020,1,1,0.6566899730063447
74,Honduras,2021,1,1,0.5627598618195963
75,Honduras,2022,1,0,0.39301531187593136
76,Honduras,2023,1,0,0.40032895447718453
77,El Salvador,2017,0,0,0.1291046435128294
78,El Salvador,2018,0,0,0.17027912782890667
79,El Salvador,2019,0,0,0.0966824473461642
80,El Salvador,2020,0,0,0.07160854754881299
81,El Salvador,2021,0,0,0.08482230650372242
82,El Salvador,2022,0,0,0.27835324397824396
83,El Salvador,2023,0,0,0.10921549566461075
84,Nicaragua,2017,0,0,0.08710253610696088
85,Nicaragua,2018,0,0,0.34612987184889843
86,Nicaragua,2019,0,0,0.35410404492262904
87,Nicaragua,2020,0,0,0.2008389042127981
88,Nicaragua,2021,0,0,0.09538040008172753
89,Nicaragua,2022,0,0,0.09563288849793272
90,Nicaragua,2023,0,0,0.09081355591311341
91,Costa Rica,2017,0,0,0.005420353982300886
92,Costa Rica,2018,0,0,0.009758217446270541
93,Costa Rica,2019,0,0,0.007337758112094395
94,Costa Rica,2020,0,0,0.00602734286362605
95,Costa Rica,2021,0,0,0.0118547197640118
96,Costa Rica,2022,0,0,0.06495206489675516
97,Costa Rica,2023,0,0,0.08207235242633475
98,Panama,2017,0,0,0.0009481668773704172
99,Panama,2018,0,0,0.0009481668773704172
100,Panama,2019,0,0,0.001883164770332912
101,Panama,2020,0,0,0.001611883691529709
102,Panama,2021,0,0,0.0025442477876106194
103,Panama,2022,0,0,0.005409818794774548
104,Panama,2023,0,0,0.012385868801798008
105,Colombia,2017,1,0,0.060363032984714377
106,Colombia,2018,1,0,0.07335683613338483
107,Colombia,2019,1,0,0.08642756579703485
108,Colombia,2020,1,0,0.11539085914085914
109,Colombia,2021,1,0,0.17542044975673296
110,Colombia,2022,1,0,0.16272746427613688
