,country,year,d_osv,preds,preds_proba
0,United States of America,2017,1,0,0.4137069185926959
1,United States of America,2018,1,0,0.4125689014984997
2,United States of America,2019,0,0,0.40837574606304494
3,United States of America,2020,0,0,0.3835225435823074
4,United States of America,2021,0,0,0.4138445896391085
5,United States of America,2022,0,0,0.4404935730848075
6,United States of America,2023,0,0,0.4334403362051594
7,Canada,2017,0,0,0.06491002999763984
8,Canada,2018,0,0,0.08017691894951287
9,Canada,2019,0,0,0.08130730927369123
10,Canada,2020,0,0,0.09625455107006917
11,Canada,2021,0,0,0.13254086769716392
12,Canada,2022,0,0,0.14445990028210307
13,Canada,2023,0,0,0.15834827987456068
14,Cuba,2017,0,0,0.013188971486836046
15,Cuba,2018,0,0,0.013890452656199108
16,Cuba,2019,0,0,0.013222177334540994
17,Cuba,2020,0,0,0.01464973194365568
18,Cuba,2021,0,0,0.013458674313437745
19,Cuba,2022,0,0,0.013435767890207527
20,Cuba,2023,0,0,0.014952232306509354
21,Haiti,2017,1,0,0.18142867713809524
22,Haiti,2018,1,0,0.12744982233250915
23,Haiti,2019,1,0,0.2077551750306551
24,Haiti,2020,1,0,0.33985078681073594
25,Haiti,2021,1,0,0.3657004184175957
26,Haiti,2022,1,0,0.40618069228538745
27,Haiti,2023,1,0,0.41386411594280653
28,Dominican Republic,2017,0,0,0.007590966396218219
29,Dominican Republic,2018,0,0,0.025566077900062684
30,Dominican Republic,2019,0,0,0.049992027502519416
31,Dominican Republic,2020,0,0,0.026034696757253114
32,Dominican Republic,2021,0,0,0.0341995486548894
33,Dominican Republic,2022,0,0,0.03148868451962951
34,Dominican Republic,2023,0,0,0.03529848331946139
35,Jamaica,2017,0,0,0.003795438444061572
36,Jamaica,2018,0,0,0.003573509998769134
37,Jamaica,2019,0,0,0.015912494211632093
38,Jamaica,2020,0,0,0.003163824978702333
39,Jamaica,2021,0,0,0.0038892860397983947
40,Jamaica,2022,0,0,0.0028058256631989034
41,Jamaica,2023,0,0,0.20304478093695755
42,Trinidad and Tobago,2017,0,0,0.003065588904976686
43,Trinidad and Tobago,2018,0,0,0.003065588904976686
44,Trinidad and Tobago,2019,0,0,0.02317730977669165
45,Trinidad and Tobago,2020,0,0,0.023070277222248504
46,Trinidad and Tobago,2021,0,0,0.003065588904976686
47,Trinidad and Tobago,2022,0,0,0.0027683457614350463
48,Trinidad and Tobago,2023,0,0,0.0027683457614350463
49,Barbados,2017,0,0,0.002685789627457924
50,Barbados,2018,0,0,0.005640818089867014
51,Barbados,2019,0,0,0.2352179851092203
52,Barbados,2020,0,0,0.30893007416133544
53,Barbados,2021,0,0,0.002660257674171148
54,Barbados,2022,0,0,0.1718643825095836
55,Barbados,2023,0,0,0.17313799745333228
56,Mexico,2017,1,1,0.7679360130423297
57,Mexico,2018,1,1,0.6830397456423384
58,Mexico,2019,1,1,0.6871887719580708
59,Mexico,2020,1,1,0.6432913197459745
60,Mexico,2021,1,1,0.5102426144549969
61,Mexico,2022,1,0,0.45335158057729735
62,Mexico,2023,1,0,0.4229123011309917
63,Guatemala,2017,0,0,0.12403615045140784
64,Guatemala,2018,0,0,0.12421267926648688
65,Guatemala,2019,0,0,0.11537833747115388
66,Guatemala,2020,0,0,0.0661395571024431
