,country,year,d_protest,preds,preds_proba
0,Afghanistan,2017,1,1,0.5154867256637168
1,Afghanistan,2018,1,1,0.504424778761062
2,Afghanistan,2019,1,1,0.5530973451327433
3,Afghanistan,2020,1,1,0.5796460176991151
4,Afghanistan,2021,1,1,0.6061946902654868
5,Afghanistan,2022,1,1,0.6548672566371682
6,Afghanistan,2023,1,1,0.6548672566371682
7,Albania,2018,1,1,0.5685840707964602
8,Albania,2019,1,1,0.5641592920353983
9,Albania,2020,1,1,0.5353982300884956
10,Albania,2021,1,1,0.5287610619469026
11,Albania,2022,1,1,0.5641592920353983
12,Albania,2023,1,1,0.5707964601769911
13,Algeria,2017,1,1,0.8672566371681416
14,Algeria,2018,1,1,0.7787610619469026
15,Algeria,2019,1,1,0.7190265486725663
16,Algeria,2020,1,1,0.7300884955752213
17,Algeria,2021,1,1,0.6703539823008849
18,Algeria,2022,1,1,0.6703539823008849
19,Algeria,2023,1,1,0.5907079646017699
20,Angola,2017,1,0,0.27876106194690264
21,Angola,2018,1,0,0.26327433628318586
22,Angola,2019,1,0,0.2721238938053097
23,Angola,2020,1,0,0.30973451327433627
24,Angola,2021,1,0,0.32079646017699115
25,Angola,2022,1,0,0.34292035398230086
26,Angola,2023,1,0,0.28982300884955753
27,Argentina,2018,1,1,0.6106194690265486
28,Argentina,2019,1,1,0.6703539823008849
29,Argentina,2020,1,1,0.6349557522123894
30,Argentina,2021,1,1,0.6283185840707964
31,Argentina,2022,1,1,0.6216814159292036
32,Argentina,2023,1,1,0.5907079646017699
33,Armenia,2018,1,1,0.6128318584070797
34,Armenia,2019,1,1,0.6482300884955752
35,Armenia,2020,1,1,0.7411504424778761
36,Armenia,2021,1,1,0.7057522123893806
37,Armenia,2022,1,1,0.6880530973451328
38,Armenia,2023,1,1,0.7146017699115044
39,Australia,2021,1,1,0.6017699115044248
40,Australia,2022,1,1,0.5752212389380531
41,Australia,2023,1,1,0.584070796460177
42,Austria,2020,1,1,0.5951327433628318
43,Austria,2021,1,1,0.5907079646017699
44,Austria,2022,1,1,0.5951327433628318
45,Austria,2023,1,1,0.5862831858407079
46,Azerbaijan,2018,1,1,0.6172566371681416
47,Azerbaijan,2019,1,1,0.6194690265486725
48,Azerbaijan,2020,1,1,0.6150442477876106
49,Azerbaijan,2021,1,1,0.6194690265486725
50,Azerbaijan,2022,1,1,0.6548672566371682
51,Azerbaijan,2023,1,1,0.5973451327433629
52,Bahrain,2017,1,1,0.7300884955752213
53,Bahrain,2018,1,1,0.6836283185840708
54,Bahrain,2019,1,1,0.5597345132743363
55,Bahrain,2020,1,1,0.5066371681415929
56,Bahrain,2021,1,0,0.37389380530973454
57,Bahrain,2022,1,0,0.34513274336283184
58,Bahrain,2023,1,0,0.33185840707964603
59,Bangladesh,2017,1,1,0.8606194690265486
60,Bangladesh,2018,1,1,0.7699115044247787
61,Bangladesh,2019,1,1,0.75
62,Bangladesh,2020,1,1,0.7566371681415929
63,Bangladesh,2021,1,1,0.7588495575221239
64,Bangladesh,2022,1,1,0.7013274336283186
65,Bangladesh,2023,1,1,0.7013274336283186
66,Barbados,2018,0,1,0.5420353982300885
67,Barbados,2019,0,1,0.5309734513274337
