,country,year,d_sb,preds,preds_proba
0,United States of America,2017,0,0,0.1341991341991342
1,United States of America,2018,0,0,0.12554112554112554
2,United States of America,2019,0,0,0.10822510822510822
3,United States of America,2020,0,0,0.09090909090909091
4,United States of America,2021,0,0,0.1645021645021645
5,United States of America,2022,0,0,0.1471861471861472
6,United States of America,2023,0,0,0.1645021645021645
7,Canada,2017,0,0,0.008658008658008658
8,Canada,2018,0,0,0.008658008658008658
9,Canada,2019,0,0,0.004329004329004329
10,Canada,2020,0,0,0.030303030303030304
11,Canada,2021,0,0,0.06926406926406926
12,Canada,2022,0,0,0.1471861471861472
13,Canada,2023,0,0,0.07792207792207792
14,Cuba,2017,0,0,0.021645021645021644
15,Cuba,2018,0,0,0.04329004329004329
16,Cuba,2019,0,0,0.05194805194805195
17,Cuba,2020,0,0,0.06926406926406926
18,Cuba,2021,0,0,0.11255411255411256
19,Cuba,2022,0,0,0.12554112554112554
20,Cuba,2023,0,0,0.08658008658008658
21,Haiti,2017,0,0,0.06926406926406926
22,Haiti,2018,0,0,0.07792207792207792
23,Haiti,2019,0,0,0.21212121212121213
24,Haiti,2020,0,0,0.31601731601731603
25,Haiti,2021,0,0,0.3939393939393939
26,Haiti,2022,0,0,0.3593073593073593
27,Haiti,2023,0,0,0.39826839826839827
28,Dominican Republic,2017,0,0,0.025974025974025976
29,Dominican Republic,2018,0,0,0.04329004329004329
30,Dominican Republic,2019,0,0,0.04329004329004329
31,Dominican Republic,2020,0,0,0.09523809523809523
32,Dominican Republic,2021,0,0,0.09523809523809523
33,Dominican Republic,2022,0,0,0.09523809523809523
34,Dominican Republic,2023,0,0,0.11688311688311688
35,Jamaica,2017,0,0,0.008658008658008658
36,Jamaica,2018,0,0,0.012987012987012988
37,Jamaica,2019,0,0,0.030303030303030304
38,Jamaica,2020,0,0,0.017316017316017316
39,Jamaica,2021,0,0,0.017316017316017316
40,Jamaica,2022,0,0,0.017316017316017316
41,Jamaica,2023,0,0,0.06493506493506493
42,Trinidad and Tobago,2017,0,0,0.021645021645021644
43,Trinidad and Tobago,2018,0,0,0.021645021645021644
44,Trinidad and Tobago,2019,0,0,0.012987012987012988
45,Trinidad and Tobago,2020,0,0,0.04329004329004329
46,Trinidad and Tobago,2021,0,0,0.030303030303030304
47,Trinidad and Tobago,2022,0,0,0.03896103896103896
48,Trinidad and Tobago,2023,0,0,0.03896103896103896
49,Barbados,2017,0,0,0.0
50,Barbados,2018,0,0,0.004329004329004329
51,Barbados,2019,0,0,0.017316017316017316
52,Barbados,2020,0,0,0.05194805194805195
53,Barbados,2021,0,0,0.0
54,Barbados,2022,0,0,0.0
55,Barbados,2023,0,0,0.0
56,Mexico,2017,0,0,0.09090909090909091
57,Mexico,2018,0,0,0.10822510822510822
58,Mexico,2019,0,0,0.19913419913419914
59,Mexico,2020,0,0,0.19047619047619047
60,Mexico,2021,0,0,0.18181818181818182
61,Mexico,2022,0,0,0.1774891774891775
62,Mexico,2023,0,0,0.13852813852813853
63,Guatemala,2017,0,0,0.025974025974025976
64,Guatemala,2018,0,0,0.008658008658008658
65,Guatemala,2019,0,0,0.03463203463203463
66,Guatemala,2020,0,0,0.05194805194805195
