,country,year,d_terror,preds,preds_proba
0,United States of America,2017,1,1,0.6321688152533743
1,United States of America,2018,1,1,0.6131380612851202
2,United States of America,2019,1,1,0.5379055576776165
3,United States of America,2020,1,0,0.47911574675324653
4,Canada,2017,1,0,0.41106997105198306
5,Canada,2018,1,0,0.40289955258156473
6,Canada,2019,0,0,0.395800616795129
7,Canada,2020,1,0,0.36946279211980426
8,Cuba,2017,0,0,0.043080357142857136
9,Cuba,2018,0,0,0.1093605158730159
10,Cuba,2019,0,0,0.12411780303030305
11,Cuba,2020,0,0,0.14934439033189034
12,Haiti,2017,0,0,0.35973829365079374
13,Haiti,2018,0,0,0.31920337301587315
14,Haiti,2019,1,0,0.4319809523809522
15,Haiti,2020,0,0,0.40759186507936496
16,Dominican Republic,2017,0,0,0.05390932539682541
17,Dominican Republic,2018,0,0,0.06537063492063493
18,Dominican Republic,2019,0,0,0.09998571428571427
19,Dominican Republic,2020,0,0,0.15684583333333335
20,Jamaica,2017,0,0,0.05164128077740282
21,Jamaica,2018,0,0,0.0737910823647044
22,Jamaica,2019,0,0,0.09299961411073615
23,Jamaica,2020,0,0,0.07959464285714286
24,Trinidad and Tobago,2017,0,0,0.04921964285714286
25,Trinidad and Tobago,2018,0,0,0.03528174603174603
26,Trinidad and Tobago,2019,0,0,0.050918055555555564
27,Trinidad and Tobago,2020,0,0,0.08465416666666666
28,Barbados,2017,0,0,0.021490079365079368
29,Barbados,2018,0,0,0.029900198412698413
30,Barbados,2019,0,0,0.056513492063492064
31,Barbados,2020,0,0,0.08069087301587304
32,Mexico,2017,1,1,0.699679548229548
33,Mexico,2018,1,1,0.5846279761904759
34,Mexico,2019,1,1,0.631810912698412
35,Mexico,2020,1,1,0.6504095238095232
36,Guatemala,2017,0,0,0.2390031746031745
37,Guatemala,2018,0,0,0.2955450396825395
38,Guatemala,2019,0,0,0.3337315476190476
39,Guatemala,2020,1,0,0.35915393217893216
40,Honduras,2017,1,0,0.4831324792960662
41,Honduras,2018,0,0,0.39407593167701876
42,Honduras,2019,1,0,0.4069140269151142
43,Honduras,2020,1,0,0.3982330384591258
44,El Salvador,2017,0,0,0.1862670634920634
45,El Salvador,2018,0,0,0.228198520923521
46,El Salvador,2019,0,0,0.2623325396825395
47,El Salvador,2020,0,0,0.37226646825396836
48,Nicaragua,2017,0,0,0.24686111111111111
49,Nicaragua,2018,1,1,0.5586648809523811
50,Nicaragua,2019,0,1,0.5546353354978354
51,Nicaragua,2020,1,0,0.3989744769119769
52,Costa Rica,2017,0,0,0.05838208874458878
53,Costa Rica,2018,0,0,0.1720301587301587
54,Costa Rica,2019,0,0,0.11976626984126974
55,Costa Rica,2020,0,0,0.09543396464646461
56,Panama,2017,0,0,0.06405694444444447
57,Panama,2018,0,0,0.16761944444444443
58,Panama,2019,0,0,0.19034940476190473
59,Panama,2020,0,0,0.1638857142857143
60,Colombia,2017,1,1,0.8715052128427131
61,Colombia,2018,1,1,0.8485159992784987
62,Colombia,2019,1,1,0.8555528318903319
63,Colombia,2020,1,1,0.7080873556998558
64,Venezuela,2017,1,1,0.6725803391053392
65,Venezuela,2018,1,1,0.6784440295815298
66,Venezuela,2019,1,1,0.6772604256854258
67,Venezuela,2020,1,1,0.6665181096681096
68,Guyana,2017,0,0,0.06660019841269843
69,Guyana,2018,0,0,0.12086706349206346
70,Guyana,2019,0,0,0.1459498015873016
71,Guyana,2020,0,0,0.12444940476190473
72,Suriname,2017,0,0,0.0686529761904762
73,Suriname,2018,0,0,0.08886011904761902
74,Suriname,2019,0,0,0.19502857142857144
75,Suriname,2020,0,0,0.11830476190476191
76,Ecuador,2017,0,0,0.2743068903318906
77,Ecuador,2018,1,0,0.23100714285714277
78,Ecuador,2019,1,0,0.23705773809523806
79,Ecuador,2020,0,0,0.2446918650793651
80,Peru,2017,1,1,0.698479166666667
81,Peru,2018,1,1,0.7064007936507938
82,Peru,2019,0,1,0.6155605158730159
83,Peru,2020,0,1,0.6212341269841274
84,Brazil,2017,0,0,0.4866894346766432
85,Brazil,2018,1,0,0.430653114216701
86,Brazil,2019,1,1,0.5684406204906203
87,Brazil,2020,1,1,0.5171320392942483
88,Bolivia,2017,0,0,0.11862043650793651
89,Bolivia,2018,1,0,0.14597837301587302
90,Bolivia,2019,0,0,0.42861670274170277
91,Bolivia,2020,0,0,0.36271111111111076
92,Paraguay,2017,1,0,0.49001868686868677
93,Paraguay,2018,1,1,0.5082507936507936
94,Paraguay,2019,0,0,0.46551372655122636
95,Paraguay,2020,0,0,0.4244786075036073
96,Chile,2017,0,0,0.4519713522588518
97,Chile,2018,0,0,0.29418646214896194
98,Chile,2019,0,0,0.22562400793650805
99,Chile,2020,1,0,0.2199059523809524
100,Argentina,2017,0,0,0.08181488095238094
101,Argentina,2018,0,0,0.04209305555555556
102,Argentina,2019,0,0,0.09981468253968256
103,Argentina,2020,0,0,0.07710793650793653
104,Uruguay,2017,0,0,0.18839054834054836
105,Uruguay,2018,0,0,0.18488071789321794
106,Uruguay,2019,0,0,0.20947974386724388
107,Uruguay,2020,0,0,0.18904232804232807
108,United Kingdom,2017,1,1,0.7327152417027415
109,United Kingdom,2018,1,1,0.7023655122655119
110,United Kingdom,2019,1,1,0.7064634559884565
111,United Kingdom,2020,1,1,0.6242302600177602
112,Ireland,2017,0,0,0.28133111471861516
113,Ireland,2018,0,0,0.27730174963925003
114,Ireland,2019,0,0,0.25063865440115446
115,Ireland,2020,0,0,0.2596386904761906
116,Netherlands,2017,0,0,0.1506537192482313
117,Netherlands,2018,1,0,0.1582956204026325
118,Netherlands,2019,1,0,0.25784323945025167
119,Netherlands,2020,0,0,0.3097597222222222
120,Belgium,2017,1,0,0.454786343517594
121,Belgium,2018,1,0,0.43975860181485227
122,Belgium,2019,0,0,0.44069931249306304
123,Belgium,2020,0,0,0.4078848464035969
124,Luxembourg,2017,0,0,0.07382539682539684
125,Luxembourg,2018,0,0,0.08608710317460319
126,Luxembourg,2019,0,0,0.13366019119769115
127,Luxembourg,2020,0,0,0.21233452380952372
128,France,2017,1,1,0.6291716810966811
129,France,2018,1,1,0.5402248737373739
130,France,2019,1,0,0.46534702380952364
131,France,2020,1,0,0.43550966810966757
132,Switzerland,2017,0,0,0.04586087662337662
133,Switzerland,2018,0,0,0.05129218975468978
134,Switzerland,2019,0,0,0.07112332944832946
135,Switzerland,2020,1,0,0.11297460317460313
136,Spain,2017,1,0,0.08301975108225111
137,Spain,2018,0,0,0.08570088383838385
138,Spain,2019,0,0,0.1260943362193362
139,Spain,2020,0,0,0.1430251623376624
140,Portugal,2017,0,0,0.08221011904761903
141,Portugal,2018,0,0,0.13663409090909093
142,Portugal,2019,0,0,0.13442115384615386
143,Portugal,2020,0,0,0.2344031746031747
144,Germany,2017,1,1,0.5823622093692219
145,Germany,2018,0,1,0.5281627636252637
146,Germany,2019,1,1,0.5546334040959038
147,Germany,2020,1,0,0.49010906732156717
148,Poland,2017,0,0,0.09559305555555557
149,Poland,2018,0,0,0.11993630952380956
150,Poland,2019,0,0,0.1269861111111111
151,Poland,2020,0,0,0.16820436507936515
152,Austria,2017,1,0,0.15194768518518514
153,Austria,2018,1,0,0.14565601851851856
154,Austria,2019,0,0,0.17692566137566137
155,Austria,2020,1,0,0.18646436988936985
156,Hungary,2017,0,0,0.09079837662337667
157,Hungary,2018,0,0,0.10742757936507939
158,Hungary,2019,0,0,0.12552635281385288
159,Hungary,2020,0,0,0.1437937049062048
160,Czechia,2017,0,0,0.10747658730158725
161,Czechia,2018,0,0,0.11954742063492058
162,Czechia,2019,0,0,0.0961039682539682
163,Czechia,2020,0,0,0.16337976190476192
164,Slovakia,2017,0,0,0.03579921728533933
165,Slovakia,2018,0,0,0.061513502999625054
166,Slovakia,2019,0,0,0.09066132045994256
167,Slovakia,2020,0,0,0.1648265512265512
168,Italy,2017,0,0,0.3124008297258297
169,Italy,2018,0,0,0.2747865440115439
170,Italy,2019,0,0,0.20330758669370871
171,Italy,2020,0,0,0.25730177861290066
172,Malta,2017,1,0,0.1272877886002886
173,Malta,2018,0,0,0.1428405663780665
174,Malta,2019,0,0,0.14857817460317466
175,Malta,2020,0,0,0.09353968253968258
176,Albania,2017,0,0,0.1924324675324674
177,Albania,2018,0,0,0.1903902056277056
178,Albania,2019,0,0,0.1946904149765369
179,Albania,2020,0,0,0.1758906133892355
180,Serbia,2017,0,0,0.14192142857142848
181,Serbia,2018,0,0,0.20327350288600285
182,Serbia,2019,0,0,0.21195225468975465
183,Serbia,2020,0,0,0.25562415223665236
184,Montenegro,2017,0,0,0.09415014430014429
185,Montenegro,2018,1,0,0.1293517316017316
186,Montenegro,2019,0,0,0.19150932539682533
187,Montenegro,2020,0,0,0.25191601731601737
188,North Macedonia,2017,0,0,0.2350368034743034
189,North Macedonia,2018,0,0,0.2571376332001332
190,North Macedonia,2019,0,0,0.1471307538043759
191,North Macedonia,2020,0,0,0.21460601343101354
192,Croatia,2017,0,0,0.026542261904761905
193,Croatia,2018,0,0,0.020165883952005997
194,Croatia,2019,0,0,0.03626826490438697
195,Croatia,2020,1,0,0.09714722222222225
196,Bosnia-Herzegovina,2017,0,0,0.2351262626262626
197,Bosnia-Herzegovina,2018,0,0,0.3455451118326117
198,Bosnia-Herzegovina,2019,0,0,0.3046565836940836
199,Bosnia-Herzegovina,2020,0,0,0.35901928210678213
200,Slovenia,2017,0,0,0.04284166666666667
201,Slovenia,2018,0,0,0.059228174603174616
202,Slovenia,2019,0,0,0.06196726190476192
203,Slovenia,2020,0,0,0.10606488095238098
204,Greece,2017,0,0,0.30553246043108206
205,Greece,2018,0,0,0.2946758586994807
206,Greece,2019,0,0,0.32349603174603175
207,Greece,2020,0,0,0.2584121933621934
208,Cyprus,2017,0,0,0.043689880952380945
209,Cyprus,2018,0,0,0.09805793650793655
210,Cyprus,2019,0,0,0.12269384920634922
211,Cyprus,2020,0,0,0.1355637014123234
212,Bulgaria,2017,0,0,0.09344087301587303
213,Bulgaria,2018,0,0,0.11021981613093824
214,Bulgaria,2019,0,0,0.1887592641828862
215,Bulgaria,2020,0,0,0.13235675696787905
216,Moldova,2017,0,0,0.15126031746031737
217,Moldova,2018,0,0,0.1757290584415584
218,Moldova,2019,0,0,0.16038650793650788
219,Moldova,2020,0,0,0.22868670634920635
220,Romania,2017,0,0,0.05300397919010125
221,Romania,2018,0,0,0.07324028871391079
222,Romania,2019,0,0,0.05844265873015873
223,Romania,2020,0,0,0.14095793650793648
224,Russia (Soviet Union),2017,1,1,0.693220695970696
225,Russia (Soviet Union),2018,1,1,0.637343315018315
226,Russia (Soviet Union),2019,1,1,0.6094986721611722
227,Russia (Soviet Union),2020,1,1,0.6551405308401279
228,Estonia,2017,0,0,0.13315110028860028
229,Estonia,2018,0,0,0.19381632395382392
230,Estonia,2019,0,0,0.20831266233766238
231,Estonia,2020,0,0,0.2099643939393939
232,Latvia,2017,0,0,0.0570972222222222
233,Latvia,2018,0,0,0.11520164835164834
234,Latvia,2019,0,0,0.13998782051282047
235,Latvia,2020,0,0,0.11153770934883142
236,Lithuania,2017,0,0,0.0676251984126984
237,Lithuania,2018,0,0,0.079240873015873
238,Lithuania,2019,0,0,0.10873650793650796
239,Lithuania,2020,0,0,0.10813115079365086
240,Ukraine,2017,1,1,0.856549404761905
241,Ukraine,2018,1,1,0.8483223665223664
242,Ukraine,2019,1,1,0.781286056998557
243,Ukraine,2020,0,1,0.7778723665223661
244,Belarus,2017,0,0,0.11910019841269844
245,Belarus,2018,0,0,0.08972896825396828
246,Belarus,2019,0,0,0.10237738095238093
247,Belarus,2020,0,0,0.4774892857142858
248,Armenia,2017,0,0,0.40152196969696985
249,Armenia,2018,0,0,0.301880248917749
250,Armenia,2019,0,0,0.31620606060606044
251,Armenia,2020,0,0,0.4298161976911973
252,Georgia,2017,0,0,0.382783542682165
253,Georgia,2018,1,0,0.32413194444444426
254,Georgia,2019,0,0,0.2969220057720055
255,Georgia,2020,0,0,0.26177559523809507
256,Azerbaijan,2017,0,0,0.4186436443932411
257,Azerbaijan,2018,0,0,0.46722439836149515
258,Azerbaijan,2019,0,0,0.4203491999487966
259,Azerbaijan,2020,0,1,0.5259182475678442
260,Finland,2017,1,0,0.03656746031746032
261,Finland,2018,0,0,0.06392678571428573
262,Finland,2019,0,0,0.10737174723424722
263,Finland,2020,0,0,0.08891613756613755
264,Sweden,2017,1,0,0.2270166125541126
265,Sweden,2018,0,0,0.24218194444444432
266,Sweden,2019,0,0,0.22270360750360743
267,Sweden,2020,0,0,0.20465440115440103
268,Norway,2017,0,0,0.0791214285714286
269,Norway,2018,0,0,0.08573373015873015
270,Norway,2019,1,0,0.11614404761904752
271,Norway,2020,0,0,0.2492916056166056
272,Denmark,2017,0,0,0.25620292207792206
273,Denmark,2018,0,0,0.18619356060606063
274,Denmark,2019,0,0,0.20891823593073608
275,Denmark,2020,0,0,0.22057463924963933
276,Iceland,2017,0,0,0.10519467893217896
277,Iceland,2018,0,0,0.1160099206349206
278,Iceland,2019,0,0,0.13560297619047615
279,Iceland,2020,0,0,0.12720317460317457
280,Cabo Verde,2017,0,0,0.027571230158730153
281,Cabo Verde,2018,0,0,0.022348015873015874
282,Cabo Verde,2019,0,0,0.03265238095238095
283,Cabo Verde,2020,0,0,0.04549464285714286
284,Guinea-Bissau,2017,0,0,0.16774603174603187
285,Guinea-Bissau,2018,0,0,0.1991720238095239
286,Guinea-Bissau,2019,0,0,0.26176884920634924
287,Guinea-Bissau,2020,0,0,0.31620476190476215
288,Equatorial Guinea,2017,0,0,0.09161834415584415
289,Equatorial Guinea,2018,0,0,0.10079393939393937
290,Equatorial Guinea,2019,0,0,0.11496567460317461
291,Equatorial Guinea,2020,0,0,0.14890734126984123
292,Gambia,2017,0,0,0.19120661976911976
293,Gambia,2018,0,0,0.1548859126984127
294,Gambia,2019,0,0,0.12665654761904765
295,Gambia,2020,0,0,0.12758710317460323
296,Mali,2017,1,1,0.8606253968253965
297,Mali,2018,1,1,0.8212503968253966
298,Mali,2019,1,1,0.7722533730158732
299,Mali,2020,1,1,0.7800839285714285
300,Senegal,2017,0,0,0.30645238095238087
301,Senegal,2018,1,0,0.2951079365079366
302,Senegal,2019,0,0,0.2804337301587302
303,Senegal,2020,0,0,0.23976767676767696
304,Benin,2017,0,0,0.05447916666666665
305,Benin,2018,0,0,0.07923142663569495
306,Benin,2019,1,0,0.2078944444444444
307,Benin,2020,1,0,0.2516888888888888
308,Mauritania,2017,0,0,0.2772095704948646
309,Mauritania,2018,0,0,0.2747524276377219
310,Mauritania,2019,0,0,0.3716406746031747
311,Mauritania,2020,0,0,0.3639085317460316
312,Niger,2017,1,1,0.7959906746031746
313,Niger,2018,1,1,0.7571168650793654
314,Niger,2019,1,1,0.7288341991341988
315,Niger,2020,1,1,0.7346284451659455
